Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
33001,Full Bore,PC,2013,Misc,Unknown  ,Unknown  ,,,,,,,
33002,Full Contact Racing,XBL,2009,Racing,Microsoft  ,Dennis McWilliams  ,,,,,,,
33003,Full House Kiss,PS2,2004,Adventure,Capcom  ,Tenky  ,,,,,,,
33004,Full House Poker featuring Avatar Superstars,XBL,2011,Misc,Microsoft  ,Krome Studios  ,8.0,,,,,,
33005,Full Spectrum Warrior,PSN,2011,Strategy,THQ  ,Pandemic Studios  ,7.5,,,,,,
33006,Full Spectrum Warrior: Ten Hammers,PC,2006,Strategy,THQ  ,Pandemic Studios  ,6.3,,,,,,
33007,Full Throttle,PC,1995,Adventure,LucasArts  ,LucasArts  ,,,,,,,
33008,Full Throttle,OSX,1996,Misc,LucasArts  ,Unknown  ,,,,,,,
33009,Full Throttle,MSD,1995,Misc,LucasArts  ,Unknown  ,,,,,,,
33010,Full Time Soccer,GB,2000,Sports,Datel  ,DAG  ,,,,,,,
33011,Fullmetal Alchemist: Daughter of the Dusk,Wii,2009,Adventure,Square Enix  ,Square Enix  ,,,,,,,
33012,Fullmetal Alchemist: Dream Carnival,PS2,2004,Fighting,Bandai  ,Eighting / Raizing  ,,,,,,,
33013,Fullmetal Alchemist: Senaka wo Takuseshi Mono,PSP,2009,Action,Namco Bandai  ,Namco Bandai  ,,,,,,,
33014,Fun 'n Games,3DO,1994,Misc,Panasonic Interactive Media  ,Virgin Interactive  ,,,,,,,
33015,Fun House,NES,1991,Action,Hi Tech Expressions  ,Hi Tech Expressions  ,,,,,,,
33016,Fun Ways to Pun,And,2014,Action,Unknown  ,Unknown  ,,,,,,,
33017,Fun Ways to Sing,And,2014,Action,Unknown  ,Unknown  ,,,,,,,
33018,Fun With Numbers,2600,1977,Action,Atari  ,Atari  ,,,,,,,
33019,Fun! Fun! Minigolf,WW,2008,Sports,Shin'en  ,Shin'en GmbH  ,,,,,,,
33020,Fun! Fun! Minigolf TOUCH!,3DS,2012,Misc,Shin'en Multimedia  ,Unknown  ,,,,,,,
33021,Funaki Masakatsu: Hybrid Wrestler,SNES,1994,Fighting,Technos Japan Corporation  ,Technos Japan Corporation  ,,,,,,,
33022,Funk of Titans,XOne,2015,Platform,A Crowd of Monsters  ,Atooi  ,,,,,,,
33023,Funky Barn It's Farming!,WiiU,2012,Simulation,505 Games  ,Tantalus Interactive  ,5.0,,,,,,
33024,Funky Lab Rat,PSN,2010,Platform,Unknown  ,Hydravision Entertainment  ,,,,,,,
33025,Funky Punch XL,XBL,2008,Fighting,Microsoft  ,SolusG  ,,,,,,,
33026,Funky Punch XL,PSN,2009,Action,Solus Games  ,Solus Games  ,,,,,,,
33027,Funky Smugglers,OSX,2012,Misc,11 bit studios  ,Unknown  ,,,,,,,
33028,Funky Smugglers,And,2012,Misc,11 bit studios  ,Unknown  ,,,,,,,
33029,Funny Cards,GBA,2006,Misc,505 Games  ,Access  ,,,,,,,
33030,Funtown Mahjong,XBL,2009,Puzzle,Microsoft  ,FunTown World Ltd  ,,,,,,,
33031,Fur Fighters,DC,2000,Shooter,Acclaim Entertainment  ,Bizarre Creations  ,8.2,,,,,,
33032,Fur Fighters,PC,2000,Shooter,Acclaim Entertainment  ,Bizarre Creations  ,,,,,,,
33033,Furious Phil,GIZ,N/A,Action,Unknown  ,Gizmondo Studios  ,,,,,,,
33034,Furopon World,3DO,1995,Misc,Warp  ,Warp  ,,,,,,,
33035,Furry Legends,WW,2010,Platform,Gamelion Studios  ,Gamelion Studios  ,,,,,,,
33036,Furry Legends,DSiW,2011,Platform,Gamelion Studios  ,Gamelion Studios  ,,,,,,,
33037,Furry Legends: Beginnings,DSiW,N/A,Platform,Unknown  ,Gamelion Studios  ,,,,,,,
33038,Furry Tales,PS2,2004,Strategy,Phoenix Games  ,Mad Monkey  ,,,,,,,
33039,Fury,PC,2007,Role-Playing,Gamecock  ,Auran  ,,,,,,,
33040,Fury 3,PC,1995,Action,Microsoft  ,Terminal Reality  ,,,,,,,
33041,Fushigi no Dungeon 2: Fuurai no Shiren,VC,2007,Role-Playing,ChunSoft  ,ChunSoft  ,,,,,,,
33042,Fushigi no Dungeon: Fuurai no Shiren DS 2 - Sabaku no Majou,DS,2008,Role-Playing,Sega  ,ChunSoft  ,,,,,,,
33043,Fushigi no Dungeon: Fuurai no Shiren Gaiden: Jokenji Asuka Kenzan!,DC,2002,Role-Playing,Sega  ,Neverland  ,,,,,,,
33044,Fushigi no Dungeon: Fuurai no Shiren Gaiden: Onna Kenshi Asuka Kenzan! For Windows,PC,2002,Role-Playing,ChunSoft  ,ChunSoft  ,,,,,,,
33045,Fushigi no Dungeon: Fuurai no Shiren GB2: Sabaku no Majou,GB,2001,Role-Playing,ChunSoft  ,ChunSoft  ,,,,,,,
33046,Fushigi no Kuni no Alice,GBA,2003,Misc,Global A Entertainment  ,Global A Entertainment  ,,,,,,,
33047,Fushigi no Kuni no Alice,PS2,2003,Misc,Global A Entertainment  ,Global A Entertainment  ,,,,,,,
33048,Fushigi no Kuni no Angelique,GBA,2002,Misc,KOEI  ,Koei  ,,,,,,,
33049,Fushigi no Kuni no Angelique,PCFX,1996,Misc,NEC  ,Koei  ,,,,,,,
33050,Fushigi no Umi Nadia: The Secret of Blue Water,PCE,1993,Adventure,Hudson Soft  ,Hudson Soft  ,,,,,,,
33051,Fushigi no Umi Nadia: The Secret of Blue Water,NES,1991,Strategy,TOHO  ,"Toho Co., Ltd  ",,,,,,,
33052,Fushigi no Umi no Nadia,GEN,1991,Role-Playing,Namco  ,Namco  ,,,,,,,
33053,Fushigi no Umi no Nadia: Inherit the Blue Water,PS2,2005,Adventure,GeneX  ,GeneX  ,,,,,,,
33054,Fushigi no Yume no Alice,PCE,1990,Platform,FACE  ,Sankindo  ,,,,,,,
33055,Fushihi no Oshiro Pit Pot,MS,1985,Action,Sega  ,Sega  ,,,,,,,
33056,Fusion: Genesis,XBL,2011,Shooter,Microsoft  ,Starfire Studios  ,10.0,,,,,,
33057,Futari no Fantavision,PS2,2002,Puzzle,Sony Computer Entertainment  ,SCEI  ,,,,,,,
33058,Futari wa PreCure Max Heart: Danzen! DS de PreCure Chikara o Awasete Dai Battle,DS,2005,Action,Bandai  ,Matrix Software  ,,,,,,,
33059,Futari wa PreCure Max Heart: Maji? Maji!? Fight de IN Janai,GBA,2005,Action,Bandai  ,Bandai  ,,,,,,,
33060,Futari wa PreCure: Arienai! Yume no Kuni ha Daimeikyuu,GBA,2004,Adventure,Bandai  ,Bandai  ,,,,,,,
33061,Futari wa PreCure: Splash*Star Panpaka Game de Zekkouchou!,DS,2006,Action,Namco Bandai  ,Suzak  ,,,,,,,
33062,Futsal: 5 on 5 Mini Soccer (CD),NG,1996,Sports,Saurus  ,Saurus  ,,,,,,,
33063,Future Combat - Patriots at War,PS3,2014,Misc,Namco Bandai Games  ,Unknown  ,,,,,,,
33064,Future Combat - Patriots at War,PSV,2014,Misc,Namco Bandai Games  ,Unknown  ,,,,,,,
33065,Future Cop L.A.P.D.,PC,1998,Simulation,Electronic Arts  ,Electronic Arts  ,,,,,,,
33066,Future Cop: L.A.P.D.,PSN,2009,Simulation,Electronic Arts  ,Electronic Arts  ,,,,,,,
33067,Future Fight,PSN,2010,Strategy,Unknown  ,Bloober Team  ,,,,,,,
33068,Future Tactics,GIZ,N/A,Strategy,Unknown  ,Gizmondo Studios  ,,,,,,,
33069,Future Tactics: The Uprising,PC,2004,Strategy,JoWood Productions  ,Zed Two Limited  ,,,,,,,
33070,Future Wars,PC,1990,Strategy,Interplay  ,Delphine Software International  ,,,,,,,
33071,futureU: The Prep Game for SAT,PC,2008,Misc,Aspyr  ,Aspyr Media  ,,,,,,,
33072,Fuuraiki,PS,2001,Adventure,Fog  ,FOG (Full On Games)  ,,,,,,,
33073,Fuuraiki,PSN,2011,Adventure,Fog  ,FOG (Full On Games)  ,,,,,,,
33074,Fuuraiki,PS2,2006,Adventure,Fog  ,FOG (Full On Games)  ,,,,,,,
33075,Fuuraiki 2,PS2,2005,Adventure,Fog  ,FOG (Full On Games)  ,,,,,,,
33076,Fuuun Gokuu Ninjin,PS,1996,Action,Aicom  ,Aicom  ,,,,,,,
33077,Fuuun! Dairoujou,DS,2009,Strategy,Kawamoto Industrial  ,"Kawamoto Industrial Co., Ltd  ",,,,,,,
33078,Fuyu no Sonata DS,DS,2009,Adventure,D3 Publisher  ,D3 Publisher  ,,,,,,,
33079,Fuzion Frenzy,XBL,2007,Misc,Microsoft Game Studios  ,Blitz Games  ,,,,,,,
33080,Fuzion Pirates,And,2014,Misc,CJ Internet Corp.  ,Unknown  ,,,,,,,
33081,FX Football,PC,2014,Sports,FX studio  ,FX studio  ,,,,,,,
33082,G Darius,PC,2001,Shooter,CyberFront  ,Taito Corporation  ,,,,,,,
33083,G Darius,PSN,2008,Shooter,Taito  ,Aisystem Tokyo  ,,,,,,,
33084,G-Arms: Operation Gundam,GB,1991,Action,Bandai  ,Bandai  ,,,,,,,
33085,G-Force,PC,2009,Action,Disney Interactive Studios  ,Eurocom Entertainment Software  ,,,,,,,
