Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
23001,3 Count Bout,VC,2011,Fighting,D4 Enterprise  ,SNK Corporation  ,,,,,,,
23002,3 Count Bout (CD),NG,1995,Fighting,SNK  ,UPL  ,,,,,,,
23003,3 Games in 1: SpongeBob SquarePants: SuperSponge / Rugrats: I Gotta Go Party / Tak and the Power of Juju,GBA,2005,Misc,THQ  ,Climax Group / Eurocom Entertainment Software / Avalanche Software  ,,,,,,,
23004,3 Games in 1: SpongeBob SquarePants: SuperSponge / Rugrats: I Gotta Go Party / Tak and the Power of Juju,3DS,2012,Misc,Cypronia  ,Unknown  ,,,,,,,
23005,3 Great Planes For Microsoft Combat Flight Simulator!,PC,N/A,Simulation,Unknown  ,Abacus Software  ,,,,,,,
23006,3 Heroes Crystal Soul,DSi,2012,Misc,CIRCLE Entertainment  ,Unknown  ,,,,,,,
23007,3 Heroes Crystal Soul,3DS,2013,Misc,CIRCLE Entertainment  ,Unknown  ,,,,,,,
23008,3 Ninjas Kick Back,GEN,1994,Platform,Psygnosis  ,Malibu Games  ,,,,,,,
23009,3 Ninjas Kick Back,SNES,1994,Platform,Sony Imagesoft  ,Malibu Games  ,,,,,,,
23010,3 Ninjas Kick Back / Hook,SCD,1994,Platform,Sony Imagesoft  ,Malibu Games / Core Design Ltd.  ,,,,,,,
23011,3 Ninjas Kick Back / Hook,GEN,1993,Misc,Sega  ,Unknown  ,,,,,,,
23012,3 on 3 NHL Arcade,XBL,2009,Sports,Electronic Arts  ,EA Canada  ,7.2,,,,,,
23013,3 on 3 NHL Arcade,PSN,2009,Sports,Electronic Arts  ,EA Canada  ,5.0,,,,,,
23014,3 Stars of Destiny,PC,2009,Misc,Unknown  ,Unknown  ,,,,,,,
23015,3 Words: Summer,And,2014,Action,Apprope  ,Unknown  ,,,,,,,
23016,"3, 2, 1... WordsUp!",DSi,2012,Misc,EnjoyUp Games  ,Unknown  ,,,,,,,
23017,"3,2,1... SuperCrash!",PSN,2010,Racing,StormBASIC  ,StormBasic Games  ,,,,,,,
23018,"3-2-1, Rattle Battle!",WW,2009,Misc,Tecmo  ,Tecmo  ,,,,,,,
23019,3-bun Tenkatouitsu: Bakumatsu Quiz-Hen,DSiW,2010,Misc,Gakken  ,"GAE, Inc.  ",,,,,,,
23020,3-bun Tenkatouitsu: Harumon Sengoku Quiz-Hen,DSiW,2010,Misc,GAE  ,GAE  ,,,,,,,
23021,3-bun Tenkatouitsu: Nishihon Sengoku Quiz-Hen,DSiW,2010,Misc,GAE  ,GAE  ,,,,,,,
23022,3-D Body Adventure,PC,1994,Education,Knowledge Adventure  ,Knowledge Adventure  ,,,,,,,
23023,3-D Tetris,VB,1996,Puzzle,Nintendo  ,Tikipod  ,,,,,,,
23024,3-D Tic-Tac-Toe,2600,1978,Strategy,Atari  ,Atari  ,,,,,,,
23025,3-D Ultra Pinball,PC,1996,Misc,Sierra Entertainment  ,"Sierra On-Line, Inc.  ",,,,,,,
23026,3-D WorldRunner,NES,1987,Shooter,Acclaim Entertainment  ,Square  ,,,,,,,
23027,3-Demon,PC,N/A,Action,Unknown  ,PC Research Inc.  ,,,,,,,
23028,3-in-1 Sports Pack,GBA,2005,Sports,Majesco  ,Skyworks Technologies  ,,,,,,,
23029,3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!,PS2,2004,Role-Playing,ChunSoft  ,ChunSoft  ,,,,,,,
23030,300 Dwarves,PC,2013,Strategy,Viva Media  ,Artifex Mundi sp. z o.o.  ,,,,,,,
23031,300: March to Glory,PSN,2009,Action,Warner Bros. Interactive  ,Collision Studios  ,,,,,,,
23032,300: Rise of an Empire -- Seize Your Glory,And,2014,Misc,Warner Bros. Interactive Entertainment  ,Unknown  ,,,,,,,
