Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
55315,Command & Conquer: Renegade,PC,2002,Shooter,Electronic Arts  ,Westwood Studios  ,,5.0,,,,,
55316,Commander Keen,And,N/A,Action-Adventure,Unknown  ,ZeniMax Online Studios  ,,,,,,,
55317,Commander Keen,iOS,N/A,Action-Adventure,Unknown  ,ZeniMax Online Studios  ,,,,,,,
55318,Commando,Int,1987,Action,INTV Corporation  ,Realtime Associates  ,,,,,,,
55319,Conan Chop Chop,XOne,N/A,Action-Adventure,Unknown  ,Funcom Oslo A/S  ,,,,,,,
55320,Conan Chop Chop,PS4,N/A,Action-Adventure,Unknown  ,Funcom Oslo A/S  ,,,,,,,
55321,Conan Chop Chop,NS,N/A,Action-Adventure,Unknown  ,Funcom Oslo A/S  ,,,,,,,
55322,Conan Chop Chop,PC,N/A,Action-Adventure,Unknown  ,Funcom Oslo A/S  ,,,,,,,
55323,Conan Unconquered,PC,2019,Strategy,Funcom   ,Funcom Oslo A/S  ,,,,,,,
55324,Conception II: Children of the Seven Stars,PC,2016,Role-Playing,Spike Chunsoft  ,Spike Chunsoft  ,,,,,,,
55325,Conception Plus: Please Give Birth to My Child!,PS4,2019,Role-Playing,Spike Chunsoft  ,Spike Chunsoft  ,,,,,,,
55326,Concrete Genie,PS4,2019,Action-Adventure,Sony Interactive Entertainment  ,PixelOpus  ,,,,,,,
55327,Conduct Exam,CD32,N/A,Board Game,Unknown  ,ThinkArts  ,,,,,,,
55328,Conga Master Party!,NS,2017,Party,Undercoders  ,Rising Star Games  ,,,,,,,
55329,Congo Bongo,Int,1983,Platform,Sega  ,Sega  ,,,,,,,
55330,Conqueror A.D. 1086,PC,1995,Simulation,Activision  ,Sierra  ,,,,,,,
55331,Constructor HD,PC,2017,Strategy,System 3  ,System 3  ,,,,,,,
55332,Contra Anniversary Collection,PS4,2019,Action-Adventure,Konami  ,Konami  ,,,,,,,
55333,Contra Anniversary Collection,NS,2019,Action-Adventure,Konami  ,Konami  ,,,,,,,
55334,Contra Anniversary Collection,XOne,2019,Action-Adventure,Konami  ,Konami  ,,,,,,,
55335,Contra Anniversary Collection,PC,2019,Action-Adventure,Konami  ,Konami  ,,,,,,,
55336,Contra: Rogue Corps,PC,2019,Action,Konami  ,Konami  ,,,,,,,
55337,Contra: Rogue Corps,PS4,2019,Action,Konami  ,Konami  ,,,,,,,
55338,Contra: Rogue Corps,XOne,2019,Action,Konami  ,Konami  ,,,,,,,
55339,Contra: Rogue Corps,NS,2019,Action,Konami  ,Konami  ,,,,,,,
55340,Contraband,PC,N/A,Adventure,Unknown  ,Avalanche Studios  ,,,,,,,
55341,Contraband,XS,N/A,Adventure,Unknown  ,Avalanche Studios  ,,,,,,,
55342,Control,XOne,2019,Adventure,505 Games  ,Remedy  ,,,,,,,
55343,Control,PS4,2019,Adventure,505 Games  ,Remedy  ,,,,,,,
55344,Control,PC,2019,Adventure,505 Games  ,Remedy  ,,,,,,,
55345,Control,XS,2021,Action-Adventure,505 Games  ,Remedy  ,,,,,,,
55346,Control,PS5,2021,Action-Adventure,505 Games  ,Remedy  ,,,,,,,
55347,Control: AWE,XOne,2020,Action-Adventure,505 Games  ,Remedy Entertainment  ,,,,,,,
55348,Control: AWE,PS4,2020,Action-Adventure,505 Games  ,Remedy Entertainment  ,,,,,,,
55349,Control: AWE,PC,2020,Action-Adventure,505 Games  ,Remedy Entertainment  ,,,,,,,
55350,Convallaria,PS4,2020,Shooter,Sony Computer Entertainment  ,Loong Force  ,,,,,,,
55351,Convergence: A League of Legends Story,PC,2020,Action,Riot Games  ,Double Stallion Games  ,,,,,,,
55352,Conversational French,Int,N/A,Misc,Unknown  ,APh Technological Consulting  ,,,,,,,
55353,"Cook, Serve, Delicious!",And,2012,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55354,"Cook, Serve, Delicious! 2!!",NS,2019,Simulation,Vertigo Games  ,Vertigo Gaming Inc.  ,,,,,,,
55355,"Cook, Serve, Delicious! 2!!",PS4,2018,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55356,"Cook, Serve, Delicious! 2!!",XOne,2019,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55357,"Cook, Serve, Delicious! 3?!",XOne,2020,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55358,"Cook, Serve, Delicious! 3?!",PS4,2020,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55359,"Cook, Serve, Delicious! 3?!",PC,2020,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55360,"Cook, Serve, Delicious! 3?!",NS,2020,Simulation,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,
55361,Cooking Mama: CookStar,PS4,N/A,Simulation,Unknown  ,Ravenscourt  ,,,,,,,
55362,Cooking Mama: CookStar,NS,N/A,Simulation,Unknown  ,Ravenscourt  ,,,,,,,
55363,Cool Spot,All,1993,Platform,Virgin Games  ,Virgin Games  ,,,,,,,
55364,Coromon,PC,N/A,Role-Playing,Unknown  ,TRAGsoft  ,,,,,,,
55365,Coromon,NS,N/A,Role-Playing,Unknown  ,TRAGsoft  ,,,,,,,
55366,Corpse Party: Blood Drive,PSV,2015,Adventure,Xseed Games  ,Team GrisGris  ,,,,,,,
55367,Corpse Party: Blood Drive,PC,2019,Adventure,Xseed Games  ,MAGES. Inc.  ,,,,,,,
55368,Corpse Party: Blood Drive,NS,2019,Adventure,Xseed Games  ,MAGES. Inc.  ,,,,,,,
55369,Cosmic Avenger,CV,1982,Shooter,Coleco  ,Universal  ,,,,,,,
55370,Cosmic Star Heroine,PC,2017,Role-Playing,Zeboyd Games  ,Zeboyd Games  ,7.5,,,,,,
55371,Cossacks II Battle for Europe,PC,2006,Strategy,GSC Game World  ,GSC Game World  ,,7.5,,,,,
55372,Cotton Fantasy,NS,N/A,Shooter,Unknown  ,Studio Saizensen  ,,,,,,,
55373,Cotton Fantasy,PS4,N/A,Shooter,Unknown  ,Studio Saizensen  ,,,,,,,
55374,Cotton Reboot!,PS4,N/A,Shooter,Unknown  ,Rocket-Engine  ,,,,,,,
55375,Cotton Reboot!,NS,N/A,Shooter,Unknown  ,Rocket-Engine  ,,,,,,,
55376,Counter-Strike Nexon: Zombies,PC,N/A,Shooter,Unknown  ,Valve Corporation  ,,,,,,,
55377,Coven and the Labyrinth of Galleria,PSV,N/A,Role-Playing,Unknown  ,Nippon Ichi Software  ,,,,,,,
55378,Coven and the Labyrinth of Galleria,PS4,N/A,Role-Playing,Unknown  ,Nippon Ichi Software  ,,,,,,,
55379,Cozy Grove,XS,N/A,Simulation,Unknown  ,Spry Fox  ,,,,,,,
55380,Cozy Grove,PS5,N/A,Simulation,Unknown  ,Spry Fox  ,,,,,,,
55381,Cozy Grove,PS4,N/A,Simulation,Unknown  ,Spry Fox  ,,,,,,,
