Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
25001,atShogi Challenge Spirits,DSiW,2009,Puzzle,Tasuke  ,Tasuke  ,,,,,,,
25002,Atsumare! GuruGuru Onsen,DC,1999,Misc,Sega  ,Overworks  ,,,,,,,
25003,Atsumare! GuruGuru Onsen BB,DC,2000,Misc,Sega  ,Overworks  ,,,,,,,
25004,Attack of the Friday Monsters! A Tokyo Tale,3DS,2013,Action-Adventure,Level 5  ,Millenium Kitchen  ,7.8,,,,,,
25005,Attack of the Killer Tomatoes,GB,1992,Action,THQ  ,THQ  ,,,,,,,
25006,Attack of the Killer Tomatoes,NES,1992,Action,THQ  ,Imagineering Inc.  ,,,,,,,
25007,Attack of the Kraken,And,2010,Misc,Quantum Sheep  ,Unknown  ,,,,,,,
25008,Attack of the Mutant Penguins,AJ,1996,Action,Atari  ,Sunrise Games Ltd.  ,,,,,,,
25009,Attack of the Saucerman!,PS,1999,Adventure,Sony Computer Entertainment  ,Psygnosis  ,,,,,,,
25010,Attack of the Saucerman!,PC,1999,Action,Psygnosis  ,Psygnosis  ,,,,,,,
25011,Attack on Pearl Harbor,PC,2007,Simulation,CDV Software Entertainment  ,3D People  ,,,,,,,
25012,Attractio,PCFX,2014,Misc,Unknown  ,Unknown  ,,,,,,,
25013,Attractio,OSX,2014,Misc,Unknown  ,Unknown  ,,,,,,,
25014,Attractio,PC,2014,Misc,Unknown  ,Unknown  ,,,,,,,
25015,ATV Mania,PS,2003,Racing,Gotham Games  ,Gotham Games  ,,,,,,,
25016,ATV Offroad Fury 4,PS2,2006,Racing,Sony Computer Entertainment  ,Climax Group  ,,,,,,,
25017,ATV Offroad Fury 4 Pro,PSP,2008,Action,Climax  ,Unknown  ,,,,,,,
25018,ATV Quad Kings,PC,N/A,Racing,Unknown  ,Enjoy Gaming ltd.  ,,,,,,,
25019,ATV Quad Kings,PS2,N/A,Racing,Unknown  ,Enjoy Gaming ltd.  ,,,,,,,
25020,ATV Racers,PS,2003,Racing,Mud Duck Productions  ,Miracle Designs  ,,,,,,,
25021,ATV Racers,PSN,2010,Racing,Midas Interactive Entertainment  ,Miracle Designs  ,,,,,,,
25022,ATV Racing,GB,2001,Racing,Datel  ,Datel  ,,,,,,,
25023,ATV Wild Ride,DS,2020,Racing,Unknown  ,Renegade Kid  ,,,,,,,
25024,ATV X-Treme: World Challenge,DS,2011,Racing,Unknown  ,Maximum Family Games  ,,,,,,,
25025,ATV: Thunder Ridge Riders,GBA,2006,Racing,"Destination Software, Inc  ",DSI Games  ,,,,,,,
25026,AubirdForce,PS,1996,Strategy,Bandai  ,Bandai  ,,,,,,,
25027,AubirdForce After,PS,1998,Strategy,Bandai  ,Bandai  ,,,,,,,
25028,Audiball,XBL,2008,Misc,Microsoft  ,Indiecisive Games  ,,,,,,,
25029,Audio Environment: Airliner Edition,PC,2011,Simulation,Unknown  ,FLIGHT1  ,,,,,,,
25030,Audiosurf Air,PC,2020,Misc,Invisible Handlebar   ,Unknown  ,,,,,,,
25031,Audition Portable,PSP,2007,Misc,T3 Entertainment  ,T3 Entertainment  ,,,,,,,
25032,Auditorium,XBL,2020,Puzzle,Unknown  ,Cipher Prime  ,,,,,,,
25033,Auditorium,PC,2009,Puzzle,Cipher Prime  ,Cipher Prime  ,,,,,,,
25034,Auditorium (PSP),PSN,2011,Puzzle,Zoo Games  ,Cipher Prime  ,,,,,,,
25035,Auditorium HD,PSN,2010,Puzzle,Zoo Games  ,Cipher Prime  ,7.8,,,,,,
25036,Auf Wiedersehen Monty,ACPC,1987,Platform,Gremlin Graphics  ,Gremlin Graphics  ,,,,,,,
25037,Auf Wiedersehen Monty: ZX Spectrum,MSX,1987,Misc,Gremlin Graphics  ,Unknown  ,,,,,,,
25038,Auf Wiedersehen Monty: ZX Spectrum,C64,1987,Misc,Gremlin Graphics  ,Unknown  ,,,,,,,
25039,Auf Wiedersehen Monty: ZX Spectrum,ZXS,1987,Misc,Gremlin Graphics  ,Unknown  ,,,,,,,
25040,Aufruhr im Zoo,2600,1983,Action,Quelle  ,Quelle  ,,,,,,,
25041,Aura 2,PC,N/A,Role-Playing,Unknown  ,JoWooD Entertainment  ,,,,,,,
25042,Aura Battler Dunbine,PS,2000,Role-Playing,Bandai  ,Bandai  ,,,,,,,
25043,Aura-Aura Climber,DSiW,2010,Action,Nintendo  ,Nintendo  ,,,,,,,
25044,Aura: Fate of the Ages,PC,2004,Adventure,The Adventure Company  ,Streko-Graphics Inc.  ,,,,,,,
25045,Aurelia,XBL,2010,Action,Microsoft  ,DUALHAZE  ,,,,,,,
25046,Aurora - The Secret Within,PC,2007,Adventure,Lexicon Entertainment  ,BluMiAl  ,,,,,,,
25047,Aurora Blade,PC,2009,Role-Playing,IGG  ,Aurora Blade Inc.  ,,,,,,,
25048,Aurora Quest: Otaku no Seiza in Another World,PCE,1993,Role-Playing,Pack-In-Video  ,Pack-In-Video  ,,,,,,,
