Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,95,9.0,2006.0,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
PS2,95,7.6,2002.0,Sports,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14
GBA,95,6.9,2001.0,Sports,Activision  ,Vicarious Visions  ,8.9,,0.85,0.31,,0.02,1.18
PS4,95,8.4,2020.0,Role-Playing,Atlus  ,Atlus  ,,,,,,,
PS4,95,9.2,2014.0,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,2.7,2.86,0.11,1.1,6.77
NS,95,8.5,,Puzzle,Unknown  ,"Tetris Online, Inc  ",,,,,,,
PC,95,9.1,2011.0,Shooter,Valve  ,Valve Software  ,9.7,,0.33,0.33,,0.1,0.75
X360,95,9.0,2010.0,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5
X360,95,8.8,2011.0,Shooter,Valve  ,Valve Software  ,9.6,,1.41,0.49,0.01,0.17,2.08
XOne,95,7.5,2015.0,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,0.49,0.25,0.02,0.07,0.83
PS3,95,8.7,2011.0,Shooter,Valve  ,Valve Software  ,9.6,,0.83,0.62,0.02,0.24,1.71
PC,94,8.4,2011.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.2,,1.18,2.25,,0.56,3.99
PS3,94,8.5,2013.0,Shooter,2K Games  ,Irrational Games  ,9.5,,0.74,0.74,0.04,0.3,1.82
PS,94,9.0,2000.0,Role-Playing,Square  ,SquareSoft  ,9.2,,1.62,0.77,2.78,0.14,5.3
PS3,94,6.6,2009.0,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61
PS2,94,8.4,2002.0,Sports,Activision  ,Neversoft Entertainment  ,9.6,,2.13,1.18,0.01,0.35,3.67
PS2,94,8.6,2001.0,Action,Capcom  ,Capcom  ,9.1,9.3,1.36,0.86,0.64,0.13,2.99
PS3,94,8.4,2007.0,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72
PS2,94,7.3,2001.0,Sports,EA Sports  ,EA Sports  ,,,2.5,0.16,0.01,0.42,3.08
X360,94,8.8,2011.0,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,,2.99,1.28,0.04,0.44,4.75
PC,94,8.9,2010.0,Role-Playing,Electronic Arts  ,BioWare Corp.  ,9.6,,0.01,0.32,,0.05,0.39
3DS,94,9.0,2011.0,Adventure,Nintendo  ,GREZZO  ,9.3,,1.42,0.01,0.56,,2.0
PS,94,8.8,2000.0,Role-Playing,Square EA  ,SquareSoft  ,9.7,9.8,0.62,0.42,0.69,0.12,1.86
XOne,94,7.4,2018.0,Platform,Matt Makes Games Inc.  ,Matt Thorson  ,,,,,,,
PS3,94,8.9,2008.0,Shooter,2K Games  ,2K Boston / 2K Australia / 2K Marin  ,9.3,9.6,0.75,0.48,0.01,0.21,1.44
PS3,94,8.7,2011.0,Role-Playing,Electronic Arts  ,BioWare Edmonton  ,9.3,,0.78,0.46,0.03,0.18,1.46
PC,94,8.8,2003.0,Action,Rockstar Games  ,Rockstar North  ,9.0,,,0.03,,0.0,0.04
PS2,94,8.3,2003.0,Sports,EA Sports  ,EA Tiburon  ,9.5,,4.26,0.26,0.01,0.71,5.23
X360,94,8.4,2006.0,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.4,3.54,1.88,0.07,0.6,6.09
X360,94,8.7,2009.0,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,,2.89,1.03,0.13,0.41,4.47
PC,94,8.8,1996.0,Strategy,Microprose  ,MPS Labs  ,9.1,9.7,,0.0,,0.0,0.0
PC,94,8.8,1996.0,Shooter,id Software  ,id Software  ,9.4,,,,,,
X360,94,8.5,2007.0,Shooter,Activision  ,Infinity Ward  ,9.6,9.0,5.98,2.39,0.13,0.91,9.41
PC,94,8.6,2013.0,Shooter,2K Games  ,Irrational Games  ,,,0.3,0.31,,0.05,0.66
X360,94,8.1,2007.0,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13
XB,94,8.8,2005.0,Action,Tecmo  ,Team Ninja  ,9.5,,0.07,0.02,,0.0,0.09
PC,94,8.2,2009.0,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,,0.01,0.21,,0.04,0.25
PS3,94,7.4,2009.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.0,2.04,1.05,0.59,0.52,4.19
GBA,94,8.9,2003.0,Platform,Nintendo  ,Nintendo EAD  ,9.2,,2.93,1.25,0.83,0.2,5.2
DC,94,8.3,2000.0,Action,Sega  ,Smilebit  ,9.1,,,,,,
PS,94,9.2,1998.0,Action,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03
PC,94,9.1,1998.0,Adventure,LucasArts  ,LucasArts  ,9.3,,,,,,
XB,94,7.7,2004.0,Racing,Electronic Arts  ,Criterion Games  ,9.3,,0.84,0.43,,0.04,1.31
PC,94,8.7,1996.0,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,0.01,1.58,,,1.59
PS2,94,9.1,2006.0,Action,Konami  ,Kojima Productions  ,9.4,,0.34,0.01,0.15,0.06,0.55
X360,94,6.6,2009.0,Shooter,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53
PS3,94,8.8,2008.0,Action,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6.0
PS2,94,8.3,2003.0,Sports,Electronic Arts  ,EA Tiburon  ,8.1,,1.35,0.09,,0.23,1.67
PS2,94,8.9,2005.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,,2.71,1.29,0.02,0.43,4.45
XB,94,9.1,2003.0,Role-Playing,LucasArts  ,BioWare Corp.  ,9.4,10.0,1.68,0.44,,0.08,2.19
PC,94,8.2,2005.0,Strategy,2K Games  ,Firaxis Games  ,9.4,,0.02,0.12,,0.02,0.16
PS2,94,8.1,2002.0,Fighting,Sega  ,Sega-AM2  ,9.3,,0.78,0.44,0.56,0.04,1.81
N64,94,9.1,1996.0,Platform,Nintendo  ,Nintendo EAD  ,9.7,9.2,6.91,2.85,1.91,0.23,11.89
PC,93,9.4,2015.0,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.29,0.55,,0.07,0.91
PS2,93,9.0,2004.0,Racing,Electronic Arts  ,Criterion Games  ,9.3,,1.23,1.11,,0.34,2.68
Wii,93,8.8,2008.0,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
PC,93,8.7,2006.0,Strategy,THQ  ,Relic  ,9.4,,,0.04,,0.0,0.04
PS,93,9.0,1999.0,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49
PS4,93,5.7,2020.0,Action,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
DS,93,8.3,2009.0,Adventure,Rockstar Games  ,Rockstar Leeds/North  ,9.5,9.6,0.58,0.56,0.05,0.14,1.33
PS,93,8.6,1999.0,Fighting,Capcom  ,Capcom  ,8.4,,0.38,0.12,0.51,0.02,1.03
NS,93,9.0,2020.0,Action,Supergiant Games  ,Supergiant Games  ,,,,,,,
XB,93,7.7,2002.0,Sports,Activision  ,Neversoft Entertainment  ,,,0.34,0.18,,0.02,0.55
PC,93,9.2,2020.0,Action,Valve  ,Valve  ,,,,,,,
PC,93,8.8,2004.0,Shooter,Atari  ,Epic Games  ,9.4,,,0.02,,0.0,0.02
X360,93,8.6,2013.0,Shooter,2K Games  ,Irrational Games  ,,,1.22,0.55,0.02,0.18,1.97
NS,93,8.7,2020.0,Platform,iam8bit  ,Moon Studios  ,,9.7,,,,,
PS2,93,9.0,2007.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,9.8,2.32,0.04,0.04,1.67,4.07
WiiU,93,8.9,2013.0,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.5,,2.31,1.54,0.79,0.37,5.01
PS2,93,8.1,2000.0,Sports,EA Sports BIG   ,EA Canada  ,,,0.78,0.61,0.06,0.2,1.66
X360,93,7.3,2009.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.3,1.83,0.7,0.15,0.26,2.95
PC,93,8.0,2010.0,Misc,Mojang  ,Mojang AB  ,10.0,,,,,,
NS,93,8.2,2018.0,Role-Playing,4-Aug,Toby Fox  ,9.0,,,,0.02,,0.02
PSV,93,8.6,2012.0,Role-Playing,Atlus  ,Atlus  ,,,0.37,0.29,0.39,0.21,1.25
PS4,93,8.7,2017.0,Role-Playing,Atlus  ,Atlus  ,,,0.62,0.34,0.48,0.2,1.64
PC,93,6.2,2019.0,Action-Adventure,Rockstar Games  ,Rockstar Games  ,,,,,,,
PS2,93,8.8,2003.0,Sports,EA Sports BIG   ,EA Canada  ,,,0.93,0.52,,0.22,1.67
XB,93,8.6,2002.0,Action,Ubisoft  ,Ubisoft  ,9.3,9.1,1.85,1.04,,0.13,3.02
PC,93,8.2,2002.0,Action,Rockstar Games  ,DMA Design  ,9.1,,,0.01,,0.0,0.01
DC,93,8.3,2000.0,Shooter,Sega  ,Raster  ,9.3,,,,,,
