Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
PC,81,7.0,2017.0,Action,Bethesda Softworks  ,Arkane Studios  ,,,0.01,0.03,,0.0,0.04
NS,81,7.7,2019.0,Role-Playing,Thunderful Publishing AB  ,Image & Form Games  ,,,,,,,
PS4,81,7.6,2017.0,Racing,505 Games  ,Nicalis  ,,,0.02,,,0.0,0.02
XOne,81,7.4,2017.0,Shooter,Rebellion Developments  ,Rebellion Developments  ,,,0.18,0.09,,0.03,0.3
PC,81,7.3,2011.0,Role-Playing,Trendy Entertainment  ,Trendy Entertainment  ,8.3,,0.02,,,0.0,0.02
PC,81,8.0,2019.0,Action-Adventure,Modus Games  ,Frozenbyte  ,,,,,,,
PC,81,7.6,2019.0,Strategy,Paradox Interactive   ,Triumph Studios  ,,,,,,,
3DS,81,6.7,2019.0,Role-Playing,Atlus  ,Atlus  ,,,,,0.11,,0.11
PS5,81,6.8,2021.0,Simulation,Frontier Developments  ,Frontier Developments  ,,,,,,,
XOne,81,5.4,2019.0,Strategy,Chucklefish  ,Chucklefish  ,,,,,,,
XOne,81,7.7,2017.0,Strategy,Microsoft Studios  ,Behaviour Interactive  ,,,,,,,
PS4,81,7.0,2020.0,Party,Devolver Digital  ,Mediatonic  ,,,,,,,
PS2,81,8.5,2006.0,Racing,Sega  ,Sumo Digital  ,,,0.02,0.01,0.01,0.0,0.05
XOne,81,8.3,2018.0,Adventure,Gearbox Software  ,Unknown Worlds Entertainment  ,,,0.06,,,0.01,0.07
PC,81,7.4,2019.0,Shooter,Humble Bundle  ,Blue Manchu  ,,,,,,,
PS4,81,8.2,2015.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,,,0.4,0.33,0.02,0.15,0.89
PS4,81,8.2,2015.0,Action,Sony Computer Entertainment Europe  ,SCEA Santa Monica Studio  ,,,,0.02,,0.0,0.03
XB,81,7.8,2005.0,Misc,Sega  ,Sega  ,,,0.11,0.03,,0.01,0.15
PC,81,7.7,2010.0,Adventure,Telltale Games  ,Telltale Games  ,,,,,,,
PC,81,8.3,2007.0,Strategy,Microsoft Game Studios  ,Big Huge Games  ,,,0.0,0.05,,0.01,0.06
PS2,81,8.6,2005.0,Sports,Sony Computer Entertainment  ,989 Sports  ,,,0.33,0.01,,0.05,0.4
PC,81,8.6,2008.0,Strategy,Hidden Path Entertainment  ,Hidden Path Entertainment  ,8.0,,,,,,
NS,81,8.3,2017.0,Action,Adult Swim  ,Trinket Studios  ,7.5,,,,,,
WiiU,81,8.1,2015.0,Action,KnapNok Games  ,KnapNok Games  ,,9.1,,,,,
X360,81,7.1,2008.0,Adventure,Ubisoft  ,Ubisoft Montreal  ,8.2,6.0,0.54,0.34,0.02,0.1,1.01
3DS,81,8.2,2016.0,Role-Playing,Nintendo  ,ArtePiazza  ,,,0.13,0.13,1.31,0.02,1.61
NS,81,7.7,2019.0,Platform,Team 17  ,Playtonic Games  ,,,,,,,
PS4,81,7.8,2016.0,Action-Adventure,THQ Nordic  ,Kaiko  ,,,0.07,0.02,,0.02,0.11
PC,81,4.6,2015.0,Sports,EA Sports  ,EA Canada  ,8.5,,0.07,0.13,,0.02,0.21
XB,81,8.8,2004.0,Sports,EA Sports BIG   ,EA Tiburon  ,,,0.49,0.15,,0.02,0.66
PC,81,7.9,2003.0,Strategy,Empire Interactive  ,Sick Puppies  ,,,,0.0,,0.0,0.0
XB,81,7.8,2003.0,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,0.61,0.24,,0.03,0.87
PC,81,8.4,2002.0,Role-Playing,CDV Software Entertainment  ,Larian Studios  ,,,,0.0,,0.0,0.0
PS2,81,6.4,2002.0,Racing,EA Sports  ,Visual Sciences Ltd.  ,,,0.05,0.04,0.02,0.01,0.12
GBA,81,8.7,2002.0,Role-Playing,Capcom  ,Capcom  ,,,,,0.54,,0.54
GBA,81,8.7,2002.0,Action,Ubisoft  ,Capcom  ,,,0.22,0.08,,0.01,0.31
GBA,81,8.3,2002.0,Role-Playing,Capcom  ,Capcom  ,8.6,,0.14,0.05,,0.0,0.19
PS2,81,8.4,2001.0,Sports,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",,,0.67,0.53,,0.18,1.38
PS2,81,tbd,2001.0,Fighting,EA Sports  ,Black Ops Entertainment  ,,,0.28,0.21,,0.07,0.56
PC,80,7.6,2014.0,Adventure,Nordic Games  ,KING Art Games  ,,,,0.0,,0.0,0.0
DS,80,7.8,2008.0,Strategy,2K Games  ,Firaxis  ,8.2,7.6,0.37,0.03,0.02,0.03,0.45
NS,80,8.3,2020.0,Puzzle,Atlus  ,Atlus  ,,,,,,,
XOne,80,3.8,2019.0,Shooter,Activision  ,Infinity Ward  ,,,,,,,
PS3,80,6.6,2011.0,Fighting,Capcom  ,Capcom  ,,,,0.04,0.04,0.01,0.1
PS4,80,7.1,2019.0,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
PC,80,7.6,2020.0,Strategy,Xbox Game Studios  ,Splash Damage  ,,,,,,,
PSV,80,8.3,2016.0,Role-Playing,Xseed Games  ,Nihon Falcom Corporation  ,,,0.06,0.04,0.13,0.03,0.26
PC,80,6.5,,Role-Playing,Unknown  ,Sword and Axe  ,,,,,,,
PC,80,8.7,2019.0,Adventure,Capcom  ,Capcom  ,,,,,,,
WiiU,80,8.4,2016.0,Platform,WayForward Technologies  ,Way Forward Technologies  ,,,0.05,,,0.01,0.06
X360,80,5.6,2013.0,Sports,EA Sports  ,EA Tiburon  ,7.8,,2.02,0.07,,0.25,2.33
PC,80,8.4,2020.0,Adventure,Hello Games  ,Hello Games  ,,,,,,,
XOne,80,7.3,2019.0,Role-Playing,Bandai Namco Entertainment  ,Bandai Namco Studios  ,,,,,,,
XOne,80,7.3,2016.0,Misc,Bandai Namco Entertainment  ,Bandai Namco  ,,,,,,,
PS4,80,8.2,2015.0,Role-Playing,NIS America  ,Nippon Ichi Software  ,,,0.15,0.08,0.07,0.05,0.35
PC,80,7.7,2020.0,Misc,Asteroid Base  ,Unknown  ,,,,,,,
PC,80,7.3,2008.0,Role-Playing,Eidos Interactive  ,Funcom  ,7.9,,,0.0,,0.0,0.0
XOne,80,8.1,2016.0,Action-Adventure,THQ Nordic  ,Kaiko  ,,,0.04,,,0.0,0.04
PC,80,7.7,2012.0,Action,2K Games  ,Unknown  ,,,,,,,
DS,80,8.1,2008.0,Role-Playing,Square Enix  ,ArtePiazza  ,8.1,8.0,0.3,0.02,1.27,0.03,1.62
PC,80,5.5,2017.0,Strategy,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,
PS4,80,6.5,2014.0,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,1.4,2.13,0.11,0.68,4.32
PC,80,7.8,2006.0,Strategy,Microsoft Game Studios  ,Ensemble Studios  ,,,,0.0,,0.0,0.0
X360,80,8.0,2007.0,Simulation,Namco Bandai  ,Namco Bandai Games  ,8.1,,0.69,0.04,0.22,0.07,1.01
PC,80,7.7,,Action-Adventure,Unknown  ,Studio Pixel Punk  ,,,,,,,
XOne,80,7.3,2019.0,Adventure,Capcom  ,Capcom  ,,,,,,,
PC,80,8.2,2012.0,Action-Adventure,Square Enix  ,United Front Games  ,8.5,,0.06,0.05,,0.01,0.12
XOne,80,7.1,2015.0,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.47,0.18,,0.07,0.72
X360,80,8.3,2008.0,Action,Rockstar Games  ,Rockstar Vancouver/Mad Doc Software  ,8.1,10.0,0.53,0.42,0.03,0.11,1.09
PC,80,7.9,2017.0,Strategy,Sega  ,Amplitude Studios  ,,,,,,,
NS,80,7.4,2018.0,Adventure,505 Games  ,Giant Squid Studios  ,,,,,,,
XB,80,8.6,2004.0,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,0.86,0.45,,0.06,1.36
PS2,80,8.5,2001.0,Adventure,Eidos Interactive  ,Crystal Dynamics  ,,,0.27,0.21,,0.07,0.55
PS3,80,8.0,2009.0,Shooter,Atari  ,Starbreeze Studios AB  ,8.0,,0.12,0.09,,0.04,0.25
PC,80,7.7,2019.0,Adventure,Quantic Dream  ,Quantic Dream  ,,,,,,,
PC,80,7.6,2014.0,Action-Adventure,Konami Digital Entertainment  ,Kojima Productions  ,8.5,,,0.01,,0.0,0.01
PC,80,6.9,2014.0,Racing,Ubisoft  ,"RedLynx, Ltd.  ",,,,0.03,,0.0,0.03
PC,80,8.4,2004.0,Adventure,The Adventure Company  ,Microids  ,7.5,,,0.01,,0.0,0.02
XB,80,8.9,2002.0,Adventure,Microsoft  ,Sega-AM2  ,7.9,,0.22,0.08,,0.01,0.32
PS2,80,7.6,2002.0,Sports,EA Sports  ,EA Sports  ,,,0.44,0.35,,0.12,0.9
GBA,80,8.0,2001.0,Shooter,BAM! Entertainment  ,Crawfish Interactive  ,7.6,,,,,,
PC,80,7.6,2001.0,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,
PC,46,6.3,2001.0,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,
PC,80,8.1,2001.0,Strategy,Ubisoft  ,Fever Pitch Studios  ,,,,,,,
PC,80,8.3,1999.0,Adventure,Sierra Entertainment  ,Sierra Entertainment  ,6.7,,,,,,
N64,80,8.7,1999.0,Shooter,Rare  ,Rare Ltd.  ,8.1,,0.78,0.28,0.07,0.02,1.16
PS,80,8.5,1999.0,Role-Playing,Sony Computer Entertainment  ,tri-Ace  ,8.2,,0.26,0.1,0.72,0.02,1.1
XB,80,6.4,2005.0,Strategy,2K Games  ,Firaxis Games  ,,,0.11,0.03,,0.01,0.14
PC,80,7.8,2016.0,Role-Playing,Paradox Interactive   ,Obsidian Entertainment  ,,,,0.02,,0.0,0.02
PSP,80,8.4,2006.0,Misc,KOEI  ,iNiS  ,,,0.03,0.0,,0.0,0.04
PC,80,5.4,2016.0,Simulation,Sega  ,Sports Interactive  ,,,,0.31,,0.02,0.33
XOne,80,6.5,2014.0,Misc,Capybara Games  ,Unknown  ,,,,,,,
PC,80,5.2,2018.0,Fighting,Bandai Namco Games  ,Project Soul  ,,,,,,,
PC,80,7.7,2015.0,Action-Adventure,Adult Swim  ,Ostrich Banditos  ,,,,,,,
PC,80,7.3,2011.0,Strategy,Unknown  ,11 bit studios  ,7.9,,,,,,
X360,80,7.3,2011.0,Action,Ubisoft  ,Ubisoft Montreal  ,7.9,,2.28,1.47,0.04,0.44,4.22
PSP,80,7.9,2005.0,Sports,EA Sports  ,EA Sports  ,8.0,,0.18,,,0.01,0.2
DS,80,8.0,2006.0,Strategy,Majesco  ,Backbone Entertainment  ,,,0.18,0.02,,0.02,0.22
X360,80,6.0,2006.0,Sports,EA Sports  ,EA Tiburon  ,8.2,,1.66,0.0,0.01,0.13,1.8
NS,80,8.0,,Action,Unknown  ,Way Forward  ,,,,,,,
NS,80,8.4,2019.0,Role-Playing,11 bit studios  ,Dead Mage Studio  ,,,,,,,
PS4,80,1.8,2017.0,Sports,2K Sports  ,Visual Concepts  ,8.1,,2.13,0.57,0.04,0.59,3.34
PC,80,7.3,2015.0,Action,Mike Bithell Games  ,Mike Bithell Games  ,,,,,,,
PC,80,5.8,2013.0,Misc,Codemasters  ,Unknown  ,,,,0.06,,0.0,0.06
PC,80,8.8,2017.0,Action,Bethesda Softworks  ,Tango Gameworks  ,,,0.02,0.03,,0.0,0.05
WiiU,80,7.7,2012.0,Action,WayForward Technologies  ,WayForward  ,,,,,,,
PSP,80,8.4,2006.0,Sports,EA Sports  ,EA Canada  ,8.0,,0.25,0.64,,0.32,1.21
PS2,80,8.7,2007.0,Shooter,SNK Playmore  ,Terminal Reality  ,,,,,0.01,,0.01
PC,80,6.4,2020.0,Adventure,Frictional Games  ,Frictional Games  ,,,,,,,
PC,80,8.0,2014.0,Misc,Versus Evil  ,Unknown  ,,,,,,,
NS,80,8.6,2019.0,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
X360,80,8.2,2009.0,Fighting,THQ  ,JAKKS Pacific  ,8.2,,0.56,0.37,0.01,0.1,1.04
DS,80,8.8,2008.0,Role-Playing,Square Enix  ,Square Enix  ,8.1,,0.38,0.03,0.3,0.04,0.75
NS,80,7.9,2021.0,Action,Atlus  ,Omega Force  ,,,,,,,
XOne,80,6.8,,Platform,Unknown  ,Nicolas Meyssonnier  ,,,,,,,
NS,80,7.7,2019.0,Action-Adventure,Modus Games  ,Frozenbyte  ,,,,,,,
PC,80,7.1,2012.0,Sports,Konami Digital Entertainment  ,Konami  ,,,,0.07,,0.01,0.08
X360,80,6.9,2009.0,Sports,EA Sports  ,EA Tiburon  ,8.3,,0.39,0.2,,0.06,0.65
PS2,80,8.4,2004.0,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.27,0.11,1.34,,1.72
PS2,80,8.4,2004.0,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.46,0.36,,0.12,0.94
PS3,80,7.6,2011.0,Action,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.41,2.03,0.1,0.69,4.23
PS5,80,8.6,2021.0,Action-Adventure,Ember Lab  ,Ember Lab  ,,,,,,,
PC,80,7.6,2009.0,Misc,Hemisphere Games  ,Hemisphere Games  ,7.8,,,,,,
PS4,80,7.2,2020.0,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
PS4,80,8.2,2019.0,Role-Playing,Falcom Corporation  ,Falcom  ,,,,,,,
NS,80,8.2,2019.0,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
PS4,80,7.5,2018.0,Adventure,Gearbox Software  ,Unknown Worlds Entertainment  ,,,0.07,0.03,,0.02,0.12
PC,80,7.4,2017.0,Role-Playing,Defiant Development  ,Defiant Development  ,,,,,,,
PS3,80,5.9,2013.0,Shooter,Electronic Arts  ,EA DICE  ,8.7,,1.31,1.5,0.27,0.55,3.64
PS3,80,7.9,2008.0,Role-Playing,Namco Bandai  ,Tri-Crescendo  ,8.3,,0.19,0.12,0.07,0.05,0.44
PC,80,7.8,2005.0,Role-Playing,Microsoft Game Studios  ,Gas Powered Games  ,,,,0.02,,0.0,0.02
PSP,80,8.2,2006.0,Fighting,Capcom  ,Capcom  ,7.8,,0.27,0.01,0.02,0.03,0.33
PC,80,6.9,2011.0,Action,Deep Silver  ,Techland  ,7.1,,0.12,0.07,,0.02,0.22
PS4,80,7.6,2015.0,Fighting,Aksys Games  ,Arc System Works  ,,,0.08,0.04,0.02,0.02,0.16
PC,80,6.4,2003.0,Shooter,Eidos Interactive  ,Ion Storm  ,8.5,,,0.0,,0.0,0.0
PC,80,7.8,2003.0,Simulation,Electronic Arts  ,Maxis  ,,,1.03,0.8,,0.09,1.92
PS2,80,7.6,2002.0,Action,Sony Computer Entertainment  ,SCE San Diego Studio  ,,,0.22,0.18,,0.06,0.46
GBA,80,8.5,2002.0,Adventure,BAM! Entertainment  ,Revolution Software Ltd.  ,8.1,,0.04,0.02,,0.0,0.06
DC,80,7.8,2001.0,Puzzle,Sega  ,Hudson Soft  ,8.4,,,,,,
DC,80,8.7,2001.0,Fighting,Capcom  ,Capcom  ,7.9,,,,,,
PSV,80,7.5,2012.0,Action,Sony Computer Entertainment  ,SCEA Bend Studio / Naughty Dog  ,7.9,,0.53,0.71,0.13,0.25,1.62
PS2,80,8.7,2004.0,Action,Activision  ,Treyarch  ,7.9,,1.75,1.2,0.02,0.43,3.41
PS4,80,7.9,2017.0,Adventure,Sega  ,Sega  ,,,0.13,0.07,0.21,0.04,0.45
X360,80,8.4,2008.0,Adventure,Sega  ,Monolith Productions  ,8.2,,0.38,0.19,,0.06,0.63
3DS,80,4.5,2018.0,Role-Playing,Atlus  ,Atlus  ,,,0.08,0.01,0.1,0.01,0.2
X360,80,8.4,2013.0,Misc,Ubisoft  ,Unknown  ,,,,,,,
X360,80,7.7,2011.0,Racing,Ubisoft  ,Ubisoft Reflections  ,8.1,,0.25,0.37,0.0,0.07,0.7
PS4,80,6.4,2020.0,Fighting,Aksys Games  ,French-Bread  ,,,,,,,
XOne,80,8.1,2017.0,Action,THQ Nordic  ,Digital Reality  ,,,0.03,,,0.0,0.04
Wii,80,8.7,2007.0,Action,LucasArts  ,Traveller's Tales  ,8.0,,3.57,1.57,,0.52,5.66
PC,80,5.9,2006.0,Action,Ubisoft  ,Ubisoft Shanghai  ,,,,0.0,,0.0,0.0
PS4,80,7.9,2019.0,Shooter,Sony Interactive Entertainment  ,SIE London Studio  ,,,,,,,
PC,80,7.1,2004.0,Shooter,Electronic Arts  ,Dreamworks Games  ,,,,0.0,,0.0,0.0
PC,80,7.7,2018.0,Action,Crazy Monkey  ,Crazy Monkey Studios  ,,,,,,,
PC,80,7.9,2017.0,Role-Playing,Overhype Studios  ,Overhype Studios  ,,,,,,,
XOne,80,7.0,2019.0,Action-Adventure,Modus Games  ,Frozenbyte  ,,,,,,,
X360,80,8.4,2012.0,Misc,Warner Bros. Interactive Entertainment  ,Unknown  ,,,0.64,0.5,,0.1,1.24
PS3,80,8.1,2013.0,Shooter,Deep Silver  ,4a-games  ,,,0.14,0.21,0.03,0.07,0.44
Wii,80,8.2,2009.0,Sports,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9
NS,80,8.4,2020.0,Action-Adventure,Xseed Games  ,Edelweiss  ,,,,,,,
NS,80,8.4,2020.0,Role-Playing,Team17  ,NEXT Studios  ,,,,,,,
PS4,80,4.9,2019.0,Action,Runic Games  ,Runic Games  ,,,,,,,
PC,80,6.4,2012.0,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.6,,0.28,0.54,,0.07,0.89
GBA,80,7.3,2007.0,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
PC,80,7.3,2006.0,Sports,EA Sports  ,EA Tiburon  ,8.5,,,,,,
PC,80,8.3,2014.0,Misc,Red Barrels  ,Unknown  ,,,,,,,
PC,80,7.8,2009.0,Shooter,Atari  ,Starbreeze Studios AB  ,8.0,,,0.01,,0.0,0.01
PC,80,8.4,2006.0,Strategy,Paradox Interactive   ,Paradox Interactive  ,7.5,,,,,,
X360,80,7.8,2007.0,Sports,EA Sports  ,EA Canada  ,,,0.45,0.01,0.0,0.04,0.5
PS3,80,8.7,2011.0,Role-Playing,NIS America  ,Nippon Ichi Software  ,7.9,,0.27,0.11,0.14,0.06,0.58
XOne,80,5.7,,Adventure,Unknown  ,Variable State  ,,,,,,,
PC,80,7.7,,Adventure,Unknown  ,Night School Studio  ,,,,,,,
3DS,80,6.8,2012.0,Platform,Nintendo  ,Renegade Kid  ,,,,,,,
WiiU,80,7.9,2016.0,Role-Playing,Nintendo  ,Atlus  ,8.0,,0.17,0.06,0.08,0.02,0.33
PC,80,6.9,2004.0,Strategy,THQ  ,Pandemic Studios  ,7.8,,,0.0,,,0.0
PC,80,6.3,2020.0,Platform,Annapurna Interactive  ,Beethoven & Dinosaur  ,,,,,,,
XB,80,8.7,2005.0,Platform,Capcom  ,Atomic Planet Entertainment  ,,,0.1,0.03,,0.0,0.13
PSP,80,6.6,2008.0,Sports,Konami  ,Konami  ,7.8,,0.02,0.53,0.19,0.25,0.98
3DS,80,7.7,2015.0,Action,Horberg Productions  ,Horberg Productions  ,8.3,,,,,,
X360,80,7.6,2012.0,Shooter,2K Games  ,Digital Extremes  ,,,0.25,0.11,,0.03,0.4
PS4,80,7.4,2019.0,Action,Veewo Games  ,Veewo Games  ,,,,,,,
PC,80,7.9,2009.0,Strategy,"Arcen Games, LLC  ",Arcen Games  ,,,,,,,
PS2,80,8.8,2004.0,Sports,EA Sports BIG   ,EA Tiburon  ,,,1.15,0.08,,0.19,1.42
GBA,80,8.1,2003.0,Fighting,Atlus  ,Marvelous Interactive  ,7.9,,0.06,0.02,,0.0,0.08
PC,80,7.8,2003.0,Shooter,Electronic Arts  ,IO Interactive  ,,,,,,,
XB,80,7.4,2003.0,Sports,Activision  ,Shaba Games  ,,,0.04,0.01,,0.0,0.05
PC,80,7.8,2002.0,Sports,EA Sports  ,EA Canada  ,,,,,,,
GBA,80,tbd,2002.0,Racing,Codemasters  ,Codemasters  ,8.5,,0.02,0.01,,0.0,0.02
DC,80,8.6,2000.0,Fighting,Capcom  ,Capcom  ,8.8,,,,0.22,,0.22
N64,80,7.8,2000.0,Strategy,Nintendo  ,Mass Media  ,8.0,,0.13,0.03,,0.0,0.16
PS,80,8.6,1999.0,Role-Playing,Square EA  ,SquareSoft  ,8.6,,0.45,0.3,,0.05,0.8
NS,80,7.0,2019.0,Platform,Nintendo  ,Nintendo EPD  ,,6.6,,,,,
PC,80,8.0,2002.0,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,7.7,,,,,,
XOne,80,7.1,2015.0,Racing,Ubisoft  ,RedLynx  ,,,0.12,0.1,,0.02,0.25
PS4,80,6.7,2020.0,Sports,Metalhead Software Inc.  ,Metalhead Software Inc.  ,,,,,,,
NS,80,8.7,2018.0,Role-Playing,Nintendo  ,Monolith Soft  ,7.5,,0.08,0.05,0.02,0.01,0.16
PS4,80,3.4,2019.0,Shooter,Activision  ,Infinity Ward  ,,,,,,,
PC,80,7.4,,Action-Adventure,Unknown  ,Afterburner Studios  ,,,,,,,
PS4,80,7.1,,Puzzle,Unknown  ,Zoink Games  ,,9.0,,,,,
PC,80,6.7,2014.0,Simulation,Frontier Developments  ,Frontier Developments Inc.  ,,,,,,,
PC,80,7.0,2008.0,Racing,Disney Interactive Studios  ,Black Rock Studio  ,7.0,,,,,,
NS,80,7.8,2018.0,Role-Playing,Ubisoft  ,Ubisoft San Francisco  ,9.5,9.5,0.08,0.05,,0.01,0.14
X360,80,8.1,2009.0,Simulation,505 Games  ,Gaijin Entertainment  ,,,0.23,0.23,,0.05,0.51
PS3,80,7.6,2013.0,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,,,1.23,0.72,0.04,0.41,2.4
X360,80,7.8,2006.0,Sports,EA Sports  ,EA Redwood Shores  ,8.2,,0.44,0.0,,0.04,0.48
NS,80,7.0,2019.0,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
PS3,80,7.4,2013.0,Fighting,Capcom  ,Iron Galaxy Studios  ,,,,,0.03,,0.03
NS,80,6.3,2021.0,Action,Devolver Digital  ,DANG!  ,,,,,,,
PS3,80,7.2,2008.0,Misc,Sony Computer Entertainment  ,Relentless Software  ,7.9,,0.28,0.47,,0.13,0.88
PC,80,7.9,2013.0,Adventure,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,0.07,,0.0,0.07
X360,80,7.0,2009.0,Fighting,Namco Bandai  ,Namco Bandai Games  ,7.8,,0.71,0.41,0.05,0.13,1.3
XOne,80,8.3,2016.0,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.25,0.07,,0.03,0.35
PS4,80,7.2,2015.0,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.48,0.5,,0.2,1.18
XOne,80,8.0,2015.0,Shooter,2K Games  ,Gearbox Software  ,,,0.49,0.13,,0.07,0.68
PS3,80,6.9,2009.0,Sports,EA Sports  ,EA Tiburon  ,8.1,,0.75,,,0.06,0.81
NS,80,8.1,2018.0,Strategy,Versus Evil  ,Stoic Studio  ,,,,,,,
PC,80,4.3,2015.0,Adventure,MidBoss  ,MidBoss  ,,,,,,,
PSV,80,7.9,2014.0,Action,Sony Computer Entertainment  ,Sanzaru Games  ,,,,,,,
PS3,80,7.2,2011.0,Fighting,Capcom  ,Capcom / Dimps Corporation  ,8.1,,0.15,0.05,0.17,0.02,0.38
PC,80,8.0,2006.0,Shooter,Sierra Entertainment  ,Irrational Games  ,,,0.0,,,0.0,0.0
PS4,80,7.4,,Role-Playing,Unknown  ,CD Projekt Red Studio  ,,,,,,,
PS2,80,8.6,2004.0,Fighting,THQ  ,Yuke's  ,,,1.32,1.08,0.04,0.39,2.83
PS4,80,7.7,2019.0,Adventure,Capcom  ,Capcom  ,,,,,,,
PC,80,8.2,2014.0,Misc,Acid Wizard Studio  ,Unknown  ,,,,,,,
PC,80,8.0,2020.0,Action,Inti Creates  ,Inti Creates  ,,,,,,,
DS,80,4.8,2010.0,Role-Playing,Atlus  ,Atlus Co.  ,8.0,,0.13,,0.14,0.01,0.28
PC,80,8.8,2003.0,Sports,Electronic Arts  ,EA Canada  ,,,,,,,
XB,80,7.4,2002.0,Sports,EA Sports  ,EA Canada  ,,,0.15,0.04,,0.01,0.21
DC,80,7.4,2000.0,Shooter,Acclaim Entertainment  ,Bizarre Creations  ,8.2,,,,,,
X360,80,8.2,2010.0,Sports,EA Sports  ,EA Black Box  ,8.3,,1.47,0.99,,0.25,2.71
PS3,80,7.2,2011.0,Sports,EA Sports  ,EA Tiburon  ,,,0.52,0.25,,0.11,0.89
PS3,80,8.4,2013.0,Platform,Sony Computer Entertainment America  ,SCE Japan Studio  ,,,0.11,0.09,0.02,0.04,0.27
X360,80,7.4,2006.0,Action,Eidos Interactive  ,Crystal Dynamics  ,8.1,,0.27,0.07,0.01,0.03,0.37
PS4,80,7.0,2019.0,Action,Big Sugar  ,Steel Mantis  ,,,,,,,
PC,80,7.7,2008.0,Adventure,Eidos Interactive  ,Crystal Dynamics  ,8.0,,,0.07,,0.01,0.08
PC,80,8.4,2007.0,Role-Playing,THQ  ,Iron Lore  ,8.3,,,0.0,,0.0,0.0
X360,80,7.6,2005.0,Action,Ubisoft  ,Ubisoft Montpellier  ,7.9,,0.2,0.03,,0.02,0.26
PS4,80,6.9,2016.0,Simulation,Introversion Software  ,Introversion Software  ,,,0.02,0.02,,0.01,0.05
PS4,80,7.2,2019.0,Shooter,Deep Silver  ,4a-games  ,8.5,,,,,,
PC,80,8.1,2005.0,Role-Playing,Activision  ,Raven Software  ,7.9,,0.01,,,0.0,0.01
PC,80,7.6,2006.0,Strategy,Aspyr  ,Phenomic Game Development  ,8.2,,,0.0,,0.0,0.0
PC,80,6.7,2004.0,Strategy,Viva Media  ,ChessBase  ,,,,,,,
PC,80,8.1,2009.0,Platform,Nobilis  ,Frozenbyte  ,8.1,,,0.01,,0.0,0.01
PS4,80,7.7,2015.0,Action,Bethesda Softworks  ,Arkane Studios  ,,,0.12,0.21,0.02,0.06,0.42
3DS,80,8.0,2017.0,Role-Playing,Atlus  ,Atlus  ,7.9,,0.11,0.01,0.14,0.01,0.27
X360,80,8.0,2012.0,Action-Adventure,Square Enix  ,United Front Games  ,7.9,,0.38,0.4,0.01,0.08,0.87
PSP,80,7.6,2007.0,Racing,Atari  ,Melbourne House  ,7.7,,0.08,0.28,,0.15,0.51
XB,80,7.5,2005.0,Sports,EA Sports  ,EA Canada  ,,,0.29,0.38,,0.01,0.68
PS4,80,7.9,2019.0,Shooter,Bandai Namco Games  ,Namco Bandai Games  ,,,,,,,
PS4,80,7.7,2015.0,Sports,Sony Computer Entertainment America  ,SCE San Diego Studio  ,,,0.75,0.08,,0.19,1.01
NS,80,8.6,2018.0,Action,Capcom  ,Capcom  ,7.7,,0.27,0.14,0.27,0.04,0.72
PS3,80,7.7,2006.0,Sports,2K Sports  ,Visual Concepts  ,8.1,,0.3,0.04,,0.03,0.38
PC,80,2.2,2013.0,Misc,Sega  ,Relic  ,,,0.06,0.26,,0.02,0.34
PS4,80,7.8,2017.0,Adventure,Grey Box  ,Tequila Works  ,7.1,,0.02,0.07,,0.02,0.11
PC,80,8.5,,Shooter,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
PS4,80,7.2,2019.0,Action-Adventure,Modus Games  ,Frozenbyte  ,,,,,,,
Wii,80,8.5,2010.0,Shooter,Ubisoft  ,Ubisoft Paris  ,7.8,8.5,0.35,0.21,0.01,0.06,0.62
