,Platform,meta_score,meta_UserReview,Year,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Action,Action-Adventure,Adventure,Board Game,Education,Fighting,MMO,Misc,Music,Party,Platform,Puzzle,Racing,Role-Playing,Sandbox,Shooter,Simulation,Sports,Strategy,Visual Novel
29,PS3,96.0,8.8,2011,Warner Bros. Interactive  ,Rocksteady Studios  ,9.6,2.72,1.89,0.11,0.82,5.54,11.080000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,PS,96.0,9.1,1998,Namco  ,Namco  ,9.6,3.27,2.22,1.4,0.29,7.16,14.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,X360,96.0,8.9,2010,Electronic Arts  ,BioWare Edmonton  ,9.5,1.99,0.81,0.03,0.27,3.1,6.199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,X360,96.0,8.6,2011,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,5.1,2.83,0.1,0.85,8.88,17.759999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,PC,96.0,9.1,1998,Sierra Entertainment  ,Valve Software  ,9.5,4.03,0.0,0.09,0.0,4.12,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,PS2,96.0,9.0,2005,Capcom  ,Capcom Production Studio 4  ,9.6,2.08,0.83,0.46,0.25,3.62,7.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PS,96.0,8.6,1998,Sony Computer Entertainment  ,Polyphony Digital  ,9.5,4.02,3.87,2.54,0.52,10.95,21.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,PC,96.0,8.6,2007,2K Games  ,2K Australia / 2K Boston  ,9.6,0.01,0.39,0.0,0.01,0.41,0.8200000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,PS2,96.0,8.8,2001,Konami  ,Konami Computer Entertainment Japan  ,9.5,2.45,2.01,0.87,0.72,6.05,12.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,PC,95.0,9.1,2000,Interplay  ,BioWare  ,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,PS2,95.0,9.1,2004,Rockstar Games  ,Rockstar North  ,9.5,9.43,0.4,0.41,10.57,20.81,41.620000000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,PS2,95.0,8.8,2002,Rockstar Games  ,Rockstar North  ,9.6,8.41,5.49,0.47,1.78,16.15,32.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,PS3,95.0,6.8,2008,Sony Computer Entertainment  ,Media Molecule  ,9.4,2.8,2.01,0.17,0.87,5.85,11.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,PS3,95.0,8.9,2011,Rockstar Games  ,Rockstar San Diego  ,9.5,2.82,2.58,0.17,1.0,6.57,13.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,PS2,95.0,8.4,2001,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,6.85,5.09,1.87,1.16,14.98,29.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,XB,95.0,8.7,2004,Microsoft Game Studios  ,Bungie Studios  ,9.6,6.82,1.53,0.05,0.08,8.49,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,GBA,95.0,9.0,2002,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,1.75,0.52,0.33,0.1,2.7,5.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,N64,95.0,9.1,2000,Nintendo  ,Nintendo EAD  ,9.3,1.9,0.67,0.73,0.06,3.36,6.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,PS3,95.0,9.2,2013,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,2.41,2.57,0.29,0.99,6.27,12.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Wii,95.0,9.0,2006,Nintendo  ,Nintendo EAD  ,9.5,3.74,2.16,0.6,0.69,7.18,14.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,PS2,95.0,7.6,2002,EA Sports  ,EA Tiburon  ,9.4,3.36,0.21,0.01,0.56,4.14,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,GBA,95.0,6.9,2001,Activision  ,Vicarious Visions  ,8.9,0.85,0.31,0.0,0.02,1.18,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,PS4,95.0,8.4,2020,Atlus  ,Atlus  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,PS4,95.0,9.2,2014,Sony Computer Entertainment  ,Naughty Dog  ,9.5,2.7,2.86,0.11,1.1,6.77,13.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,PC,95.0,9.1,2011,Valve  ,Valve Software  ,9.7,0.33,0.33,0.0,0.1,0.75,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,X360,95.0,9.0,2010,Rockstar Games  ,Rockstar San Diego  ,9.5,3.77,2.03,0.09,0.6,6.5,12.989999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,X360,95.0,8.8,2011,Valve  ,Valve Software  ,9.6,1.41,0.49,0.01,0.17,2.08,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,XOne,95.0,7.5,2015,Konami Digital Entertainment  ,Kojima Productions  ,,0.49,0.25,0.02,0.07,0.83,1.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,PS3,95.0,8.7,2011,Valve  ,Valve Software  ,9.6,0.83,0.62,0.02,0.24,1.71,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,PC,94.0,8.4,2011,Bethesda Softworks  ,Bethesda Game Studios  ,9.2,1.18,2.25,0.0,0.56,3.99,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,PS3,94.0,8.5,2013,2K Games  ,Irrational Games  ,9.5,0.74,0.74,0.04,0.3,1.82,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,PS,94.0,9.0,2000,Square  ,SquareSoft  ,9.2,1.62,0.77,2.78,0.14,5.3,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,PS3,94.0,6.6,2009,Activision  ,Infinity Ward  ,9.5,4.99,3.66,0.38,1.59,10.61,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,PS2,94.0,8.4,2002,Activision  ,Neversoft Entertainment  ,9.6,2.13,1.18,0.01,0.35,3.67,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,PS2,94.0,8.6,2001,Capcom  ,Capcom  ,9.1,1.36,0.86,0.64,0.13,2.99,5.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,PS3,94.0,8.4,2007,Activision  ,Infinity Ward  ,9.5,3.13,2.27,0.28,1.04,6.72,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,PS2,94.0,7.3,2001,EA Sports  ,EA Sports  ,,2.5,0.16,0.01,0.42,3.08,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,X360,94.0,8.8,2011,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,2.99,1.28,0.04,0.44,4.75,9.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,PC,94.0,8.9,2010,Electronic Arts  ,BioWare Corp.  ,9.6,0.01,0.32,0.0,0.05,0.39,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,3DS,94.0,9.0,2011,Nintendo  ,GREZZO  ,9.3,1.42,0.01,0.56,0.0,2.0,3.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
