,Platform,meta_score,meta_UserReview,Year,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Action,Action-Adventure,Adventure,Board Game,Education,Fighting,MMO,Misc,Music,Party,Platform,Puzzle,Racing,Role-Playing,Sandbox,Shooter,Simulation,Sports,Strategy,Visual Novel
1097,Wii,86.0,7.8,2007,RedOctane  ,Vicarious Visions  ,8.6,3.04,1.12,0.0,0.44,4.6,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1098,PS2,86.0,8.6,2005,Majesco  ,Double Fine Productions  ,8.6,0.05,0.04,0.0,0.01,0.09,0.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1099,PS3,86.0,5.8,2009,Activision  ,Neversoft Entertainment  ,8.8,0.53,0.39,0.0,0.17,1.1,2.1900000000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1100,PC,86.0,7.3,2011,Electronic Arts  ,EA DICE  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1101,PS4,86.0,8.6,2018,Square Enix  ,Square Enix  ,9.5,0.29,0.22,1.43,0.1,2.04,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1102,GBA,86.0,7.8,2001,Nintendo  ,"Nd Cube Co., Ltd.  ",8.7,0.39,0.16,0.37,0.12,1.04,2.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1103,PS4,86.0,6.2,2015,Activision  ,Bungie  ,,0.97,0.8,0.05,0.36,2.18,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1104,PC,86.0,6.3,2014,Blizzard Entertainment  ,Blizzard Entertainment  ,,0.01,0.0,0.0,0.0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1105,XOne,86.0,6.7,2017,Deep Silver  ,Codemasters  ,,0.11,0.1,0.0,0.02,0.23,0.46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1106,PC,86.0,7.8,2003,Atari  ,BreakAway Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1107,N64,86.0,8.2,1998,Acclaim Entertainment  ,Iguana Entertainment  ,9.0,1.37,0.41,0.04,0.04,1.86,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1108,PC,86.0,8.0,2013,Grinding Gear Games  ,Grinding Gear Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1109,PC,86.0,8.0,2010,Electronic Arts  ,EA Digital Illusions CE  ,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1110,PS4,86.0,6.5,2015,Roll7  ,Roll7  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1111,PC,86.0,7.4,2010,Ubisoft  ,Ubisoft Montreal  ,8.5,0.01,0.45,0.0,0.07,0.54,1.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,XOne,86.0,6.3,2017,Microsoft Studios  ,Turn 10 Studios  ,8.9,0.58,0.81,0.01,0.12,1.52,3.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1113,NS,86.0,8.5,2018,Coffee Stain Studios  ,Easy Trigger Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,PS3,86.0,7.0,2007,Electronic Arts  ,EA Canada  ,,0.16,0.06,0.0,0.03,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1115,XOne,86.0,7.5,2015,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,1.34,0.23,0.0,0.18,1.74,3.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,PC,86.0,7.1,2018,Sega  ,Sports Interactive  ,,0.0,0.1,0.0,0.01,0.11,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1117,WiiU,86.0,8.2,2015,Horberg Productions  ,Horberg Productions  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,PS3,86.0,5.7,2012,Atlus  ,Arc System Works  ,,0.32,0.12,0.24,0.08,0.77,1.5299999999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,PC,86.0,8.3,2007,Bethesda Softworks  ,Bethesda  ,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1120,PC,86.0,6.2,2018,Ubisoft  ,Ubisoft Quebec  ,,0.0,0.06,0.0,0.0,0.06,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,PC,86.0,7.1,2020,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,PC,86.0,8.5,2015,Codemasters  ,Codemasters  ,,0.0,0.03,0.0,0.0,0.04,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1123,NS,86.0,8.4,2017,Sega  ,PagodaWest Games  ,8.8,0.23,0.18,0.01,0.04,0.47,0.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1124,PC,86.0,7.7,2015,Psyonix Studios  ,Psyonix Studios  ,9.2,0.03,0.08,0.0,0.01,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1125,WiiU,86.0,8.5,2016,Nintendo  ,Tantalus Interactive  ,8.4,0.67,0.37,0.1,0.1,1.24,2.4800000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,PC,86.0,7.6,2017,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,PS3,86.0,8.7,2015,Xseed Games  ,Nihon Falcom Corporation  ,,0.06,0.02,0.12,0.02,0.21,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1128,PS2,86.0,8.1,2004,Sega  ,Visual Concepts  ,,0.41,0.32,0.0,0.11,0.84,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1129,PC,86.0,7.5,2000,Microsoft  ,Microsoft Game Studios  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1130,3DS,85.0,8.0,2016,Capcom  ,Capcom  ,8.8,0.42,0.26,2.82,0.07,3.56,7.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,DS,85.0,8.7,2011,Atlus  ,Atlus Co.  ,8.5,0.19,0.0,0.09,0.02,0.3,0.6000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1132,DS,85.0,8.3,2006,Konami  ,Konami  ,8.5,0.31,0.02,0.04,0.03,0.4,0.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1133,PS5,85.0,5.8,2020,Tripwire Interactive  ,Torn Banner Studios  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,PC,85.0,8.1,2019,Gearbox Publishing  ,Hopoo Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,X360,85.0,7.7,2010,Ubisoft  ,Ubisoft Montreal  ,8.6,1.2,0.62,0.04,0.19,2.06,4.109999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,PS2,85.0,8.6,2002,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",8.7,0.17,0.13,0.0,0.04,0.35,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1137,PC,85.0,8.6,2014,Devolver Digital  ,Croteam  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1138,PC,85.0,8.8,2015,Paradox Interactive   ,Colossal Order  ,,0.0,0.16,0.0,0.01,0.17,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1139,PS4,85.0,7.9,2016,Codemasters  ,Codemasters  ,,0.13,0.3,0.0,0.08,0.51,1.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1140,NS,85.0,8.1,2017,Drool  ,Drool  ,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1141,PS4,85.0,6.6,2016,Brace Yourself Games  ,Brace Yourself Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1142,3DS,85.0,8.7,2017,Nintendo  ,Mercury Steam  ,9.1,0.3,0.15,0.07,0.05,0.56,1.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,PSV,85.0,7.1,2015,Roll7  ,Roll7  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1144,3DS,85.0,8.6,2017,Nintendo  ,Level 5 / Armor Project  ,8.8,0.14,0.11,0.88,0.02,1.15,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1145,PS2,85.0,8.8,2006,Rockstar Games  ,Rockstar San Diego  ,,0.97,0.04,0.0,0.16,1.16,2.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1146,X360,85.0,8.2,2007,Electronic Arts  ,Unknown  ,,0.22,0.01,0.0,0.02,0.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,PS3,85.0,8.7,2013,Namco Bandai Games  ,Level 5/Studio Ghibli  ,,0.6,0.51,0.21,0.22,1.54,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1148,PC,85.0,8.2,2020,Coffee Stain Studios  ,Ghost Ship Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1149,PS3,85.0,7.3,2010,THQ  ,Yuke's Future Media Creators  ,8.4,0.8,0.4,0.02,0.19,1.42,2.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,PS2,85.0,8.6,2005,Ubisoft  ,Ubisoft Montreal  ,,0.57,0.02,0.0,0.09,0.68,1.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,PS3,85.0,8.1,2011,PopCap Games  ,PopCap  ,,0.18,0.0,0.0,0.03,0.21,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1152,PS3,85.0,8.1,2011,Sony Computer Entertainment  ,Unknown  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1153,XB,85.0,8.2,2003,EA Sports  ,EA Canada  ,,0.44,0.04,0.0,0.02,0.51,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1154,XB,85.0,6.5,2003,EA Sports  ,EA Black Box  ,,0.13,0.04,0.0,0.01,0.18,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1155,PS2,85.0,8.0,2002,Eidos Interactive  ,IO Interactive  ,,1.36,1.15,0.04,0.41,2.96,5.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,PC,85.0,7.9,1998,Atari  ,MicroProse  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1157,PC,85.0,8.1,1998,Red Storm Entertainment  ,Red Storm Entertainment  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1158,PS,85.0,8.8,1997,GT Interactive  ,Oddworld Inhabitants  ,8.3,0.75,0.44,0.0,0.06,1.24,2.49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1159,PC,85.0,7.6,2020,Xbox Game Studios  ,InXile Entertainment  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1160,PC,85.0,6.4,2004,EA Sports  ,BudCat Creations  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1161,PS3,85.0,4.4,2008,EA Sports  ,EA Tiburon  ,8.6,1.56,0.15,0.0,0.18,1.89,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1162,X360,85.0,8.1,2007,RedOctane  ,Neversoft  ,8.7,3.19,0.91,0.01,0.42,4.53,9.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1163,PS5,85.0,7.2,2021,Sony Interactive Entertainment  ,Housemarque  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1164,XOne,85.0,4.1,2019,EA Sports  ,EA Vancouver  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1165,PS3,85.0,8.8,2010,Sony Computer Entertainment  ,Sanzaru Games  ,8.7,0.52,0.08,0.01,0.08,0.69,1.38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1166,Wii,85.0,8.6,2010,Capcom  ,Eighting  ,8.3,0.3,0.16,0.03,0.05,0.54,1.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,PSP,85.0,8.6,2006,Sony Computer Entertainment  ,Ready at Dawn  ,8.6,2.45,1.02,0.0,0.77,4.23,8.47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1168,PC,85.0,6.0,2014,Electronic Arts  ,BioWare Edmonton  ,,0.38,0.33,0.0,0.07,0.78,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1169,PS3,85.0,8.7,2008,Sony Computer Entertainment  ,SCE San Diego Studio  ,,0.64,0.0,0.0,0.05,0.7,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1170,XB,85.0,8.2,2005,Midway Games  ,Epic Games  ,,0.22,0.05,0.0,0.01,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1171,PS4,85.0,9.1,2020,Atlus  ,Vanillaware  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,PS4,85.0,8.0,2019,Private Division  ,Obsidian Entertainment  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1173,PS4,85.0,7.1,2013,Electronic Arts  ,EA DICE  ,8.3,1.4,1.74,0.19,0.62,3.94,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1174,3DS,85.0,8.0,2011,Capcom  ,Capcom  ,8.5,0.55,0.45,0.14,0.09,1.22,2.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,PC,85.0,8.4,2004,NCSoft  ,Paragon Studios  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1176,PC,85.0,7.8,2016,"H2 Interactive Co., Ltd.  ",Arc System Works  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,PC,85.0,8.6,2005,Sierra Entertainment  ,Irrational Games  ,,0.0,0.02,0.0,0.0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1178,PS2,85.0,8.4,2003,Rockstar Games  ,Rockstar San Diego  ,,1.25,0.29,0.0,0.24,1.78,3.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1179,XB,85.0,7.0,2002,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",9.0,0.05,0.01,0.0,0.0,0.06,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1180,PS,85.0,8.4,2000,Midway Games  ,Attention To Detail  ,,0.05,0.03,0.0,0.01,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1181,PC,85.0,7.9,1999,Sony Online Entertainment  ,Verant Interactive  ,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1182,N64,85.0,8.7,1998,Nintendo  ,Nintendo EAD  ,8.5,0.45,0.33,0.29,0.03,1.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1183,NS,85.0,8.6,2019,Square Enix  ,Square Enix  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1184,NS,85.0,8.3,2019,Mega Crit Games  ,Mega Crit Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1185,XB,85.0,6.0,2005,Ubisoft  ,Ubisoft Montreal  ,,0.32,0.24,0.0,0.02,0.57,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1186,PC,85.0,8.1,2009,THQ  ,Relic  ,8.7,0.0,0.45,0.0,0.01,0.47,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1187,PS4,85.0,6.5,2013,2K Sports  ,Visual Concepts  ,,0.91,0.35,0.01,0.27,1.54,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1188,PS3,85.0,7.5,2011,Electronic Arts  ,Dice  ,8.5,2.86,2.94,0.35,1.07,7.21,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1189,PS2,85.0,8.5,2000,Namco  ,Namco  ,8.7,1.68,1.51,0.51,0.35,4.05,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,PS2,85.0,8.7,2004,Capcom  ,Capcom  ,,0.37,0.47,0.54,0.07,1.45,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,PS3,85.0,8.0,2009,THQ  ,Volition Inc.  ,8.6,0.33,0.27,0.02,0.12,0.74,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1192,NS,85.0,8.5,2020,Unknown  ,Moonsprout Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1193,PS2,85.0,7.5,2003,Square Enix  ,Square Enix  ,8.3,1.92,1.08,2.11,0.17,5.29,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1194,PC,85.0,8.0,2007,Electronic Arts  ,EA Los Angeles  ,,0.0,0.06,0.0,0.01,0.07,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1195,X360,85.0,6.2,2009,EA Sports  ,EA Tiburon  ,8.6,2.52,0.09,0.0,0.22,2.83,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1196,XOne,85.0,7.1,2015,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,0.97,0.46,0.0,0.14,1.58,3.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,WiiU,85.0,7.2,2012,Ubisoft  ,Ubisoft Montreal  ,7.7,0.19,0.14,0.0,0.03,0.36,0.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198,GBA,85.0,8.7,2004,Sega  ,Hitmaker  ,8.8,0.06,0.02,0.0,0.0,0.09,0.1699999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,X360,85.0,8.7,2010,Aksys Games  ,Arc System Works  ,8.6,0.23,0.04,0.02,0.02,0.32,0.6300000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,PS4,85.0,8.6,2016,Square Enix  ,DONTNOD Entertainment  ,,0.11,0.16,0.05,0.05,0.37,0.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,PC,85.0,8.5,2012,Devolver Digital  ,Dennaton Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,PC,85.0,8.0,2018,Square Enix  ,Square Enix  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1203,XB,85.0,7.3,2002,Sega  ,Blueshift  ,,0.17,0.05,0.0,0.01,0.23,0.4600000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1204,PC,85.0,8.3,2001,Sirtech  ,"Sir-tech Software, Inc.  ",,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1205,PC,85.0,8.7,2001,Codemasters  ,Bohemia Interactive  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1206,PS2,85.0,8.2,2001,Electronic Arts  ,Electronic Arts  ,,0.1,0.08,0.0,0.03,0.21,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1207,PS,85.0,8.7,2001,Agetec  ,ProSoft  ,,0.05,0.03,0.0,0.01,0.09,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1208,PC,85.0,8.3,2001,Gathering of Developers  ,Gathering of Developers  ,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1209,PC,85.0,8.6,2000,Interplay  ,Planet Moon Studios  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1210,XB,85.0,7.4,2005,THQ  ,Climax Group  ,,0.01,0.0,0.0,0.0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1211,PS4,85.0,8.4,2016,505 Games  ,Psyonix Studios  ,8.7,0.37,1.34,0.0,0.31,2.02,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1212,X360,85.0,8.1,2005,Tecmo  ,Team Ninja  ,8.6,0.3,0.03,0.1,0.03,0.47,0.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,PC,85.0,4.8,2005,EA Sports  ,EA Tiburon  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1214,X360,85.0,7.8,2008,Disney Interactive Studios  ,Black Rock Studio  ,8.3,1.38,0.84,0.0,0.25,2.47,4.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1215,PSP,85.0,8.5,2009,Sony Computer Entertainment  ,SCE Japan Studio  ,8.5,0.21,0.09,0.01,0.05,0.36,0.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1216,PS3,85.0,7.2,2011,Electronic Arts  ,Crytek  ,8.8,0.48,0.57,0.06,0.22,1.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1217,PC,85.0,8.0,2008,Turbine Inc.  ,Turbine Inc.  ,,0.0,0.02,0.0,0.0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1218,PS3,85.0,7.8,2008,Namco Bandai  ,Project Soul  ,8.4,0.72,0.4,0.14,0.2,1.47,2.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,PS2,85.0,8.8,2002,Square EA  ,SquareSoft  ,8.5,3.64,1.2,1.49,0.07,6.4,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1220,PSV,85.0,8.4,2013,Devolver Digital  ,Dennaton Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,PC,85.0,8.6,2010,Unknown  ,Frictional Games  ,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,X360,85.0,7.9,2008,Namco Bandai  ,Project Soul  ,8.3,0.92,0.43,0.07,0.15,1.58,3.1500000000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,XB,85.0,8.1,2001,Microsoft  ,Bizarre Creations  ,8.4,1.37,0.61,0.05,0.09,2.12,4.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1224,XB,85.0,8.5,2004,Microsoft Game Studios  ,Big Blue Box  ,8.6,1.99,0.58,0.0,0.09,2.66,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1225,X360,85.0,8.5,2012,Microsoft Studios  ,Playground Games  ,,0.82,0.94,0.04,0.16,1.94,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1226,PC,85.0,8.0,2015,Gollop Games  ,Gollop Games  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1227,XOne,85.0,7.7,2017,Ubisoft  ,Ubisoft Montreal  ,,1.34,0.92,0.0,0.22,2.47,4.950000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,PC,85.0,8.0,2005,10TACLE Studios  ,SimBin  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1229,PS4,85.0,8.5,2017,Square Enix  ,Square Enix  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
