Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
48001,StreetRace Rivals,BRW,2013,Misc,Glu Games  ,Unknown  ,,,,,,,
48002,Streets of Fury,XBL,2009,Fighting,Microsoft  ,Cyrille Lagarigue  ,,,,,,,
48003,Streets of Moscow,PC,2010,Racing,1C Company  ,Gaijin Entertainment  ,,,,,,,
48004,Streets of Rage,GG,1992,Action,Sega  ,Sega  ,,,,,,,
48005,Streets of Rage,XBL,N/A,Action,Unknown  ,Backbone Entertainment  ,,,,,,,
48006,Streets of Rage,VC,2007,Action,Sega  ,Sega  ,,,,,,,
48007,Streets of Rage,MS,1993,Action,Sega  ,Sega  ,,,,,,,
48008,Streets of Rage,PC,2011,Action,Sega  ,Sega  ,,,,,,,
48009,Streets of Rage 2,GEN,1992,Action,Sega  ,Sega  ,,,,,,,
48010,Streets of Rage 2,GG,1993,Action,Sega  ,Sega  ,,,,,,,
48011,Streets of Rage 2,VC,2007,Action,Sega  ,Sega  ,,,,,,,
48012,Streets of Rage 2,XBL,2007,Action,Sega  ,Backbone Entertainment  ,,,,,,,
48013,Streets of Rage 2,PC,2011,Misc,Sega  ,Unknown  ,,,,,,,
48014,Streets of Rage 3,VC,2007,Action,Sega  ,Sega  ,,,,,,,
48015,Streets of Rage 3,PC,2012,Misc,Sega  ,Unknown  ,,,,,,,
48016,Streets of Rage II,MS,1995,Action,Tec Toy  ,Sega  ,,,,,,,
48017,Streets of Rage II,PC,2011,Action,Sega  ,Sega  ,,,,,,,
48018,Streets of Rage II,PSN,2011,Action,Sega  ,Sega  ,,,,,,,
48019,Streets of SimCity,PC,1997,Racing,Maxis  ,Maxis  ,,,,,,,
48020,Stretchmo,3DS,2015,Puzzle,Nintendo  ,Intelligent Systems  ,,,,,,,
48021,Strictly Come Dancing,Wii,N/A,Misc,Unknown  ,Ubisoft  ,,,,,,,
48022,Strictly Come Dancing,PS3,N/A,Misc,Unknown  ,Ubisoft  ,,,,,,,
48023,Strictly Come Dancing,X360,N/A,Misc,Unknown  ,Ubisoft  ,,,,,,,
48024,Strider,NES,1989,Platform,Capcom  ,Capcom  ,,,,,,,
48025,Strider,GEN,1990,Platform,Sega  ,Capcom  ,,,,,,,
48026,Strider,MS,1991,Platform,Sega  ,Sega  ,,,,,,,
48027,Strider,PC,1989,Platform,U.S. Gold  ,Tiertex Design Studios  ,,,,,,,
48028,Strider,VC,2011,Platform,Sega  ,Sega  ,,,,,,,
48029,Strider (2014),PS4,2014,Platform,Capcom  ,Double Helix Games  ,,,,,,,
48030,Strider (2014),X360,2014,Platform,Capcom  ,Double Helix Games  ,,,,,,,
48031,Strider Hiryu,PCE,1994,Platform,NEC Avenue  ,NEC Avenue  ,,,,,,,
48032,Strider Hiryu,PS,2006,Platform,Capcom  ,Capcom  ,,,,,,,
48033,Strider II,MS,1991,Platform,U.S. Gold  ,Tiertex Design Studios  ,,,,,,,
48034,Strider Returns: Journey From Darkness,GG,1994,Platform,U.S. Gold  ,Tiertex Design Studios  ,,,,,,,
48035,Strider Returns: Journey From Darkness,GEN,1990,Platform,U.S. Gold  ,Tiertex Design Studios  ,,,,,,,
48036,Strike Commander,PC,1992,Action,Origin Systems  ,Origin Systems  ,,,,,,,
48037,Strike Force Foxx,3DS,2014,Action,Big John Games  ,Big John Games  ,,,,,,,
48038,Strike Force Hydra,PS,2003,Shooter,Ignition Entertainment  ,Ignition Entertainment  ,,,,,,,
48039,Strike Force Red Cell,PC,2009,Shooter,Graffiti  ,Graffiti Entertainment  ,,,,,,,
48040,Strike Force Red Cell,X360,N/A,Shooter,Unknown  ,Graffiti Entertainment  ,,,,,,,
48041,Strike Force: Red Cell,PC,N/A,Shooter,Unknown  ,Vision Studios  ,,,,,,,
