Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
PS2,95.0,9.1,2004,Action,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81,41.620000000000005
PS2,95.0,8.8,2002,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15,32.3
PS3,95.0,6.8,2008,Platform,Sony Computer Entertainment  ,Media Molecule  ,9.4,9.2,2.8,2.01,0.17,0.87,5.85,11.7
PS3,95.0,8.9,2011,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,,2.82,2.58,0.17,1.0,6.57,13.14
PS2,95.0,8.4,2001,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98,29.95
XB,95.0,8.7,2004,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49,16.97
GBA,95.0,9.0,2002,Adventure,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,,1.75,0.52,0.33,0.1,2.7,5.4
N64,95.0,9.1,2000,Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.9,0.67,0.73,0.06,3.36,6.72
PS3,95.0,9.2,2013,Action-Adventure,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,2.41,2.57,0.29,0.99,6.27,12.530000000000001
Wii,95.0,9.0,2006,Adventure,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18,14.37
PS2,95.0,7.6,2002,Sports,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14,8.28
GBA,95.0,6.9,2001,Sports,Activision  ,Vicarious Visions  ,8.9,,0.85,0.31,0.0,0.02,1.18,2.36
PS4,95.0,8.4,2020,Role-Playing,Atlus  ,Atlus  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,95.0,9.2,2014,Action-Adventure,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,2.7,2.86,0.11,1.1,6.77,13.540000000000001
PC,95.0,9.1,2011,Shooter,Valve  ,Valve Software  ,9.7,,0.33,0.33,0.0,0.1,0.75,1.51
X360,95.0,9.0,2010,Action,Rockstar Games  ,Rockstar San Diego  ,9.5,10.0,3.77,2.03,0.09,0.6,6.5,12.989999999999998
X360,95.0,8.8,2011,Shooter,Valve  ,Valve Software  ,9.6,,1.41,0.49,0.01,0.17,2.08,4.16
XOne,95.0,7.5,2015,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,0.49,0.25,0.02,0.07,0.83,1.6600000000000001
PS3,95.0,8.7,2011,Shooter,Valve  ,Valve Software  ,9.6,,0.83,0.62,0.02,0.24,1.71,3.42
PC,94.0,8.4,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.2,,1.18,2.25,0.0,0.56,3.99,7.98
PS3,94.0,8.5,2013,Shooter,2K Games  ,Irrational Games  ,9.5,,0.74,0.74,0.04,0.3,1.82,3.64
PS,94.0,9.0,2000,Role-Playing,Square  ,SquareSoft  ,9.2,,1.62,0.77,2.78,0.14,5.3,10.61
PS3,94.0,6.6,2009,Shooter,Activision  ,Infinity Ward  ,9.5,,4.99,3.66,0.38,1.59,10.61,21.23
PS2,94.0,8.4,2002,Sports,Activision  ,Neversoft Entertainment  ,9.6,,2.13,1.18,0.01,0.35,3.67,7.34
PS2,94.0,8.6,2001,Action,Capcom  ,Capcom  ,9.1,9.3,1.36,0.86,0.64,0.13,2.99,5.98
PS3,94.0,8.4,2007,Shooter,Activision  ,Infinity Ward  ,9.5,9.6,3.13,2.27,0.28,1.04,6.72,13.440000000000001
PS2,94.0,7.3,2001,Sports,EA Sports  ,EA Sports  ,,,2.5,0.16,0.01,0.42,3.08,6.17
X360,94.0,8.8,2011,Action,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,,2.99,1.28,0.04,0.44,4.75,9.5
PC,94.0,8.9,2010,Role-Playing,Electronic Arts  ,BioWare Corp.  ,9.6,,0.01,0.32,0.0,0.05,0.39,0.77
3DS,94.0,9.0,2011,Adventure,Nintendo  ,GREZZO  ,9.3,,1.42,0.01,0.56,0.0,2.0,3.99
PS,94.0,8.8,2000,Role-Playing,Square EA  ,SquareSoft  ,9.7,9.8,0.62,0.42,0.69,0.12,1.86,3.71
XOne,94.0,7.4,2018,Platform,Matt Makes Games Inc.  ,Matt Thorson  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,94.0,8.9,2008,Shooter,2K Games  ,2K Boston / 2K Australia / 2K Marin  ,9.3,9.6,0.75,0.48,0.01,0.21,1.44,2.8899999999999997
PS3,94.0,8.7,2011,Role-Playing,Electronic Arts  ,BioWare Edmonton  ,9.3,,0.78,0.46,0.03,0.18,1.46,2.91
PC,94.0,8.8,2003,Action,Rockstar Games  ,Rockstar North  ,9.0,,0.0,0.03,0.0,0.0,0.04,0.07
PS2,94.0,8.3,2003,Sports,EA Sports  ,EA Tiburon  ,9.5,,4.26,0.26,0.01,0.71,5.23,10.469999999999999
X360,94.0,8.4,2006,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.4,3.54,1.88,0.07,0.6,6.09,12.18
X360,94.0,8.7,2009,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,,2.89,1.03,0.13,0.41,4.47,8.93
PC,94.0,8.8,1996,Strategy,Microprose  ,MPS Labs  ,9.1,9.7,0.0,0.0,0.0,0.0,0.0,0.0
PC,94.0,8.8,1996,Shooter,id Software  ,id Software  ,9.4,,0.0,0.0,0.0,0.0,0.0,0.0
X360,94.0,8.5,2007,Shooter,Activision  ,Infinity Ward  ,9.6,9.0,5.98,2.39,0.13,0.91,9.41,18.82
PC,94.0,8.6,2013,Shooter,2K Games  ,Irrational Games  ,,,0.3,0.31,0.0,0.05,0.66,1.32
X360,94.0,8.1,2007,Shooter,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13,24.25
XB,94.0,8.8,2005,Action,Tecmo  ,Team Ninja  ,9.5,,0.07,0.02,0.0,0.0,0.09,0.18
PC,94.0,8.2,2009,Role-Playing,Take-Two Interactive  ,Bethesda Softworks  ,9.2,,0.01,0.21,0.0,0.04,0.25,0.51
PS3,94.0,7.4,2009,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.0,2.04,1.05,0.59,0.52,4.19,8.39
GBA,94.0,8.9,2003,Platform,Nintendo  ,Nintendo EAD  ,9.2,,2.93,1.25,0.83,0.2,5.2,10.41
DC,94.0,8.3,2000,Action,Sega  ,Smilebit  ,9.1,,0.0,0.0,0.0,0.0,0.0,0.0
PS,94.0,9.2,1998,Action,Konami  ,Konami Computer Entertainment Japan  ,9.3,,3.18,1.83,0.78,0.24,6.03,12.06
PC,94.0,9.1,1998,Adventure,LucasArts  ,LucasArts  ,9.3,,0.0,0.0,0.0,0.0,0.0,0.0
XB,94.0,7.7,2004,Racing,Electronic Arts  ,Criterion Games  ,9.3,,0.84,0.43,0.0,0.04,1.31,2.62
PC,94.0,8.7,1996,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7,,0.01,1.58,0.0,0.0,1.59,3.18
