Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
XOne,83.0,7.8,2018,Action,Villa Gorilla  ,Villa Gorilla  ,9.0,,0.01,0.0,0.0,0.0,0.02,0.03
PS2,83.0,8.6,2007,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,,,0.77,0.03,0.0,0.13,0.93,1.86
3DS,83.0,8.2,2014,Music,Square Enix  ,Square Enix  ,,,0.16,0.08,0.15,0.02,0.41,0.8200000000000001
PS4,83.0,6.4,2018,Action-Adventure,Ubisoft  ,Ubisoft Quebec  ,9.5,,1.18,1.4,0.09,0.51,3.18,6.359999999999999
WiiU,83.0,8.9,2014,Platform,Nintendo  ,Retro Studios  ,8.8,9.1,0.74,0.68,0.16,0.13,1.71,3.42
PSP,83.0,8.3,2010,Role-Playing,Sega  ,Sega WOW Overworks  ,8.1,,0.12,0.16,0.18,0.09,0.54,1.09
PC,83.0,7.6,2020,Role-Playing,Team17  ,NEXT Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,83.0,7.5,2018,Racing,Codemasters  ,Codemasters Birmingham  ,,,0.0,0.01,0.0,0.0,0.01,0.02
PS2,83.0,8.6,2007,Role-Playing,Atlus  ,Vanillaware  ,8.0,,0.23,0.18,0.09,0.06,0.56,1.12
PSP,83.0,8.1,2005,Sports,Activision  ,Shaba Games  ,8.5,,0.46,0.21,0.0,0.15,0.82,1.6400000000000001
PS2,83.0,8.2,2004,Platform,Capcom  ,Capcom  ,,,0.1,0.08,0.0,0.03,0.21,0.42
PS2,83.0,8.5,2003,Sports,Sega  ,Visual Concepts  ,,,0.08,0.06,0.0,0.02,0.16,0.32
PS2,83.0,8.2,2003,Sports,3DO  ,3DO  ,,,0.18,0.14,0.0,0.05,0.36,0.73
PC,83.0,8.5,2002,Simulation,Microsoft Game Studios  ,FASA Studio  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,83.0,8.3,2001,Racing,EA Sports  ,Electronic Arts UK  ,,,0.07,0.06,0.0,0.02,0.15,0.3
PS,83.0,8.6,2000,Role-Playing,Capcom  ,Capcom  ,8.4,,0.11,0.08,0.34,0.04,0.56,1.1300000000000001
PC,83.0,8.9,2000,Action,Konami  ,Digital Dialect  ,8.5,,0.0,0.0,0.0,0.0,0.0,0.0
N64,83.0,8.6,1997,Racing,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87,19.740000000000002
PC,82.0,7.9,2015,Action,Klei Entertainment  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
DS,82.0,8.2,2010,Misc,Nintendo  ,Intelligent Systems  ,8.3,,0.17,0.18,0.2,0.04,0.59,1.1800000000000002
XOne,82.0,8.5,2017,Adventure,Frictional Games  ,Frictional Games  ,,9.0,0.0,0.0,0.0,0.0,0.0,0.0
PSP,82.0,8.0,2006,Misc,Sega  ,Sega  ,8.3,,0.53,0.58,0.0,0.34,1.45,2.9
XOne,82.0,7.7,2015,Shooter,Microsoft Studios  ,The Coalition  ,,,2.88,0.37,0.0,0.37,3.62,7.24
XB,82.0,7.1,2006,Action,Eidos Interactive  ,Crystal Dynamics  ,8.3,,0.1,0.03,0.0,0.0,0.13,0.26
PC,82.0,7.6,2009,Shooter,THQ  ,Volition Inc.  ,8.3,,0.0,0.03,0.0,0.0,0.03,0.06
PC,82.0,7.6,2009,Shooter,THQ  ,Volition Inc.  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,7.6,2005,Role-Playing,Activision  ,Raven Software  ,8.5,,0.53,0.02,0.0,0.09,0.63,1.27
NS,82.0,8.6,2018,Action,Villa Gorilla  ,Villa Gorilla  ,9.0,6.0,0.01,0.0,0.0,0.0,0.01,0.02
PC,82.0,8.7,2020,Strategy,Electronic Arts  ,Petroglyph Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,8.3,2011,Adventure,DreamCatcher Interactive  ,KING Art Games  ,7.9,,0.0,0.08,0.0,0.02,0.1,0.2
PSV,82.0,8.7,2013,Role-Playing,Xseed Games  ,Nihon Falcom Corporation  ,,,0.1,0.01,0.1,0.04,0.25,0.5
DS,82.0,8.2,2008,Misc,Xseed Games  ,AQ Interactive  ,,,0.19,0.01,0.0,0.02,0.22,0.44
GBA,82.0,8.4,2006,Role-Playing,Atlus  ,Banpresto  ,8.4,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,7.6,2016,Action,Ubisoft  ,Ubisoft  ,,,0.98,1.74,0.12,0.52,3.36,6.72
X360,82.0,8.0,2010,Music,MTV Games  ,Harmonix Music Systems  ,8.4,,2.15,0.76,0.01,0.26,3.18,6.359999999999999
PS4,82.0,4.4,2015,Sports,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22,16.44
PS3,82.0,7.2,2011,Racing,Codemasters  ,Codemasters Birmingham  ,8.4,,0.12,0.75,0.11,0.23,1.2,2.41
PC,82.0,7.0,2001,Racing,JoWood Productions  ,Bugbear Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
GBA,82.0,8.2,2001,Racing,THQ  ,MTO  ,7.5,,0.24,0.09,0.0,0.01,0.33,0.6699999999999999
PC,82.0,5.2,2020,Action,Tripwire Interactive  ,Torn Banner Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,6.9,2007,Misc,MTV Games  ,Harmonix Music Systems  ,8.1,,0.71,0.06,0.0,0.35,1.11,2.2300000000000004
PS4,82.0,7.0,2019,Racing,THQ Nordic  ,Bugbear Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,8.8,2009,Simulation,Ubisoft  ,Related Designs  ,8.4,,0.0,0.32,0.0,0.05,0.37,0.74
PC,82.0,8.8,2009,Simulation,Ubisoft  ,Blue Byte Software  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.5,2018,Action-Adventure,Warner Bros. Interactive Entertainment  ,IO Interactive  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PSP,82.0,8.1,2008,Sports,Sony Computer Entertainment  ,Clap Hanz  ,8.0,,0.21,0.11,0.28,0.08,0.68,1.36
XOne,82.0,7.9,2020,Action,DotEmu  ,Lizardcube  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,7.7,2019,Adventure,Annapurna Interactive  ,Mobius Digital  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,82.0,7.1,2017,Adventure,Tequila Works  ,Tequila Works  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,7.8,2006,Sports,EA Sports  ,Team Fusion  ,8.4,,0.71,2.48,0.03,0.89,4.11,8.219999999999999
XOne,82.0,7.7,2014,Role-Playing,Ubisoft  ,Ubisoft Montreal  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.6,2005,Role-Playing,NCSoft  ,Cryptic Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
3DS,82.0,8.1,2011,Platform,NIS America  ,Nicalis  ,8.2,,0.09,0.03,0.01,0.01,0.15,0.29000000000000004
PC,82.0,8.3,2016,Role-Playing,Versus Evil  ,Stoic Studio  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PSP,82.0,8.0,2007,Sports,Sony Computer Entertainment  ,SCEA San Diego Studios  ,8.1,,0.26,0.0,0.0,0.02,0.28,0.56
X360,82.0,7.5,2009,Sports,2K Sports  ,Visual Concepts  ,8.4,,0.91,0.02,0.0,0.08,1.01,2.02
PS4,82.0,6.0,2017,Racing,Namco Bandai Games  ,Slightly Mad Studios  ,,,0.1,0.35,0.02,0.08,0.55,1.1
XB,82.0,7.3,2004,Sports,Midway Games  ,Midway  ,,,0.37,0.11,0.0,0.02,0.51,1.01
XOne,82.0,7.2,2018,Action-Adventure,Square Enix  ,Eidos Montreal  ,,,0.46,0.25,0.0,0.07,0.78,1.56
PC,82.0,6.0,2017,Simulation,Sega  ,Sports Interactive  ,,,0.0,0.2,0.0,0.01,0.21,0.42000000000000004
3DS,82.0,8.5,2012,Action,Capcom  ,Capcom  ,7.8,,0.3,0.23,0.3,0.05,0.89,1.77
PC,82.0,7.5,2013,Action-Adventure,Ubisoft  ,Ubisoft Toronto  ,8.9,,0.06,0.14,0.0,0.02,0.21,0.43
X360,82.0,7.9,2011,Misc,THQ  ,"Jellyvision, Inc.  ",7.7,,0.19,0.0,0.0,0.02,0.21,0.42
PC,82.0,7.6,2016,Shooter,SUPERHOT Team  ,SUPERHOT Team  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,82.0,7.7,2003,Sports,EA Sports  ,EA Sports  ,,,0.15,0.04,0.0,0.01,0.2,0.4
PS2,82.0,8.7,2002,Misc,KOEI  ,iNiS  ,,,0.02,0.02,0.0,0.01,0.05,0.1
PS2,82.0,8.0,2000,Strategy,Electronic Arts  ,Bullfrog Productions  ,7.9,,0.23,0.18,0.0,0.06,0.48,0.95
PS,82.0,7.1,2000,Sports,Acclaim Entertainment  ,"Z-Axis, Ltd.  ",7.4,,0.91,0.11,0.0,0.03,1.05,2.1
PS2,82.0,7.8,2004,Misc,Konami  ,Harmonix Music Systems  ,,,0.16,0.12,0.0,0.04,0.32,0.64
DS,82.0,7.3,2009,Simulation,Ubisoft  ,Sunflowers Interactive  ,7.9,,0.07,0.03,0.0,0.01,0.11,0.22
PS4,82.0,6.7,2013,Misc,FarSight Studios  ,FarSight Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
WiiU,82.0,8.3,2013,Role-Playing,Capcom  ,Capcom  ,8.7,,0.24,0.2,0.22,0.04,0.71,1.4100000000000001
PC,82.0,6.6,2020,Simulation,Focus Home Interactive  ,Saber Interactive  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,82.0,7.8,2011,Action,THQ  ,Volition Inc.  ,8.3,,0.86,1.06,0.18,0.37,2.48,4.95
PS4,82.0,7.9,2015,Shooter,2K Games  ,Gearbox Software  ,,,0.69,0.34,0.03,0.22,1.28,2.56
PSV,82.0,8.0,2012,Action,Sony Computer Entertainment  ,SCEA  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,82.0,7.1,2008,Sports,EA Sports  ,EA Tiburon  ,8.5,,0.34,0.22,0.0,0.1,0.65,1.31
PC,82.0,7.8,2005,Strategy,Atari  ,Eugen Systems  ,8.2,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,3.4,2017,Sports,EA Sports  ,EA Tiburon  ,8.2,,1.73,0.42,0.0,0.47,2.62,5.24
X360,82.0,8.4,2014,Role-Playing,Ubisoft  ,Obsidian Entertainment  ,,,0.6,0.27,0.0,0.09,0.96,1.92
XOne,82.0,7.7,2014,Shooter,Sierra Entertainment  ,Lucid Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,82.0,8.3,2018,Racing,AQUIRIS  ,Aquiris Game Studio  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,6.8,2017,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,,,0.0,0.01,0.0,0.0,0.01,0.02
WiiU,82.0,7.8,2016,Platform,Nighthawk Interactive  ,13AM Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,4.0,2016,Sports,EA Sports  ,EA Tiburon  ,8.5,,2.3,0.37,0.0,0.6,3.28,6.55
PC,82.0,3.2,2019,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.5,2014,Puzzle,Draknek  ,Alan Hazelden and Harry Lee  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PSV,82.0,7.6,2013,Misc,Fallen Tree Games  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,8.7,2003,Simulation,Konami  ,Konami Computer Entertainment Japan  ,8.6,,0.15,0.12,0.11,0.04,0.41,0.83
NS,82.0,8.1,2020,Role-Playing,Deck 13  ,Radical Fish Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,7.9,2017,Racing,Codemasters  ,Codemasters  ,,,0.07,0.56,0.03,0.11,0.78,1.5500000000000003
X360,82.0,8.1,2008,Simulation,Microsoft Game Studios  ,Rare Ltd.  ,8.5,,0.16,0.25,0.01,0.05,0.47,0.94
PS4,82.0,6.4,2018,Shooter,Activision  ,Bungie  ,,,0.19,0.11,0.0,0.06,0.36,0.72
PS3,82.0,7.5,2010,Sports,EA Sports  ,EA Canada  ,8.2,,0.3,0.64,0.07,0.22,1.23,2.46
XOne,82.0,7.9,2019,Shooter,The Arcade Crew  ,JoyMasher  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,82.0,6.0,2018,Sports,EA Sports  ,EA Canada  ,,,0.26,0.0,0.0,0.03,0.29,0.5800000000000001
XOne,82.0,7.3,2020,Action,Asteroid Base  ,Asteroid Base  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.8,2010,Puzzle,PopCap Games  ,PopCap Games  ,8.1,,0.04,0.05,0.0,0.01,0.1,0.2
PC,82.0,8.6,2006,Simulation,Strategy First  ,Sonalysts Combat Simulations  ,,,0.0,0.01,0.0,0.0,0.01,0.02
PS4,82.0,7.0,2019,Platform,Team 17  ,Playtonic Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,82.0,8.3,2012,Misc,Warner Bros. Interactive Entertainment  ,Unknown  ,,,0.37,0.52,0.0,0.16,1.06,2.1100000000000003
PC,82.0,7.9,2006,Action,Eidos Interactive  ,Crystal Dynamics  ,8.0,,0.0,0.02,0.0,0.0,0.02,0.04
PS2,82.0,8.4,2005,Action,Ubisoft  ,Ubisoft Montpellier  ,,,0.71,1.02,0.0,0.31,2.04,4.08
PC,82.0,7.2,2002,Role-Playing,Microsoft Game Studios  ,Turbine Inc.  ,,,0.0,0.0,0.0,0.0,0.0,0.0
GBA,82.0,7.6,2002,Puzzle,THQ  ,Realism Ltd  ,,,0.51,0.19,0.0,0.01,0.72,1.43
PS2,82.0,8.6,2002,Fighting,THQ  ,Yuke's  ,,,1.32,1.29,0.04,0.0,2.66,5.3100000000000005
PS2,82.0,8.6,2002,Sports,THQ  ,Yuke's Future Media Creators  ,,,1.45,1.13,0.07,0.38,3.02,6.05
PC,82.0,8.4,2019,Action,Sega  ,Sega  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,82.0,7.5,2008,Shooter,Midway Games  ,Epic Games  ,7.8,,0.25,0.17,0.01,0.05,0.47,0.95
PC,82.0,8.3,2011,Adventure,Wadjet Eye Games  ,Wadjet Eye Games  ,8.0,,0.0,0.0,0.0,0.0,0.0,0.0
NS,82.0,8.6,2018,Strategy,Sega  ,Sega  ,8.6,,0.12,0.04,0.02,0.02,0.19,0.39
XOne,82.0,5.5,2019,Shooter,2K Games  ,Gearbox Software  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,7.1,2014,Sports,Konami Digital Entertainment  ,PES Productions  ,,,0.09,0.45,0.12,0.1,0.76,1.52
PS3,82.0,8.3,2012,Misc,Sega  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,82.0,7.1,2008,Sports,2K Sports  ,Visual Concepts  ,8.3,,0.56,0.0,0.0,0.05,0.62,1.23
PC,82.0,6.6,2006,Role-Playing,Atari  ,Obsidian Entertainment  ,8.0,,0.0,0.02,0.0,0.0,0.02,0.04
PSP,82.0,8.7,2006,Platform,Capcom  ,Capcom  ,8.7,,0.12,0.01,0.0,0.02,0.14,0.29000000000000004
PS4,82.0,7.8,2020,Strategy,THQ Nordic  ,Mimimi Productions  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,82.0,6.6,2013,Misc,Capcom  ,Unknown  ,,,0.0,0.0,0.01,0.0,0.01,0.02
PC,82.0,7.2,2020,Adventure,Chucklefish  ,Pixpil  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,82.0,8.1,2020,Role-Playing,Cygames  ,Cygames  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,82.0,7.9,2005,Action,Ubisoft  ,Ubisoft Montpellier  ,,,0.34,0.17,0.0,0.02,0.53,1.06
PC,82.0,8.6,2016,Adventure,Spike Chunsoft  ,Spike Chunsoft  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,8.4,2005,Strategy,Sega  ,The Creative Assembly  ,8.3,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,8.8,2004,Shooter,Konami  ,"Treasure Co., Ltd.  ",,,0.05,0.04,0.0,0.01,0.09,0.19
X360,82.0,7.7,2006,Role-Playing,Activision  ,Raven Software  ,8.3,,2.29,0.02,0.0,0.19,2.5,5.0
PS3,82.0,8.1,2011,Sports,2K Sports  ,2K Czech  ,8.2,,0.17,0.4,0.0,0.12,0.69,1.38
NS,82.0,8.4,2019,Racing,Sega  ,Sega  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,82.0,6.6,2011,Sports,EA Sports  ,EA Tiburon  ,7.8,,0.94,0.0,0.0,0.06,1.0,2.0
PS2,82.0,8.5,2007,Misc,RedOctane  ,BudCat Creations  ,8.2,,3.49,0.01,0.01,1.48,4.98,9.97
X360,82.0,8.1,2007,Shooter,2K Games  ,Starbreeze  ,8.3,,0.36,0.04,0.01,0.03,0.44,0.8799999999999999
DS,82.0,7.9,2008,Role-Playing,NIS America  ,Nippon Ichi Software  ,8.0,,0.11,0.01,0.05,0.01,0.18,0.36
DS,82.0,7.8,2007,Role-Playing,Konami  ,Kojima Productions  ,8.2,,0.17,0.01,0.04,0.01,0.23,0.4600000000000001
XOne,82.0,8.0,2019,Action,Team 17  ,The Game Kitchen  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,82.0,8.1,2006,Racing,Atari  ,Eden Studios  ,8.0,,0.23,0.04,0.02,0.02,0.32,0.6300000000000001
PC,82.0,7.4,2020,Action-Adventure,Ubisoft  ,Ubisoft  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.7,2009,Adventure,Telltale Games  ,Telltale Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,82.0,8.3,2010,Racing,Activision  ,Bizarre Creations  ,8.3,,0.25,0.27,0.0,0.06,0.59,1.17
XOne,82.0,5.4,2014,Sports,EA Sports  ,EA Canada  ,7.9,,0.64,1.39,0.0,0.16,2.19,4.38
PC,82.0,7.9,1970,Strategy,Unknown  ,Ironclad Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.3,2003,Adventure,The Adventure Company  ,Revolution Software  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,8.6,2003,Strategy,Gathering of Developers  ,Triumph Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,8.7,2002,Racing,Sony Computer Entertainment  ,Rainbow Studios  ,8.7,,1.92,0.2,0.0,0.06,2.18,4.36
GBA,82.0,8.8,2002,Platform,Capcom  ,Inti Creates  ,,,0.22,0.08,0.24,0.01,0.55,1.1
PS2,82.0,8.0,2002,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,8.0,,2.53,0.81,0.06,0.24,3.65,7.289999999999999
PC,82.0,6.7,2002,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.8,2002,Strategy,Ubisoft  ,Strategic Studies Group  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,8.1,2001,Strategy,Konami  ,Konami  ,8.0,,0.06,0.04,0.0,0.01,0.11,0.22
PC,82.0,3.0,2009,Sports,Sega  ,Sports Interactive  ,,,0.0,0.01,0.0,0.0,0.01,0.02
PC,82.0,7.8,2006,Role-Playing,Activision  ,Raven Software  ,8.4,,0.01,0.0,0.0,0.0,0.01,0.02
PC,82.0,7.2,2019,Shooter,Deep Silver  ,4a-games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,82.0,7.9,2010,Action,THQ  ,Vigil Games  ,7.8,8.5,0.02,0.14,0.02,0.1,0.28,0.56
PC,82.0,7.9,2010,Adventure,Square Enix  ,Crystal Dynamics  ,8.3,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.3,2019,Role-Playing,Private Division  ,Obsidian Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,8.2,2007,Adventure,Bit Blot  ,Bit Blot  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,82.0,8.3,2020,Action,Inti Creates  ,Inti Creates  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,7.7,2005,Racing,Enlight  ,Nadeo  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,8.3,2003,Platform,Ubisoft  ,SCE Japan Studio  ,8.0,,0.12,0.09,0.38,0.03,0.63,1.25
DS,82.0,7.5,2008,Simulation,THQ  ,Rare Ltd.  ,8.1,,0.26,0.23,0.0,0.06,0.55,1.1
NS,82.0,6.4,2020,Platform,Nintendo  ,Nintendo  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,82.0,8.3,2012,Fighting,Namco Bandai Games  ,Bandai Namco Games  ,,,0.28,0.33,0.13,0.12,0.86,1.7200000000000002
3DS,82.0,8.5,2016,Platform,WayForward Technologies  ,WayForward Technologies  ,7.7,,0.05,0.0,0.04,0.01,0.1,0.2
PS4,82.0,7.1,2015,Action,17-Bit  ,17-Bit  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,4.6,2011,Role-Playing,Electronic Arts  ,BioWare Corp.  ,7.9,,0.23,0.33,0.0,0.08,0.63,1.27
PS3,82.0,4.4,2011,Role-Playing,Electronic Arts  ,BioWare Corp.  ,7.7,,0.4,0.26,0.05,0.12,0.83,1.6600000000000001
NS,82.0,7.6,2020,Fighting,Aksys Games  ,French-Bread  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,82.0,7.7,2019,Music,Wired Productions  ,Wired Productions  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,82.0,8.4,2019,Action-Adventure,505 Games  ,Re-Logic  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,8.3,2018,Action-Adventure,Warner Bros. Interactive Entertainment  ,IO Interactive  ,,,0.19,0.22,0.02,0.08,0.51,1.02
PC,82.0,8.0,2014,Misc,Iceberg Interactive  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
3DS,82.0,5.1,2011,Action,Activision  ,Toys for Bob  ,,,0.33,0.2,0.0,0.05,0.58,1.1600000000000001
Wii,82.0,8.2,2010,Simulation,Atlus  ,Atlus Co.  ,8.1,,0.14,0.0,0.02,0.01,0.17,0.34
DS,82.0,8.1,2009,Puzzle,Electronic Arts  ,EA Tiburon  ,9.1,,0.08,0.0,0.0,0.01,0.09,0.18
PS2,82.0,7.4,2006,Shooter,Activision  ,Treyarch  ,8.2,,0.89,0.03,0.0,0.15,1.07,2.14
PS2,82.0,8.8,2005,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,,,1.22,0.34,0.04,0.1,1.69,3.39
XB,82.0,8.0,2003,Simulation,Konami  ,Konami Computer Entertainment Hawaii  ,,,0.42,0.11,0.0,0.02,0.54,1.09
PC,82.0,6.7,2002,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,6.2,2001,Sports,EA Sports  ,EA Canada  ,,,0.31,0.24,0.0,0.08,0.63,1.26
N64,82.0,8.5,1997,Racing,Acclaim Entertainment  ,Probe Entertainment Limited  ,,,0.47,0.11,0.0,0.01,0.59,1.18
PS4,82.0,7.3,2019,Action-Adventure,Sony Interactive Entertainment  ,Kojima Productions  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,82.0,8.5,2007,Shooter,THQ  ,GSC Game World  ,8.0,,0.01,0.04,0.0,0.01,0.06,0.12
XOne,82.0,6.9,2018,Action,Ubisoft  ,Ubisoft Montreal  ,7.2,,1.14,0.47,0.0,0.17,1.78,3.5599999999999996
DS,82.0,7.4,2009,Shooter,Taito  ,Taito Corporation  ,8.1,,0.17,0.01,0.0,0.01,0.19,0.38
XOne,82.0,9.0,2017,Action,Bethesda Softworks  ,Tango Gameworks  ,,,0.25,0.1,0.0,0.04,0.39,0.78
NS,82.0,7.8,2018,Platform,Leadman Games  ,Ska Studios  ,,,0.03,0.0,0.0,0.0,0.03,0.06
PS3,82.0,8.0,2008,Shooter,Sega  ,Monolith Productions  ,8.4,,0.17,0.16,0.0,0.06,0.39,0.78
X360,82.0,8.6,2006,Action,Eidos Interactive  ,IO Interactive  ,8.1,,0.29,0.06,0.01,0.03,0.39,0.78
X360,82.0,8.0,2009,Action,Electronic Arts  ,Double Fine Productions  ,8.5,,0.62,0.26,0.0,0.09,0.97,1.94
PC,82.0,7.1,2014,Action,Studio Pixel  ,Studio Pixel  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,7.3,2016,Fighting,Arc System Works  ,Lab Zero Games  ,,,0.0,0.0,0.02,0.0,0.02,0.04
PS3,82.0,8.4,2010,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,1.54,1.04,0.1,0.49,3.17,6.34
XOne,82.0,7.2,2020,Action-Adventure,Ubisoft  ,Ubisoft  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,82.0,6.6,2018,Sports,Konami  ,Konami  ,,,0.02,0.02,0.0,0.0,0.05,0.09
PC,82.0,7.2,2011,Shooter,Uber Entertainment  ,Uber Entertainment  ,8.0,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,82.0,7.6,2016,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.1,,1.13,0.53,0.0,0.17,1.83,3.66
3DS,82.0,7.9,2013,Action,Horberg Productions  ,Horberg Productions  ,8.4,,0.0,0.0,0.0,0.0,0.0,0.0
X360,82.0,8.1,2009,Shooter,Atari  ,Starbreeze Studios AB  ,8.2,,0.16,0.1,0.0,0.03,0.29,0.5800000000000001
PS4,82.0,8.4,2016,Action-Adventure,Capcom  ,Capcom  ,,,0.07,0.0,0.01,0.02,0.1,0.2
NS,82.0,8.3,2017,Platform,Fabraz  ,Fabraz  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,82.0,3.7,2019,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,82.0,7.4,2006,Action,Eidos Interactive  ,Crystal Dynamics  ,,,0.25,0.19,0.02,0.06,0.52,1.04
PS3,82.0,7.0,2012,Sports,Konami Digital Entertainment  ,Konami  ,,,0.18,0.65,0.49,0.2,1.52,3.04
XB,82.0,8.0,2004,Role-Playing,Activision  ,Raven Software  ,8.2,,0.62,0.24,0.0,0.04,0.9,1.8
XB,82.0,8.2,2003,Sports,EA Sports  ,EA Canada  ,,,0.24,0.49,0.0,0.05,0.79,1.57
XB,82.0,8.0,2003,Shooter,Electronic Arts  ,IO Interactive  ,,,0.17,0.05,0.0,0.01,0.23,0.4600000000000001
XB,82.0,7.9,2002,Racing,Sega  ,Wow Entertainment  ,,,0.12,0.03,0.03,0.01,0.19,0.38
PC,82.0,7.4,2002,Strategy,Battlefront.com  ,Panther Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
GBA,82.0,7.7,2002,Fighting,Namco  ,Eighting / Raizing  ,8.3,,0.32,0.12,0.0,0.01,0.45,0.9
DC,82.0,8.3,2001,Racing,Sega  ,Hitmaker  ,8.3,,0.0,0.0,0.07,0.0,0.07,0.14
