Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
19001,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,PS2,2007,Adventure,Marvelous Interactive  ,Marvelous Interactive  ,,,,,0.02,,0.02
19002,Sudden Strike 4,XOne,2018,Strategy,Kalypso Media  ,Kite Games  ,,,0.02,,,0.0,0.02
19003,Dunamis 15,PS3,2011,Visual Novel,5pb  ,5pb. Games  ,,,,,0.02,,0.02
19004,DemiKids: Dark Version,GBA,2003,Role-Playing,Atlus  ,Atlus Co.  ,6.6,,0.02,0.01,,0.0,0.02
19005,Catan,DS,2009,Strategy,CDV Software Entertainment  ,USM  ,,,,0.02,,0.0,0.02
19006,Mage Knight: Destiny's Soldier,DS,2006,Strategy,Namco Bandai  ,Big Blue Bubble Inc.  ,,,0.02,,,0.0,0.02
19007,Blender Bros.,GBA,2002,Platform,Atari  ,Hudson  ,7.4,,0.02,0.01,,0.0,0.02
19008,Chili Con Carnage,PSP,2007,Shooter,Eidos Interactive  ,Deadline Games  ,,,,0.02,,0.01,0.02
19009,Suzumiya Haruhi no Heiretsu,Wii,2009,Adventure,Sega  ,Sega  ,,,,,0.02,,0.02
19010,DemiKids: Light Version,GBA,2003,Role-Playing,Atlus  ,Atlus Co.  ,6.6,,0.02,0.01,,0.0,0.02
19011,Nanatsuiro * Drops Pure!!,PS2,2007,Adventure,Media Works  ,UNiSONSHIFT  ,,,,,0.02,,0.02
19012,Guitar Hero III: Legends of Rock,PC,2007,Misc,Aspyr  ,Aspyr  ,,,0.02,,,0.0,0.02
19013,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,Misc,D3 Publisher  ,Mobilero  ,,,,,0.02,,0.02
19014,World Series of Poker 2008: Battle for the Bracelets,PSP,2007,Action,Activision  ,Left Field Productions  ,,,0.02,0.0,,0.0,0.02
19015,Ghost Pirates of Vooju Island,PC,2009,Adventure,DTP Entertainment  ,Autumn Moon  ,,,,0.02,,0.0,0.02
19016,Zero Escape The Nonary Games,PSV,2017,Adventure,Aksys Games  ,Spike Chunsoft  ,,,0.01,,0.01,0.0,0.02
19017,Bottom of the 9th '97,PS,1997,Sports,Konami  ,Konami  ,6.0,,0.01,0.01,,0.0,0.02
19018,G1 Jockey Wii,Wii,2007,Sports,KOEI  ,Koei/Inis  ,,,,0.01,0.02,0.0,0.02
19019,Shaman King: Chou Senjiryokketsu 3,GBA,2002,Role-Playing,King Records  ,Studio Saizensen  ,,,,,0.02,0.0,0.02
19020,Line Rider 2: Unbound,Wii,2008,Puzzle,"Genius Products, Inc.  ",InXile Entertainment  ,,,0.02,,,0.0,0.02
19021,Demigod,PC,2009,Strategy,Atari  ,Gas Powered Games  ,7.2,,,0.02,,0.0,0.02
19022,HatsuKare * Renai Debut Sengen!,PSP,2013,Visual Novel,FuRyu Corporation  ,Vridge Inc.  ,,,,,0.02,,0.02
19023,Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,Electronic Arts  ,Mythic  ,,,,0.02,,0.0,0.02
19024,Phantasy Star Online 2 Episode 4: Deluxe Package,PSV,2017,Role-Playing,Sega  ,Sega  ,,,,,0.02,,0.02
19025,Stronghold 2 Deluxe,PC,2005,Strategy,2K Games  ,FireFly Studios  ,,,,0.02,,0.0,0.02
19026,Super Run For Money Tousouchuu & Sentouchuu,NS,2018,Action,Bandai Namco Games  ,Bandai Namco Games  ,,,,,0.02,,0.02
19027,Kingdom: Ikkitousen no Ken,PSP,2010,Action,Konami  ,Konami  ,,,,,0.02,,0.02
