Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
20001,Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,2011,Role-Playing,Gust  ,Gust  ,,,,,0.02,,0.02
20002,Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,DS,2010,Role-Playing,Starfish  ,Starfish SD  ,,,,,0.02,,0.02
20003,Gaku * Ou: The Royal Seven Stars + Meteor,PSP,2013,Visual Novel,Alchemist  ,Lump of Sugar  ,,,,,0.02,,0.02
20004,Online Chess Kingdoms,PSP,2006,Misc,Konami  ,Konami  ,,,0.01,,,0.0,0.02
20005,Rayman 10th Anniversary,GBA,2005,Platform,Ubisoft  ,Ubisoft  ,,,0.01,0.0,,0.0,0.02
20006,Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Paradox Interactive   ,Paradox Interactive  ,,,,0.01,,0.0,0.02
20007,Crayola Scoot,XOne,2018,Sports,Outright Games  ,Outright Games  ,,,0.01,,,0.0,0.02
20008,Dance! It's Your Stage,Wii,N/A,Misc,Unknown  ,Sproing Interactive Media GMBH  ,,,,0.01,,0.0,0.02
20009,RollerCoaster Tycoon: Gold Edition,PC,2002,Strategy,Infogrames  ,Infogrames  ,,,0.01,,,0.0,0.02
20010,Gears of War,PC,2007,Shooter,Microsoft Game Studios  ,Epic Games  ,8.8,,0.0,0.01,,0.0,0.02
20011,Lock's Quest,XOne,2017,Strategy,THQ Nordic  ,5TH Cell  ,,,0.01,,,0.0,0.02
20012,White Day: A Labyrinth Named School (2017),PS4,2017,Action,PQube  ,ROIGAMES Inc.  ,,,,0.01,0.01,0.0,0.02
20013,Race Driver: Create & Race,DS,2007,Racing,Codemasters  ,Firebrand Games  ,,,0.01,0.0,,0.0,0.02
20014,Storm Lover Kai!!,PSP,2012,Visual Novel,D3Publisher  ,Vridge Inc.  ,,,,,0.02,,0.02
20015,Minna to Issho,PSV,2011,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment  ,,,,,0.02,,0.02
20016,Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,2011,Fighting,Konami  ,Konami  ,,,,,0.02,,0.02
20017,LEGO Star Wars II: The Original Trilogy,PC,2006,Action,LucasArts  ,Traveller's Tales  ,8.3,,,0.01,,0.0,0.02
