Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
31001,Dungeons & Dragons: Order of the Griffon,PCE,1992,Role-Playing,Turbo Technologies  ,Westwood Studios  ,,,,,,,
31002,Dungeons & Dragons: Shadow over Mystara,WiiU,2014,Misc,Capcom  ,Unknown  ,,,,,,,
31003,Dungeons & Dragons: Shadow over Mystara,X360,2014,Misc,Capcom  ,Unknown  ,,,,,,,
31004,Dungeons & Dragons: Shadow over Mystara,SAT,1996,Misc,Capcom  ,Unknown  ,,,,,,,
31005,Dungeons & Dragons: Shadow over Mystara,Arc,1996,Misc,Capcom  ,Unknown  ,,,,,,,
31006,Dungeons & Dragons: Stronghold,PC,1993,Strategy,SSI  ,Stormfront Studios  ,,,,,,,
31007,Dungeons & Dragons: Tower of Doom,X360,2014,Misc,Capcom  ,Unknown  ,,,,,,,
31008,Dungeons & Dragons: Tower of Doom,WiiU,2014,Misc,Capcom  ,Unknown  ,,,,,,,
31009,Dungeons & Dragons: Tower of Doom,PS3,2014,Misc,Capcom  ,Unknown  ,,,,,,,
31010,Dungeons & Dragons: Tower of Doom,SAT,1999,Misc,Capcom  ,Unknown  ,,,,,,,
31011,Dungeons & Dragons: Tower of Doom,Arc,1993,Misc,Capcom  ,Unknown  ,,,,,,,
31012,Dungeons & Dragons: Warriors of the Eternal Sun,GEN,1992,Role-Playing,Sega  ,Sega  ,,,,,,,
31013,Dungeons & Dragons Online: Forsaken Lands,PC,1970,Role-Playing,Unknown  ,Atari  ,,,,,,,
31014,Dungeons & Dragons: Daggerdale,PSN,N/A,Role-Playing,Unknown  ,Bedlam Games  ,6.0,,,,,,
31015,Dungeons & Dragons: Daggerdale,XBL,2011,Role-Playing,Atari  ,Bedlam Games  ,4.3,,,,,,
31016,Dungeons: Into the Dark,PC,2011,Strategy,Kalypso  ,Realmforge Studios  ,,,,,,,
31017,Dungeons: Map Pack DLC,PC,2011,Strategy,Kalypso  ,Realmforge Studios  ,,,,,,,
31018,Dungeons: The Eye of Draconus,PC,2014,Action,SuckerFree Games  ,SuckerFree Games  ,,,,,,,
31019,Dunk Dream,NG,1994,Sports,SNK  ,Data East  ,,,,,,,
31020,Dunk Kids,GG,1994,Sports,Sega  ,Sega  ,,,,,,,
31021,Duologue,XBL,2009,Shooter,Microsoft  ,Funavision  ,,,,,,,
31022,DUOtrix,XBL,2008,Puzzle,Microsoft  ,Mo  ,,,,,,,
31023,Durango,Linux,2015,Misc,Nexon  ,Unknown  ,,,,,,,
31024,Durango,And,2015,Misc,Nexon  ,Unknown  ,,,,,,,
31025,Durango,PC,2015,Misc,Nexon  ,Unknown  ,,,,,,,
31026,Durarara!! 3-way Standoff,PSN,2010,Adventure,ASCII Media Works  ,ASCII Media Works  ,,,,,,,
31027,Dusk 12,PC,2009,Action,Buka Entertainment  ,Orion Games  ,,,,,,,
31028,Dusk of the Gods,PC,1990,Role-Playing,Interstel  ,Event Horizon Software  ,,,,,,,
31029,DUST 514,PS3,2013,Shooter,Unknown  ,CCP  ,,,,,,,
31030,DUST 514,PSV,N/A,Shooter,Unknown  ,CCP  ,,,,,,,
31031,Dust: A Tale of the Wired West,PC,1995,Adventure,GTE Entertainment  ,Cyberflix/GTE Entertainment  ,,,,,,,
31032,Dust: An Elysian Tail,XBL,2012,Platform,Microsoft Studios  ,Humble Hearts  ,,,,,,,
31033,Dust: An Elysian Tail,PS4,2014,Platform,Humble Hearts  ,Humble Hearts  ,,,,,,,
31034,Dust: An Elysian Tail,OSX,2013,Platform,Microsoft Game Studios  ,Humble Hearts  ,,,,,,,
31035,Dust: An Elysian Tail,Linux,2013,Platform,Microsoft Game Studios  ,Humble Hearts  ,,,,,,,
31036,Dusty Diamond's All-Star Softball,NES,1990,Sports,Tonkin House  ,Broderbund  ,,,,,,,
31037,Duty of Sentinel,PC,2014,Misc,Unknown  ,Unknown  ,,,,,,,
31038,DUX,DC,2009,Shooter,HuCast  ,HUCAST.net/KonTechs Ltd.  ,,,,,,,
31039,Dwarf Fortress,PC,2020,Strategy,Kitfox Games  ,Bay 12 Games  ,,,,,,,
31040,DX Bakenou Z,GB,1992,Misc,Asmik Ace Entertainment  ,"Asmik Ace Entertainment, Inc  ",,,,,,,
31041,DX Game of Life,SAT,1995,Misc,Takara  ,Takara  ,,,,,,,
31042,DX Game of Life 2,SAT,1997,Misc,Takara  ,Takara  ,,,,,,,
31043,DX Jinsei Game III,PS,1999,Misc,Takara  ,Takara  ,,,,,,,
31044,DX Jinsei Game IV,PS,2001,Misc,Takara  ,Takara  ,,,,,,,
31045,DX Jinsei Game V,PS,2002,Misc,Takara  ,Takara  ,,,,,,,
31046,Dyad,PSN,2012,Racing,][ Games  ,][ Games  ,,,,,,,
31047,Dying Light,X360,2015,Action,Warner Bros. Interactive Entertainment  ,Techland  ,,,,,,,
31048,Dying Light,PS3,2015,Action,Warner Bros. Interactive Entertainment  ,Techland  ,,,,,,,
31049,Dyna Brothers,GEN,1992,Strategy,CRI  ,CRI  ,,,,,,,
31050,Dyna Brothers,VC,2007,Strategy,Sega  ,CRI  ,,,,,,,
31051,Dyna Brothers 2,GEN,1993,Strategy,CRI  ,CRI  ,,,,,,,
31052,Dyna Brothers 2 Special,VC,2007,Strategy,Sega  ,CRI  ,,,,,,,
31053,Dynablaster,PC,1992,Puzzle,Ubisoft  ,Hudson Soft  ,,,,,,,
31054,Dynamic Country Club,SCD,1993,Sports,Sega  ,Sega  ,,,,,,,
31055,Dynamic Stadium,SNES,1993,Sports,Sammy Corporation  ,Sammy Studios  ,,,,,,,
31056,Dynamite Cop!,DC,1999,Fighting,Sega  ,Sega-AM1  ,5.8,,,,,,
31057,Dynamite Cop!,Arc,1998,Misc,Sega  ,Unknown  ,,,,,,,
31058,Dynamite Duke,MS,1989,Action,Sega  ,Sega  ,,,,,,,
31059,Dynamite Duke,GEN,1990,Action,Sega  ,Hertz  ,,,,,,,
31060,Dynamite Dux,MS,1989,Action,Sega  ,Sega  ,,,,,,,
31061,Dynamite Headdy,GG,1994,Platform,Sega  ,"Treasure Co., Ltd.  ",,,,,,,
31062,Dynamite Headdy,VC,2007,Platform,Sega  ,"Treasure Co., Ltd.  ",,,,,,,
31063,Dynamite Headdy,MS,1994,Platform,Tec Toy  ,Minato Giken  ,,,,,,,
31064,Dynamite Headdy,SNES,N/A,Platform,Unknown  ,"Treasure Co., Ltd.  ",,,,,,,
31065,DynamiTracer (Satellaview),SNES,1996,Adventure,Square  ,Square  ,,,,,,,
31066,Dynasty Warriors,PSN,2009,Action,KOEI  ,Koei  ,,,,,,,
31067,Dynasty Warriors 4 Hyper,PC,2005,Action,KOEI  ,Omega Force  ,,,,,,,
31068,Dynasty Warriors 6,PC,2008,Action,KOEI  ,Omega Force  ,,,,,,,
31069,Dynasty Warriors 7 - Stage Pack 1,PSN,2011,Action,KOEI  ,Omega Force  ,,,,,,,
31070,Dynasty Warriors 7 - Stage Pack 2,PSN,2011,Action,KOEI  ,Omega Force  ,,,,,,,
31071,Dynasty Warriors 7 - Stage Pack 3,PSN,2011,Action,KOEI  ,Omega Force  ,,,,,,,
31072,Dynasty Warriors 7 - Stage Pack 4,PSN,2011,Action,KOEI  ,Omega Force  ,,,,,,,
31073,Dynasty Warriors 8: Empires,PC,2015,Action,Tecmo Koei  ,Omega Force  ,,,,,,,
31074,Dynasty Warriors BB,PS3,N/A,Action,Unknown  ,Omega Force  ,,,,,,,
31075,Dynasty Warriors BB,PC,2006,Action,CJ Internet Japan  ,Omega Force  ,,,,,,,
31076,Dynasty Warriors Vol. 2,PSN,2009,Action,KOEI  ,Omega Force  ,,,,,,,
31077,Dynasty Warriors: Strikeforce,PSN,2009,Action,Tecmo Koei  ,Omega Force  ,6.4,,,,,,
31078,Dynogems,PSN,2010,Puzzle,StormBASIC  ,StormBasic Games  ,,,,,,,
31079,Dynomite! Deluxe,PC,2002,Puzzle,Electronic Arts  ,PopCap Games  ,,,,,,,
31080,Dynowarz: The Destruction of Spondylus,NES,1990,Action,Bandai  ,Advance Communication Company  ,,,,,,,
31081,Dyscourse,Linux,2015,Adventure,Owlchemy Labs  ,Owlchemy Labs  ,,,,,,,
31082,Dyscourse,OSX,2015,Adventure,Owlchemy Labs  ,Owlchemy Labs  ,,,,,,,
31083,Dyscourse,PC,2015,Adventure,Owlchemy Labs  ,Owlchemy Labs  ,,,,,,,
31084,E-SWAT,MS,1990,Action,Sega  ,Sega  ,,,,,,,
31085,E.O.S. - Exhibition of Speed,DC,2001,Racing,Titus  ,Player 1  ,,,,,,,
31086,E.T. Interplanetary Mission,PC,2002,Adventure,Ubisoft  ,NewKidCo  ,,,,,,,
31087,E.V.O.: Search for Eden,SNES,1993,Simulation,Enix  ,Almanic Corp.  ,,,,,,,
31088,E.Y.E.: Divine Cybermancy,PC,2011,Role-Playing,Unknown  ,Streum On Studio  ,,,,,,,
31089,E.Y.E: Divine Cybermancy,PC,2011,Role-Playing,Unknown  ,Streum On Studio  ,,,,,,,
31090,E0: Enemy Zero,PC,1998,Adventure,Sega  ,Warp  ,,,,,,,
31091,E4 - Every Extend Extra Extreme,XBL,2007,Shooter,Q Entertainment  ,Cyclone Zero  ,,,,,,,
31092,EA Replay,PSN,2009,Misc,Electronic Arts  ,Team Fusion  ,4.9,,,,,,
31093,EA Sports Double Header,GEN,1993,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,
31094,EA Sports Live Score Tracker,PSN,N/A,Misc,Unknown  ,Electronic Arts  ,,,,,,,
31095,EA Sports Live Score Tracker,PC,2007,Misc,EA Sports  ,Unknown  ,,,,,,,
31096,EA Sports MMA,PSN,2011,Fighting,EA Sports  ,EA Tiburon  ,,,,,,,
31097,EA Sports PGA Tour,XOne,2015,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
31098,EA Sports PGA Tour,PS4,2015,Sports,EA Sports  ,EA Tiburon  ,,,,,,,
31099,EA Strategy Collection,PC,2006,Strategy,Electronic Arts  ,Electronic Arts  ,,,,,,,
31100,Eador: Masters of the Broken World,PC,2013,Misc,Snowbird Games  ,Unknown  ,,,,,,,
31101,Eagle Eye Golf,PS2,2006,Sports,Aksys Games  ,Telenet Japan  ,,,,,,,
31102,Eamon,PC,1988,Adventure,Unknown  ,PC-SIG  ,,,,,,,
31103,Earache Extreme Metal Racing,PSP,N/A,Racing,Unknown  ,Metro3D  ,,,,,,,
31104,Earache: Extreme Metal Racing,Wii,2008,Racing,Data Design Interactive  ,Data Design Interactive  ,,,,,,,
31105,Earache: Extreme Metal Racing,PC,2006,Racing,Metro 3D  ,Data Design Interactive  ,,,,,,,
31106,Earache: Extreme Metal Racing,PS2,2007,Racing,Metro 3D  ,Data Design Interactive  ,,,,,,,
31107,Earnest Evans,SCD,1991,Action,Wolf Team  ,Wolf Team  ,,,,,,,
31108,Earnest Evans,GEN,1992,Action,Renovation  ,Wolf Team  ,,,,,,,
31109,Earth 2140,PC,1997,Strategy,Interplay  ,TopWare Interactive Poland  ,,,,,,,
31110,Earth 2140 Trilogy,PC,1997,Strategy,TopWare  ,Reality Pump Studios  ,,,,,,,
31111,Earth 2150,PC,2000,Strategy,SSI  ,TopWare Interactive  ,,,,,,,
31112,Earth 2150: Lost Souls,PC,2002,Strategy,Strategy First  ,Zuxxez  ,,,,,,,
31113,Earth 2150: The Moon Project,PC,2001,Strategy,"Strategic Simulations, Inc  ",TopWare  ,,,,,,,
31114,Earth Defense,GEN,1995,Shooter,Realtec  ,AV Artisan  ,,,,,,,
31115,Earth Defense Force,SNES,1992,Shooter,Jaleco  ,Jaleco Entertainment  ,,,,,,,
31116,Earth Defense Force,VC,2010,Shooter,Jaleco  ,Jaleco Entertainment  ,,,,,,,
31117,Earth Light,SNES,1992,Strategy,Hudson Soft  ,Hudson Soft  ,,,,,,,
31118,Earth Light: Luna Strike,SNES,1996,Strategy,Hudson Soft  ,Hudson Soft  ,,,,,,,
31119,Earth Saver Plus: Inseki Bakuha Daisakusen,DSiW,2010,Action,Tom Create  ,Tom Create  ,,,,,,,
31120,Earth Shaker,XBL,2010,Puzzle,Microsoft  ,Battenberg Software  ,,,,,,,
31121,EarthNight,OSX,2019,Action,cleaversoft  ,cleaversoft  ,,,,,,,
31122,EarthNight,PC,2019,Action,cleaversoft  ,cleaversoft  ,,,,,,,
31123,EarthNight,And,2019,Action,cleaversoft  ,cleaversoft  ,,,,,,,
31124,EarthNight,PSV,2019,Action,cleaversoft  ,cleaversoft  ,,,,,,,
31125,EarthNight,PS4,2015,Action,cleaversoft  ,cleaversoft  ,,,,,,,
31126,Earthrise,PC,1991,Adventure,Interstel  ,Interstel  ,,,,,,,
31127,Earthshield,PSN,2010,Shooter,Sony Computer Entertainment  ,Sony Computer Entertainment  ,,,,,,,
31128,Earthworm Jim,SNES,1994,Platform,Playmates  ,Shiny Entertainment  ,,,,,,,
