Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
50905,Tomb Raider: Curse of the Sword,GB,2001,Platform,Activision  ,Core Design Ltd.  ,,,,,,,
50906,Tomb Raider: Legend,GBA,2006,Action,Eidos Interactive  ,Humansoft  ,6.3,,,,,,
50907,Tomb Raider: Legend,XBL,2010,Action,Eidos Interactive  ,Crystal Dynamics  ,,,,,,,
50908,Tomb Raider: Legend,PSN,2009,Adventure,Eidos Interactive  ,Buzz Monkey  ,,,,,,,
50909,Tomb Raider: The Last Revelation,DC,2001,Action,Eidos Interactive  ,Core Design Ltd.  ,,,,,,,
50910,Tomb Raider: The Last Revelation,PSN,2009,Adventure,Sony Computer Entertainment  ,Core Design Ltd.  ,,,,,,,
50911,Tomb Raider: Underworld,PSN,2010,Action,Square Enix  ,Crystal Dynamics  ,,,,,,,
50912,Tomba!,PSN,N/A,Platform,Unknown  ,Whoopee Camp  ,,,,,,,
50913,Tombs & Treasure,NES,1991,Role-Playing,Infocom  ,Tokyo Shoseki  ,,,,,,,
50914,Tombs & Treasure,PC,N/A,Adventure,Unknown  ,Nihon Falcom Corporation  ,,,,,,,
50915,Tombstone 1882,PC,2003,Action,Summitsoft Entertainment  ,Unknown  ,,,,,,,
50916,Tomcat Alley,SCD,1994,Adventure,Sega  ,The Code Monkeys  ,,,,,,,
50917,Tomcat Alley,PC,1995,Adventure,Sega  ,The Code Monkeys  ,,,,,,,
50918,Tomcat F-14 Flight Simulator,7800,1989,Action,Absolute Entertainment  ,Absolute Entertainment  ,,,,,,,
50919,Tomcat: The F-14 Fighter Simulator,2600,1988,Simulation,Absolute Entertainment  ,Absolute Entertainment  ,,,,,,,
50920,Tomena Sanner,WW,2010,Action,Konami  ,Konami  ,,,,,,,
50921,Tommy Lasorda Baseball,GEN,1989,Sports,Sega  ,Sega  ,,,,,,,
50922,Tomoyo After: It's a Wonderful Life,PC,2005,Adventure,Key  ,Key  ,,,,,,,
50923,Tomoyo After: It's a Wonderful Life CS Edition,X360,2010,Adventure,Prototype  ,Key  ,,,,,,,
50924,Tomy Car Driver,WW,2009,Action,Takara Tomy   ,Takara Tomy  ,,,,,,,
50925,Tonari no Princess Rolfee,PCFX,1997,Action,NEC  ,NEC Interchannel  ,,,,,,,
50926,Tonfuso,WS,2001,Misc,Bandai  ,Bandai  ,,,,,,,
50927,Tonic Trouble,PC,1999,Platform,Ubisoft  ,Ubisoft Montpellier  ,,,,,,,
50928,Tonic Trouble,GB,2000,Platform,Ubisoft  ,RFX Interactive  ,,,,,,,
50929,Tonka Construction Site,GB,2002,Strategy,TDK Mediactive  ,Cosmigo  ,,,,,,,
50930,Tonka Raceway,GB,1999,Racing,Hasbro Interactive  ,Morning Star Multimedia  ,,,,,,,
50931,Tonka Raceway,PC,1999,Racing,Hasbro Interactive  ,Media Station  ,,,,,,,
50932,Tonka: On The Job,GBA,2006,Action,THQ  ,Webfoot Technologies  ,,,,,,,
50933,Tony Hawk's Downhill Jam,GBA,2006,Sports,Activision  ,Visual Impact  ,,,,,,,
50934,Tony Hawk's Downhill Jam,PS2,2007,Sports,Activision  ,SuperVillain Studios  ,,,,,,,
50935,Tony Hawk's Pro Skater,NGage,2003,Sports,Nokia  ,Neversoft Entertainment  ,,,,,,,
50936,Tony Hawk's Pro Skater,DC,2000,Sports,Crave Entertainment  ,Treyarch  ,9.6,,,,,,
50937,Tony Hawk's Pro Skater,NGage,2003,Sports,Nokia  ,Neversoft Entertainment  ,7.2,,,,,,
50938,Tony Hawk's Pro Skater 2,DC,2000,Sports,Activision  ,Treyarch  ,9.7,,,,,,
50939,Tony Hawk's Pro Skater 2,GB,2000,Sports,Activision  ,Natsume  ,8.0,,,,,,
50940,Tony Hawk's Pro Skater 3,PC,2002,Sports,Activision  ,Gearbox Software  ,,,,,,,
50941,Tony Hawk's Pro Skater 3,GB,2001,Sports,Activision  ,HotGen Studios  ,,,,,,,
50942,Tony Hawk's Pro Skater 4,PC,2003,Sports,Aspyr  ,Beenox  ,,,,,,,
50943,Tony Hawk's Pro Skater 4,PS,2002,Sports,Activision  ,Vicarious Visions  ,,,,,,,
50944,Tony Hawk's Project 8,XB,2006,Sports,Activision  ,Shaba Games  ,6.6,,,,,,
50945,Tony Hawk's Shred Session,And,2014,Misc,Activision  ,Unknown  ,,,,,,,
50946,Tony La Russa Baseball,GEN,1993,Sports,Electronic Arts  ,Stormfront Studios  ,,,,,,,
50947,Tony Meola's Sidekicks Soccer,SNES,1993,Sports,Electro Brain  ,Sculptured Software  ,,,,,,,
50948,Tonzurakko,PSN,2010,Racing,Sony Computer Entertainment  ,Sony Computer Entertainment  ,,,,,,,
50949,Too Human,XBL,2010,Role-Playing,Microsoft Game Studios  ,Silicon Knights  ,,,,,,,
50950,Toobin',NES,1989,Action,Tengen  ,Tengen  ,,,,,,,
50951,Toobin',GB,2000,Action,Midway Games  ,Digital Eclipse  ,,,,,,,
50952,Toobin',PC,1992,Action,Domark Software  ,Tengen  ,,,,,,,
50953,Toon Fighter Z: BeatEm With Fun!,DS,N/A,Fighting,Unknown  ,TBA  ,,,,,,,
50954,Toon Twister 3-D,PC,2003,Misc,Scholastic Inc.  ,Scholastic  ,,,,,,,
50955,Toon-Doku,DS,2007,Puzzle,Majesco  ,Dragon's Den Unlimted  ,,,,,,,
50956,Toonstruck,PC,1996,Adventure,Virgin Interactive  ,Burst  ,,,,,,,
50957,Toonsylvania,GB,2000,Platform,Ubisoft  ,RFX Interactive  ,,,,,,,
50958,ToonTime ...in the classroom,3DO,1994,Puzzle,3DO  ,Videoact V LC  ,,,,,,,
50959,Tooth and Tail,PC,2017,Strategy,Pocketwatch Games  ,Pocketwatch Games  ,,,,,,,
50960,Tootuff,GB,2001,Misc,Infogrames  ,Planet Interactive  ,,,,,,,
50961,Tootuff Mission Nadia,DS,2005,Action,Atari  ,Dream On  ,,,,,,,
50962,Top Angler: Real Bass Fishing,GC,2003,Sports,Xicat Interactive  ,SIMS  ,,,,,,,
50963,Top Breeder,PC,2000,Strategy,Angie  ,Angie  ,,,,,,,
50964,Top City Racing 2014,And,2014,Racing,Azerbo  ,Azerbo  ,,,,,,,
50965,Top Darts,PSN,2010,Sports,Sony Computer Entertainment  ,Devil's Details  ,,,,,,,
50966,Top Darts,PSV,2012,Sports,Sony Computer Entertainment  ,Devil's Details  ,,,,,,,
50967,Top Gear,SNES,1992,Racing,Majesco  ,Gremlin Graphics  ,,,,,,,
50968,Top Gear 2,SNES,1993,Racing,Kemco  ,Kemco  ,,,,,,,
