Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
21001,Pro Evolution Soccer 2008,DS,2008,Sports,Konami  ,Konami  ,,,0.01,0.0,,0.0,0.01
21002,Zorro: Quest For Justice,DS,2010,Action,505 Games  ,505 Games  ,,,0.01,,,0.0,0.01
21003,Akatsuki no Amaneka to Aoi Kyojin,X360,2010,Strategy,CyberFront  ,Kogado Software Products  ,,,,,0.01,,0.01
21004,Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,2018,Action,M2  ,M2  ,,,,,0.01,,0.01
21005,Darkstalkers Resurrection,X360,2013,Misc,Capcom  ,Unknown  ,,,,,0.01,,0.01
21006,Phi Brain: Kizuna no Puzzle,PSP,2012,Misc,Arc System Works  ,Unknown  ,,,,,0.01,,0.01
21007,Kouekizaidan Houjin Nihon Kanji Nouryoku Kentei Kyoukai: Kanken Training 2,3DS,2017,Misc,Imagineer  ,Imagineer  ,,,,,0.01,,0.01
21008,A.C.E.: Another Century's Episode 2 - Special Vocal Version,PS2,2007,Simulation,Banpresto  ,From Software  ,,,,,0.01,,0.01
21009,Capcom Puzzle World,PSP,2007,Puzzle,Capcom  ,Capcom  ,7.4,,0.01,0.0,,0.0,0.01
21010,Challenge Me: Word Puzzles,Wii,2011,Puzzle,O-Games  ,O Games  ,,,0.0,0.0,,0.0,0.01
21011,Clannad,PSV,2014,Visual Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
21012,Anpanman to Touch de Waku Waku Training,DS,2009,Misc,Namco Bandai  ,Bandai Namco Games  ,,,,,0.01,,0.01
21013,Giana Sisters: Twisted Dreams,NS,2018,Platform,THQ Nordic  ,Black Forest Games  ,,,0.01,,,0.0,0.01
21014,Rome: Total War Anthology,PC,2008,Strategy,Sega  ,The Creative Assembly  ,,,,0.01,,0.0,0.01
21015,Tom Clancy's Ghost Recon Advanced Warfighter 2,PC,2007,Shooter,Ubisoft  ,GRIN  ,,,,0.01,,0.0,0.01
21016,Action Girlz Racing,Wii,2008,Racing,Conspiracy Entertainment  ,Data Design Interactive  ,,,0.01,0.0,,0.0,0.01
21017,Guilty Gear 2: Overture,X360,2008,Fighting,Aksys Games  ,Arc System Works  ,,,,,0.01,,0.01
21018,Blades of Thunder II,DS,2006,Simulation,Summitsoft  ,CokeM Interactive  ,,,0.01,,,0.0,0.01
21019,Anpanman Niko Niko Party,Wii,2010,Misc,Agatsuma Entertainment  ,Agatsuma Entertainment  ,,,,,0.01,,0.01
21020,Dragon's Dogma,PC,2016,Role-Playing,Capcom  ,Capcom  ,,,,0.01,,0.0,0.01
21021,KLAP!! Kind Love And Punish,PSV,2015,Action,Idea Factory  ,Unknown  ,,,,,0.01,,0.01
21022,Yuuna and the Haunted Hot Springs: Steam Dungeon,PS4,2018,Role-Playing,FuRyu Corporation  ,FuRyu  ,,,,,0.01,,0.01
21023,Hugo: The Evil Mirror,GBA,2005,Action,Namco  ,ITE Media  ,5.9,,0.01,0.0,,0.0,0.01
21024,King's Field: Additional I,PSP,2006,Role-Playing,From Software  ,From Software  ,,,,,0.01,,0.01
21025,Painkiller: Hell & Damnation,PC,2012,Action,Nordic Games  ,The Farm 51  ,,,,0.01,,0.0,0.01
21026,The City of Lost Children,PS,1997,Adventure,Psygnosis  ,Psygnosis  ,4.9,,0.0,0.0,,0.0,0.01
21027,Backyard Sports Baseball 2007,PS2,2006,Sports,Atari  ,Game Brains  ,,,0.0,0.0,,0.0,0.01
21028,Little King's Story,PSV,2012,Misc,Konami Digital Entertainment  ,Unknown  ,,,,0.01,,0.0,0.01
21029,Pirates of Black Cove,PC,2011,Adventure,Paradox Interactive   ,Nitro Games  ,5.5,,,0.01,,0.0,0.01
21030,Puchi Eva: Evangelion @ Game,DS,2008,Simulation,Namco Bandai  ,Bandai Namco Games  ,,,,,0.01,,0.01
21031,Generation of Chaos 6,PSP,2013,Misc,NIS America  ,Unknown  ,,,,,0.01,,0.01
21032,Shinkyouku Soukai Polyphonica: 3&4 Hanashi Kanketsuhen,PS2,2007,Adventure,Prototype  ,Visual Arts  ,,,,,0.01,,0.01
21033,X-Men Legends II: Rise of Apocalypse,PC,2005,Role-Playing,Activision  ,Raven Software  ,7.9,,0.01,,,0.0,0.01
21034,Pawly Pets: My Pet Hotel,DS,2007,Simulation,Ubisoft  ,DTP Young Entertainment  ,,,,0.01,,0.0,0.01
21035,Rewrite: Harvest Festa!,PSV,2017,Adventure,Prototype  ,Prototype  ,,,,,0.01,,0.01
21036,Time Ace,DS,2007,Simulation,Konami  ,Trainwreck Studios  ,,,0.01,,,0.0,0.01
21037,Winning Post World 2010,Wii,2010,Sports,KOEI  ,Koei  ,,,,,0.01,,0.01
21038,Infidel,PC,1983,Adventure,Infocom  ,"Infocom, Inc.  ",,,,,,,
21039,Chronicles of Mystery: The Scorpio Ritual,PC,2008,Adventure,City Interactive  ,Navarre Corporation  ,,,,0.01,,0.0,0.01
21040,The Liar Princess and the Blind Prince,PSV,2018,Platform,Nippon Ichi Software  ,Nippon Ichi Software  ,,,,,0.01,,0.01
21041,Pride of Nations,PC,2011,Strategy,Paradox Interactive   ,AGEOD  ,,,,0.01,,0.0,0.01
21042,MetropolisMania 2,PS2,2007,Strategy,Natsume  ,Indi Software  ,4.3,,0.0,0.0,,0.0,0.01
21043,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 250 Banjin no KanKen Premium - Zenkyuu Zen-Kanji Kanzen Seiha,DS,2009,Misc,IE Institute  ,IE Institute  ,,,,,0.01,,0.01
21044,NCAA College Basketball 2K3,GC,2002,Sports,Sega  ,Kush Games  ,,,0.01,0.0,,0.0,0.01
21045,Genji Koi Emaki,PSV,2015,Action,Quinrose  ,Unknown  ,,,,,0.01,,0.01
21046,Majin Bone: The Majin of Space and Time,3DS,2014,Fighting,Namco Bandai Games  ,Namco Bandai Games  ,,,,,0.01,,0.01
21047,WRC 5: FIA World Rally Championship,X360,2015,Racing,Bigben Interactive  ,Kylotonn Entertainment  ,,,,0.01,,0.0,0.01
21048,Bratz: Forever Diamondz,GBA,2006,Adventure,THQ  ,Barking Lizards  ,,,0.01,0.0,,0.0,0.01
21049,God Wars: Nihon Shinwa Taisen,PSV,2018,Role-Playing,Kadokawa Games  ,Kadokawa Games  ,,,,,0.01,,0.01
21050,Jissen Pachi-Slot Pachinko Hisshouhou! Wii Hokuto no Ken Sammy's Collection,Wii,2007,Misc,Sega  ,Sammy Studios  ,,,,,0.01,,0.01
21051,Teikoku Kaigun Renbojou: Meiji Yokosuka Koushinkyoku,PSV,2015,Action,D3Publisher  ,Unknown  ,,,,,0.01,,0.01
21052,D-Day,PC,2004,Strategy,O3 Entertainment  ,Digital Reality  ,,,,0.01,,0.0,0.01
21053,Secret Files 2: Puritas Cordis,DS,2009,Adventure,Deep Silver  ,Fusionsphere Systems / Animation Arts  ,,,,0.01,,0.0,0.01
21054,SimCity 3000 Unlimited,PC,2000,Simulation,Electronic Arts  ,Maxis  ,6.9,,0.01,,,0.0,0.01
