Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
26001,Big Bass Arcade,DSiW,2011,Sports,Big John Games  ,Big John Games  ,,,,,,,
26002,Big Bass Arcade,WW,2011,Sports,Big John Games  ,Big John Games  ,,,,,,,
26003,Big Bass Fishing,PS,1986,Simulation,Take-Two Interactive  ,Coresoft Games  ,,,,,,,
26004,Big Beach Sports 2-Pack,Wii,2011,Sports,THQ  ,THQ  ,,,,,,,
26005,Big Bird's Egg Catch,2600,1983,Action,Atari  ,Atari  ,,,,,,,
26006,Big Biz Tycoon,PC,2002,Strategy,Activision  ,Animedia  ,5.8,,,,,,
26007,Big Biz Tycoon 2,PC,2003,Strategy,Activision  ,4HEAD Studios  ,,,,,,,
26008,Big Brain Wolf,PC,2009,Adventure,Frima Studio  ,Frima Studio  ,,,,,,,
26009,Big Buck Hunter,PC,2007,Sports,Midway Games  ,Play Mechanix  ,,,,,,,
26010,Big Bumpin',XB,2006,Racing,King Games  ,Blitz Games  ,6.3,,,,,,
26011,Big Challenge Golf: Tokyo Yomiuri Country Club Hen,PS,1997,Sports,Vap  ,Vap  ,,,,,,,
26012,Big Kahuna Party,WW,2008,Puzzle,Nintendo  ,Reflexive Entertainment  ,,,,,,,
26013,Big League Slugger Baseball,PS,2003,Sports,Agetec  ,Now Production  ,,,,,,,
26014,Big Money Deluxe,PC,2006,Puzzle,PopCap Games  ,PopCap  ,,,,,,,
26015,Big Mutha Truckers,DS,2005,Racing,DSI Games  ,Raylight Studios  ,,,,,,,
26016,Big Mutha Truckers,PC,2003,Racing,THQ  ,Eutechnyx  ,,,,,,,
26017,Big Mutha Truckers 2,PC,2005,Racing,THQ  ,Eutechnyx  ,,,,,,,
26018,Big Nose Freaks Out,NES,1992,Platform,Camerica  ,Codemasters  ,,,,,,,
26019,Big Nose the Caveman,NES,1991,Platform,Camerica  ,Codemasters  ,,,,,,,
26020,Big Oil: Build an Oil Empire,PC,2006,Strategy,Tri Synergy  ,Tri Synergy  ,,,,,,,
26021,Big Red Racing,PC,1996,Racing,Eidos Interactive  ,Big Red Software  ,,,,,,,
26022,Big Rigs: Over the Road Racing,PC,2003,Racing,GameMill  ,Stellar Stone  ,,,,,,,
26023,Big Sky Trooper,SNES,1995,Adventure,JVC  ,LucasArts  ,,,,,,,
26024,Big Time Gangsta,And,2011,Misc,Glu Mobile Inc.  ,Unknown  ,,,,,,,
26025,Big Time Rush: Backstage Pass,DS,2012,Misc,GameMill  ,Unknown  ,,,,,,,
26026,Big Time Rush: Dance Party,Wii,2012,Misc,GameMill  ,Unknown  ,,,,,,,
26027,Big Town Shoot Out,WW,2011,Shooter,Performance Designed Products  ,Performance Designed Products  ,6.0,,,,,,
26028,Big Win Football,And,2012,Misc,Hothead Games  ,Unknown  ,,,,,,,
26029,Big Win MLB,And,2013,Misc,Hothead Games  ,Unknown  ,,,,,,,
26030,Big Win Racing,And,2013,Misc,Hothead Games  ,Unknown  ,,,,,,,
26031,Big Word Puzzle Book,DS,2009,Puzzle,505 Games  ,505 Games  ,,,,,,,
26032,Bigfoot,NES,1990,Racing,Acclaim Entertainment  ,Beam Software  ,,,,,,,
26033,Bigfoot,3DS,N/A,Sports,Zoo Games  ,Zoo Games  ,,,,,,,
26034,Bigfoot: Collision Course,PS2,N/A,Racing,Unknown  ,Destination Software  ,,,,,,,
26035,BigHead Bash,OSX,2012,Misc,Spicy Horse  ,Unknown  ,,,,,,,
26036,BigHead Bash,PC,2012,Misc,Spicy Horse  ,Unknown  ,,,,,,,
26037,BigHead Bash,PC,2012,Shooter,Spicy Horse  ,Spicy Horse  ,,,,,,,
26038,BigHead Bash,BRW,2012,Misc,Spicy Horse  ,Unknown  ,,,,,,,
26039,Biglands: A Game Made By Kids,OSX,2014,Adventure,Diego Acevedo  ,Diego Acevedo  ,,,,,,,
26040,Biglands: A Game Made By Kids,PC,2014,Adventure,Diego Acevedo  ,Diego Acevedo  ,,,,,,,
26041,Bijin-Tokei Portable,PSN,2010,Misc,HuneX  ,HuneX  ,,,,,,,
26042,Bik - A Space Adventure,Linux,2014,Adventure,Zotnip  ,Zotnip  ,,,,,,,
26043,Bik - A Space Adventure,OSX,2014,Adventure,Zotnip  ,Zotnip  ,,,,,,,
26044,Bik - A Space Adventure,PC,2014,Adventure,Zotnip  ,Zotnip  ,,,,,,,
26045,Bike Rider DX,3DS,2013,Misc,Spicysoft Corp.  ,Unknown  ,,,,,,,
26046,BIKE RIDER DX2: GALAXY,3DS,2014,Action,Spicysoft Corp.  ,Mobile & Game Studio  ,,,,,,,
26047,Biker Mice From Mars,SNES,1994,Racing,Konami  ,Konami  ,,,,,,,
26048,Bikkuri Nekketsu Shin Kiroku! Dokodemo Kin Medal,GB,1993,Sports,Technos Japan Corporation  ,Technos Japan Corporation  ,,,,,,,
26049,Bikkuri Pachinko: Ashita no Joe - Kyoraku Collection Vol. 1,PS3,2011,Misc,Unknown  ,Kyouraku Sangyou Holdings  ,,,,,,,
26050,Bikkuri! Dokkiri! Mahou no Pen,DS,N/A,Role-Playing,Unknown  ,Global A Entertainment  ,,,,,,,
26051,Bikkuri! Tobidasu! Mahou no Pen,3DS,2011,Misc,Global A Entertainment  ,Global A Entertainment  ,,,,,,,
26052,BikkuriMan 2000 Charging Card GB,GB,2000,Role-Playing,Imagineer  ,Imagineer  ,,,,,,,
26053,BikkuriMan 2000 Viva! Festival!,DC,2000,Misc,Sega Toys  ,Sega Toys  ,,,,,,,
26054,BikkuriMan Daijikai,PCE,1988,Misc,Hudson Soft  ,Hudson Soft  ,,,,,,,
26055,BikkuriMan Kanjuku Haoh: Sanmi Douran Sensouki,3DS,2011,Action,Nippon Ichi Software  ,Nippon Ichi Software  ,,,,,,,
26056,BikkuriMan World,PCE,1987,Action,Hudson Soft  ,West One  ,,,,,,,
26057,BikkuriMan World: Gekitou Sei Senshi,NES,1990,Role-Playing,Hudson Soft  ,Hudson Soft  ,,,,,,,
26058,Bill & Ted's Excellent Game Boy Adventure,GB,1991,Platform,LJN  ,Beam Software  ,,,,,,,
26059,Bill & Ted's Excellent Video Game Adventure,NES,1991,Action,LJN  ,Rocket Science Games  ,,,,,,,
26060,Bill and Ted's Excellent Adventure,Lynx,1989,Action,Atari  ,Atari  ,,,,,,,
26061,Bill Elliott's NASCAR Challenge,NES,1991,Racing,Konami  ,"Distinctive Software,Inc.  ",,,,,,,
26062,Bill Elliott's NASCAR Fast Tracks,GB,1991,Racing,Konami  ,"Distinctive Software, Inc.  ",,,,,,,
26063,Bill Laimbeer's Combat Basketball,SNES,1991,Sports,Hudson Soft  ,Hudson Soft  ,,,,,,,
26064,Bill Walsh College Football,GEN,1993,Sports,Electronic Arts  ,High Score Productions  ,,,,,,,
26065,Bill Walsh College Football,SCD,1993,Sports,Electronic Arts  ,Electronic Arts  ,,,,,,,
26066,Bill Walsh College Football '95,GEN,1994,Sports,Electronic Arts  ,High Score Productions  ,,,,,,,
26067,Billard Action,DS,2006,Sports,505 Games  ,Agenda  ,,,,,,,
26068,Billiard,PS,2001,Sports,Serene  ,Serene  ,,,,,,,
26069,Billiard Action,DS,2006,Misc,505 Games  ,Agenda  ,,,,,,,
26070,Billiards,PS,N/A,Misc,Unknown  ,A1 Games  ,,,,,,,
26071,Billiards Xciting,PS2,2004,Sports,Agetec  ,Agenda  ,,,,,,,
26072,Billionaire Blitz,And,2014,Puzzle,Unknown  ,Unknown  ,,,,,,,
26073,Billy Bob's Huntin'-n-Fishin',GB,1999,Sports,Midway Games  ,Saffire Corporation  ,,,,,,,
26074,Bimini Run,GEN,1990,Action,Nuvision Entertainment  ,Nuvision Entertainment  ,,,,,,,
26075,Binary Domain,PC,2012,Action,Sega  ,Devils Details  ,,,,,,,
26076,Binary Land,NES,1985,Action,Hudson Soft  ,Hudson Soft  ,,,,,,,
26077,Binary Land,VC,N/A,Action,Unknown  ,Hudson Soft  ,,,,,,,
26078,Binary Spot,PC,2002,Adventure,Unknown  ,August  ,,,,,,,
26079,Bing Bing! Bingo,SNES,1993,Misc,KSS  ,KSS  ,,,,,,,
