Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
35001,Highway 2000,SAT,N/A,Racing,Unknown  ,Natsume  ,,,,,,,
35002,Highway Run,And,2014,Misc,99Games Online Private Limited  ,Unknown  ,,,,,,,
35003,Higurashi Daybreak,PC,2006,Shooter,Twilight Frontier  ,Twilight Frontier  ,,,,,,,
35004,Higurashi Daybreak Kai,PC,2007,Shooter,Twilight Frontier  ,Twilight Frontier  ,,,,,,,
35005,Higurashi Daybreak Portable Mega Edition,PSN,2010,Adventure,Alchemist  ,Alchemist  ,,,,,,,
35006,Higurashi no Naku Koro ni Kizuna: Ichi-Ni Maki Pack,DS,2009,Adventure,Alchemist  ,Alchemist  ,,,,,,,
35007,Higurashi When The Cry Sui,PSV,2015,Action,Kaga Create  ,Unknown  ,,,,,,,
35008,Hiiro no Kakera,PS2,2006,Adventure,Idea Factory  ,Idea Factory  ,,,,,,,
35009,Hiiro no Kakera Aizouban: Akane Iro no Tsuioku,PS3,2011,Adventure,Idea Factory  ,Idea Factory  ,,,,,,,
35010,Hiiro no Kakera: Ano Sora no Shita de,PS2,2007,Adventure,Idea Factory  ,Idea Factory  ,,,,,,,
35011,Hiiro no Kakera: Twin Pack,PSP,2011,Adventure,Idea Factory  ,Idea Factory  ,,,,,,,
35012,Hikaru no Go,GBA,2001,Misc,Konami  ,Konami  ,,,,,,,
35013,Hikaru no Go 2,GBA,2002,Misc,Konami  ,Konami  ,,,,,,,
35014,Hikaru no Go 3,GC,2003,Misc,Konami  ,Konami  ,,,,,,,
35015,Hikaru no Go: Insei Choujou Kessen,PS,2002,Adventure,Konami  ,Tenky  ,,,,,,,
35016,Hill Climb Racing,And,2012,Misc,Fingersoft  ,Unknown  ,,,,,,,
35017,Himawari Doubutsu Byouin,GBA,2004,Action,TDK Core  ,TDK Core  ,,,,,,,
35018,Himawari no Kyoukai to Nagai Natsuyasumi: Extra Vacation,PSP,2013,Misc,Kero Makura  ,Unknown  ,,,,,,,
35019,Himawari no Kyoukai to Nagai Natsuyasumi: Extra Vacation,PS3,2013,Misc,Kero Makura  ,Unknown  ,,,,,,,
35020,Hime Girl Paradise: Mechikawa! Agemori Sensation!,3DS,2012,Misc,Nippon Columbia  ,Unknown  ,,,,,,,
35021,"Hime Kishi Olivia: E, Hentai, Kono Hentai Otoko!",PC,2011,Adventure,Unknown  ,Silky`s  ,,,,,,,
35022,HimeHibi: Princess Days,PS2,2006,Adventure,Takuyo  ,Takuyo  ,,,,,,,
35023,HimeHibi: Princess Days Portable,PSP,2008,Adventure,Takuyo  ,Takuyo  ,,,,,,,
35024,Himitsu no Ooku,DSiW,2009,Misc,Hudson Soft  ,Hudson Entertainment  ,,,,,,,
35025,Himitsu: Tadagaita Natsu,DC,2001,Adventure,Starfish  ,Starfish  ,,,,,,,
35026,Hinterland,PC,2008,Strategy,Independent  ,Tilted Mill Entertainment  ,7.0,,,,,,
35027,Hinterland: Orc Lords,PC,N/A,Strategy,Unknown  ,Tilted Mill  ,7.5,,,,,,
35028,Hints Hunter,DSiW,2010,Puzzle,CIRCLE Entertainment  ,CIRCLE Entertainment  ,,,,,,,
35029,Hip Hop King: Rytmik Edition,DSiW,2012,Misc,Cinemax  ,Cinemax  ,,,,,,,
35030,Hippocampal: The White Sofa,PC,2014,Misc,Strategy First  ,Unknown  ,,,,,,,
35031,Hirake! Ponkikki,NES,1992,Misc,Takara  ,Takara  ,,,,,,,
35032,Hirameki Card Battle Mekuruka,WW,2009,Misc,Tom Create  ,Tom Create  ,,,,,,,
35033,Hirameki Egara Shiritori,DSiW,2011,Misc,Unknown  ,Mechanic Arms  ,,,,,,,
35034,Hirata Shogo Interactive Ehon: Aesop Monogatari,3DO,1994,Adventure,Elcom  ,Elcom  ,,,,,,,
35035,Hirata Shogo Interactive Ehon: Cinderella,3DO,1995,Adventure,Elcom  ,Elcom  ,,,,,,,
35036,Hirata Shogo Interactive Ehon: Ningyo Hime,3DO,1994,Misc,Elcom  ,Elcom  ,,,,,,,
35037,Hirata Shogo Interactive Ehon: Ookami to Shichi Hiki no Koyagi,3DO,1995,Adventure,Elcom  ,Elcom  ,,,,,,,
35038,Hirata Shogo Interactive Ehon: Sanhiki no Kobuta,3DO,1994,Adventure,Elcom  ,Elcom  ,,,,,,,
35039,Hirata Shogo Interactive Ehon: Shirayuki Hime,3DO,1994,Adventure,Elcom  ,Elcom  ,,,,,,,
35040,Hiromichi Oniisan no Oyako Taisou Navi,DS,2008,Misc,Dorart  ,Dorart  ,,,,,,,
35041,Hiryu no Ken II: Dragon no Tsubasa,NES,1988,Action,Culture Brain  ,Culture Brain  ,,,,,,,
35042,Hiryu no Ken III: 5 Nin no Ryuu Senshi,NES,1990,Action,Culture Brain  ,Culture Brain  ,,,,,,,
35043,Hiryu no Ken Retsuden GB,GB,2000,Fighting,Culture Brain  ,Culture Brain  ,,,,,,,
35044,Hiryu no Ken S: Golden Fighter,SNES,1992,Fighting,Culture Brain  ,Culture Brain  ,,,,,,,
35045,Hiryu no Ken Special: Fighting Wars,NES,1991,Fighting,Culture Brain  ,Culture Brain  ,,,,,,,
35046,Hisou Kihei X-Serd,PCE,1990,Strategy,NCS  ,NCS  ,,,,,,,
35047,Hissatsu Kung Fu: Kanji Dragon,DS,2007,Misc,Success  ,Success  ,,,,,,,
35048,Hissatsu Pachi-Slot Station,PS,1998,Misc,Sunsoft  ,SunSoft  ,,,,,,,
35049,Hissatsu Pachi-Slot Station 2,PS,1999,Misc,Sunsoft  ,SunSoft  ,,,,,,,
35050,Hissatsu Pachi-Slot Station 3,PS,2000,Misc,Sunsoft  ,SunSoft  ,,,,,,,
