Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
60001,Terror of Hemasaurus,PC,N/A,Action,Unknown  ,Loren Lemcke  ,,,,,,,
60002,Terror of Hemasaurus,NS,N/A,Action,Unknown  ,Loren Lemcke  ,,,,,,,
60003,Tesla vs Lovecraft,NS,2018,Action,10tons  ,10tons Ltd  ,,,,,,,
60004,Teslagrad,NS,2017,Platform,Rain Games  ,Rain Games  ,,,,,,,
60005,Teslapunk,WiiU,N/A,Action,Unknown  ,TBD  ,,,,,,,
60006,Test Drive Unlimited Solar Crown,XS,N/A,Racing,Unknown  ,KT Racing  ,,,,,,,
60007,Test Drive Unlimited Solar Crown,XOne,N/A,Racing,Unknown  ,KT Racing  ,,,,,,,
60008,Test Drive Unlimited Solar Crown,PS5,N/A,Racing,Unknown  ,KT Racing  ,,,,,,,
60009,Test Drive Unlimited Solar Crown,PS4,N/A,Racing,Unknown  ,KT Racing  ,,,,,,,
60010,Test Drive Unlimited Solar Crown,PC,N/A,Racing,Unknown  ,KT Racing  ,,,,,,,
60011,Test Drive Unlimited Solar Crown,NS,N/A,Racing,Unknown  ,KT Racing  ,,,,,,,
60012,Test Drive: Ferrari Legends,PC,2012,Racing,Evolved Games  ,Slightly Mad Studios  ,,,,,,,
60013,TEST GAME 2,Wii,N/A,Platform,Unknown  ,TESTING COMPANY  ,,,,,,,
60014,test: game,PC,N/A,Action,Unknown  ,A Different Game  ,,,,,,,
60015,TestingGame,2600,N/A,Action,Unknown  ,TalonSoft  ,,,,,,,
60016,TETRA's Escape,NS,N/A,Puzzle,Unknown  ,ABX Games  ,,,,,,,
60017,TETRA's Escape,XOne,N/A,Puzzle,Unknown  ,ABX Games  ,,,,,,,
60018,TETRA's Escape,PS4,N/A,Puzzle,Unknown  ,ABX Games  ,,,,,,,
60019,TETRA's Escape,PSV,N/A,Puzzle,Unknown  ,ABX Games  ,,,,,,,
60020,TETRA's Escape,PC,N/A,Puzzle,Unknown  ,ABX Games  ,,,,,,,
60021,Tetris 99,NS,2019,Puzzle,Nintendo  ,Arika  ,,,,,,,
60022,Tetris Effect,PC,2019,Puzzle,Enhance  , Monstars Inc.   ,,,,,,,
60023,Tetris Effect Connected,PC,2021,Puzzle,Enhance  ,"Tetris Online, Inc  ",,,,,,,
60024,Tetris Effect Connected,XOne,2020,Puzzle,Enhance  ,"Tetris Online, Inc  ",,,,,,,
60025,Tetris Effect Connected,XS,2020,Puzzle,Enhance  ,"Tetris Online, Inc  ",,,,,,,
60026,Tetris Effect: Connected,NS,N/A,Puzzle,Unknown  ,"Tetris Online, Inc  ",,,,,,,
60027,The 25th Ward: The Silver Case,PS4,2018,Visual Novel,NIS America  ,Grasshopper Manufacture  ,,,,,,,
60028,The 25th Ward: The Silver Case,PC,2018,Visual Novel,NIS America  ,Grasshopper Manufacture  ,,,,,,,
60029,The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,NS,2018,Adventure,Chorus Worldwide Games  ,Rumpus Animation  ,,,,,,,
60030,The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,XOne,2019,Adventure,Chorus Worldwide Games  ,Rumpus Animation  ,,,,,,,
60031,The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,PC,2015,Adventure,Deck 13  ,Rumpus Animation  ,,,,,,,
60032,The Adventures of Dr. Brain,PC,N/A,Education,Unknown  ,Knowledge Adventure  ,,,,,,,
60033,The Alliance Alive HD Remastered,NS,2019,Role-Playing,NIS America  ,Cattle Call  ,,,,,,,
60034,The Alliance Alive HD Remastered,PS4,2019,Role-Playing,NIS America  ,Cattle Call  ,,,,,,,
60035,The Alliance Alive HD Remastered,PC,2019,Role-Playing,FuRyu Corporation  ,Cattle Call  ,,,,,,,
60036,The Almost Gone,PC,2020,Adventure,Playdigious  ,Happy Volcano  ,,,,,,,
60037,The Almost Gone,NS,2020,Adventure,Playdigious  ,Happy Volcano  ,,,,,,,
60038,The Almost Gone,And,2020,Adventure,Playdigious  ,Happy Volcano  ,,,,,,,
60039,The Almost Gone,iOS,2020,Adventure,Playdigious  ,Happy Volcano  ,,,,,,,
60040,The Amazing Spider-Man (2012),iOS,N/A,Action-Adventure,Unknown  ,Gameloft  ,,,,,,,
60041,The Aquatic Adventure of the Last Human,NS,2019,Action-Adventure,Digerati  ,YCJY  ,,,,,,,
60042,The Aquatic Adventure of the Last Human,PS4,2018,Action-Adventure,Digerati  ,YCJY  ,,,,,,,
60043,The Aquatic Adventure of the Last Human,XOne,2018,Action-Adventure,Digerati  ,YCJY  ,,,,,,,
60044,The Aquatic Adventure of the Last Human,PC,2016,Action-Adventure,YCJY  ,YCJY  ,,,,,,,
60045,The Artful Escape,XOne,2020,Platform,Annapurna Interactive  ,Beethoven & Dinosaur  ,,,,,,,
60046,The Artful Escape,PC,2020,Platform,Annapurna Interactive  ,Beethoven & Dinosaur  ,,,,,,,
60047,The Artful Escape,iOS,2020,Platform,Annapurna Interactive  ,Beethoven & Dinosaur  ,,,,,,,
60048,The Artful Escape,XS,N/A,Platform,Unknown  ,Beethoven & Dinosaur  ,,,,,,,
60049,The Ascent,XS,2020,Action,Curve Digital  ,Neon Giant  ,,,,,,,
60050,The Ascent,XOne,2020,Role-Playing,Curve Digital  ,Neon Giant  ,,,,,,,
60051,The Ascent,PC,2020,Role-Playing,Curve Digital  ,Neon Giant  ,,,,,,,
60052,The Awesome Adventures of Captain Spirit,PC,2018,Adventure,DONTNOD Entertainment  ,DONTNOD Entertainment  ,,,,,,,
60053,The Awesome Adventures of Captain Spirit,XOne,2018,Adventure,DONTNOD Entertainment  ,DONTNOD Entertainment  ,,,,,,,
60054,The Awesome Adventures of Captain Spirit,PS4,2018,Adventure,DONTNOD Entertainment  ,DONTNOD Entertainment  ,,,,,,,
60055,The Banner Saga,NS,2018,Strategy,Versus Evil  ,Stoic Studio  ,,,,,,,
60056,The Banner Saga 2,NS,2018,Strategy,Versus Evil  ,Stoic Studio  ,,,,,,,
60057,The Banner Saga 3,NS,2018,Strategy,Versus Evil  ,Stoic Studio  ,,,,,,,
60058,The Bard's Tale: Remastered and Resnarkled,PSV,N/A,Action,Unknown  ,InXile Entertainment  ,,,,,,,
60059,The Bard's Tale: Remastered and Resnarkled,PS4,N/A,Action,Unknown  ,InXile Entertainment  ,,,,,,,
60060,The Bard’s Tale IV: Director's Cut,XOne,2019,Role-Playing,inXile Entertainment  ,InXile Entertainment  ,,,,,,,
60061,The Bard’s Tale IV: Director's Cut,PS4,2019,Role-Playing,inXile Entertainment  ,InXile Entertainment  ,,,,,,,
60062,The Bard’s Tale IV: Director's Cut,PC,2019,Role-Playing,inXile Entertainment  ,InXile Entertainment  ,,,,,,,
60063,The Battle of Polytopia,All,2016,Strategy,Midjiwan AB  ,Midjiwan AB  ,,,,,,,
60064,The Beatles: Rock Band,All,2009,Music,MTV Games  ,Harmonix Music Systems  ,,,,,,,
60065,The Best of Microsoft Entertainment Pack,PC,N/A,Misc,Unknown  ,Microsoft  ,,,,,,,
60066,The Binding of Isaac: Repentance,PS5,N/A,Action,Unknown  ,Edmund McMillen  ,,,,,,,
60067,The Binding of Isaac: Repentance,PC,N/A,Action,Unknown  ,Edmund McMillen  ,,,,,,,
60068,The Binding of Isaac: Repentance,NS,N/A,Action,Unknown  ,Edmund McMillen  ,,,,,,,
60069,The Blackout Club,XOne,N/A,Action-Adventure,Unknown  ,Question  ,,,,,,,
60070,The Blackout Club,PC,N/A,Action-Adventure,Unknown  ,Question  ,,,,,,,
60071,The Book of Unwritten Tales 2,NS,2019,Adventure,THQ Nordic  ,KING Art Games  ,,8.5,,,,,
60072,The Book of Unwritten Tales 2,X360,2015,Adventure,Nordic Games  ,KING Art Games  ,,,,,,,
60073,The Book of Unwritten Tales 2,PS3,2015,Adventure,Nordic Games  ,KING Art Games  ,,,,,,,
60074,The Bradwell Conspiracy,XOne,N/A,Puzzle,Unknown  ,A Brave Plan  ,,,,,,,
60075,The Bradwell Conspiracy,PC,N/A,Puzzle,Unknown  ,A Brave Plan  ,,,,,,,
60076,The Bradwell Conspiracy,PS4,N/A,Puzzle,Unknown  ,A Brave Plan  ,,,,,,,
60077,The Bradwell Conspiracy,NS,N/A,Puzzle,Unknown  ,A Brave Plan  ,,,,,,,
60078,The Bridge,NS,2017,Puzzle,The Quantum Astrophysicists Guild  ,The Quantum Astrophysicists Guild  ,,,,,,,
60079,The Bunker,NS,2018,Adventure,Wales Interactive Ltd.  ,Wales Interactive Ltd.  ,,,,,,,
60080,The Caligula Effect 2,PS4,N/A,Adventure,Unknown  ,Historia  ,,,,,,,
60081,The Caligula Effect 2,NS,N/A,Adventure,Unknown  ,Historia  ,,,,,,,
60082,The Caligula Effect: Overdose,NS,2019,Role-Playing,NIS America  ,FuRyu  ,,6.0,,,,,
60083,The Caligula Effect: Overdose,PC,2019,Role-Playing,NIS America  ,FuRyu  ,,,,,,,
60084,The Chaos Engine,Amig,N/A,Shooter,Unknown  ,The Bitmap Brothers  ,,,,,,,
60085,The Charming Empire,NS,2018,Adventure,D3Publisher  ,OperaHouse  ,,,,,,,
60086,The Church in the Darkness,PC,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
60087,The Church in the Darkness,XOne,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
60088,The Church in the Darkness,PS4,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
60089,The Church in the Darkness,NS,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  ,,,,,,,
60090,The Climb,OR,2016,Action,Crytek  ,Crytek  ,,,,,,,
60091,The Climb 2,PC,N/A,Sports,Unknown  ,Crytek  ,,,,,,,
60092,The Coma 2: Vicious Sisters,XOne,2019,Adventure,Digerati  ,Devespresso Games  ,,,,,,,
60093,The Coma 2: Vicious Sisters,PS4,2019,Adventure,Digerati  ,Devespresso Games  ,,,,,,,
60094,The Coma 2: Vicious Sisters,PC,2019,Adventure,Digerati  ,Devespresso Games  ,,,,,,,
60095,The Coma 2: Vicious Sisters,NS,2019,Adventure,Digerati  ,Devespresso Games  ,,,,,,,
60096,The Coma: Recut,NS,2017,Adventure,Digerati  ,Devespresso Games  ,,7.8,,,,,
60097,The Complex,XOne,N/A,Adventure,Unknown  ,Wales Interactive Ltd.  ,,,,,,,
60098,The Complex,PS4,N/A,Adventure,Unknown  ,Wales Interactive Ltd.  ,,,,,,,
60099,The Complex,PC,N/A,Adventure,Unknown  ,Wales Interactive Ltd.  ,,,,,,,
60100,The Complex,NS,N/A,Adventure,Unknown  ,Wales Interactive Ltd.  ,,,,,,,
60101,The Council,PS4,2019,Adventure,Bigben Interactive  ,Big Bad Wolf  ,,9.0,,,,,
60102,The Council,XOne,2019,Adventure,Bigben Interactive  ,Big Bad Wolf  ,,,,,,,
60103,The Council,PC,2018,Adventure,Focus Home Interactive  ,Big Bad Wolf  ,,,,,,,
60104,The Count Lucanor,NS,2017,Adventure,Merge Games  ,Ratalaika Games  ,,,,,,,
60105,The Cube,PS3,2012,Puzzle,Funbox Media  ,Funbox Media  ,,,,,,,
60106,The Culling II,PS4,N/A,Shooter,Unknown  ,Xaviant  ,,,,,,,
60107,The Culling II,PC,N/A,Shooter,Unknown  ,Xaviant  ,,,,,,,
60108,The Culling II,XOne,N/A,Shooter,Unknown  ,Xaviant  ,,,,,,,
60109,The Dark Crystal: Age of Resistance Tactics,NS,2020,Strategy,En Masse Entertainment  ,BonusXP  ,,,,,,,
60110,The Dark Crystal: Age of Resistance Tactics,PC,2020,Strategy,En Masse Entertainment  ,BonusXP  ,,,,,,,
60111,The Dark Crystal: Age of Resistance Tactics,PS4,2020,Strategy,En Masse Entertainment  ,BonusXP  ,,,,,,,
60112,The Dark Crystal: Age of Resistance Tactics,XOne,2020,Strategy,En Masse Entertainment  ,BonusXP  ,,,,,,,
60113,The Dark Pictures Anthology: House of Ashes,XS,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
60114,The Dark Pictures Anthology: House of Ashes,XOne,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
60115,The Dark Pictures Anthology: House of Ashes,PS5,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
60116,The Dark Pictures Anthology: House of Ashes,PS4,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
60117,The Dark Pictures Anthology: House of Ashes,PC,N/A,Action-Adventure,Unknown  ,Supermassive Games Ltd.  ,,,,,,,
60118,The Dark Pictures Anthology: Little Hope,XOne,2020,Adventure,Bandai Namco Entertainment  ,Supermassive Games Ltd.  ,,,,,,,
60119,The Dark Pictures Anthology: Little Hope,PS4,2020,Adventure,Bandai Namco Entertainment  ,Supermassive Games Ltd.  ,,,,,,,
60120,The Dark Pictures Anthology: Little Hope,PC,2020,Adventure,Bandai Namco Entertainment  ,Supermassive Games Ltd.  ,,,,,,,
60121,The Darkness,All,2007,Shooter,2K Games  ,Starbreeze Studios  ,,,,,,,
60122,The Darkside Detective,NS,N/A,Adventure,Unknown  ,Spooky Doorway  ,,,,,,,
60123,The Day Before,XS,N/A,MMO,Unknown  ,FNTASTIC  ,,,,,,,
60124,The Day Before,PS5,N/A,MMO,Unknown  ,FNTASTIC  ,,,,,,,
60125,The Day Before,PC,N/A,MMO,Unknown  ,FNTASTIC  ,,,,,,,
60126,The Deadly Tower of Monsters,PS4,2016,Action,Atlus  ,ACE Team  ,,,,,,,
60127,The Deadly Tower of Monsters,PC,2016,Action,Atlus  ,ACE Team  ,,,,,,,
60128,The Deed: Dynasty,PC,2016,Adventure,GrabTheGames  ,Pilgrim Adventures  ,,,,,,,
60129,The Deer God,NS,2017,Adventure,Level 77  ,Blowfish Studios  ,,,,,,,
60130,The Demon Crystal II: Knither,NS,2019,Role-Playing,Regista  ,Regista  ,,,,,,,
60131,The Denpa Men: They Came By Wave,3DS,2012,Role-Playing,Genius Sonority Inc.  ,Genius Sonority Inc.  ,,,,,,,
60132,The Disney Afternoon Collection,PS4,N/A,Platform,Unknown  ,Digital Eclipse  ,,,,,,,
60133,The Dreadnaught Factor,Int,1983,Shooter,Activision  ,Cheshire Engineering  ,,,,,,,
60134,The Dukes of Hazzard,CV,N/A,Racing,Unknown  ,Coleco  ,,,,,,,
60135,The Elder Scrolls IV: Oblivion,All,2006,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,
