fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
3087,Metal Slug 4 & 5,PS2,71,7.9,2005,Shooter,SNK Playmore  ,BrezzaSoft  ,,110000.0
3088,Draglade,DS,71,7.5,2007,Fighting,Atlus  ,Dimps Corporation  ,,100000.0
3089,Full Spectrum Warrior: Ten Hammers,PS2,71,8.0,2006,Strategy,THQ  ,Pandemic Studios  ,5.5,70000.0
3090,Naruto Powerful Shippuden,3DS,71,6.0,2013,Action-Adventure,Namco Bandai Games  ,Namco Bandai Games  ,8.0,160000.0
3091,TimeShift,PC,71,7.6,2007,Shooter,Sierra Entertainment  ,Saber Interactive  ,,10000.0
3092,NHL 2K8,X360,71,7.4,2007,Sports,2K Sports  ,Kush Games  ,,130000.0
3093,Tak 2: The Staff of Dreams,PS2,71,8.3,2004,Platform,THQ  ,Avalanche Software  ,,620000.0
3094,Cold Fear,XB,71,8.0,2005,Action,Ubisoft  ,Darkworks  ,,60000.0
3095,EVE: Valkyrie,PS4,71,6.8,2016,Shooter,Sony Interactive Entertainment  ,CCP  ,,210000.0
3096,Lionheart: Kings' Crusade,PC,71,7.2,2010,Strategy,Paradox Interactive   ,Neocore Games  ,6.3,10000.0
3097,Bendy and the Ink Machine,PS4,71,7.4,2018,Puzzle,Rooster Teeth Games  ,TheMeatly Games  ,,180000.0
3098,The Invisible Hours,XOne,71,0.0,2018,Adventure,Tequila Works  ,Tequila Works  ,,50000.0
3099,Warriors Orochi 3,X360,71,8.1,2012,Action,Tecmo Koei  ,Omega Force  ,,160000.0
3100,P.T.O. IV: Pacific Theater of Operations,PS2,71,5.5,2003,Strategy,KOEI  ,Koei  ,,80000.0
3101,Act of Aggression,PC,71,7.1,2015,Strategy,Focus Home Interactive  ,Eugen Systems  ,,10000.0
3102,LEGO Rock Band,X360,71,7.2,2009,Misc,Warner Bros. Interactive  ,TT Games / Harmonix Music Systems  ,7.3,560000.0
3103,Final Fantasy: The 4 Heroes of Light,DS,71,8.7,2010,Role-Playing,Square Enix  ,Matrix Software  ,7.2,580000.0
3104,Robert Ludlum's The Bourne Conspiracy,X360,71,7.3,2008,Action,Sierra Entertainment  ,High Moon Studios  ,,440000.0
3105,Grandia II,PS2,71,8.6,2002,Role-Playing,Ubisoft  ,Game Arts  ,7.4,290000.0
