,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
3184,World Tour Soccer,PSP,70.0,6.5,2005,Sports,Sony Computer Entertainment  ,SCEE London Studio  ,7.0,,0.31622776601683794,0.7937253933193772,0.0,0.5830951894845301,1.03440804327886
3185,EyePet,PS3,70.0,7.8,2010,Simulation,Sony Computer Entertainment  ,SCEE London Studio  ,6.9,,0.6082762530298219,0.7211102550927979,0.2,0.3,1.004987562112089
3186,Steel Battalion: Line of Contact,XB,70.0,8.0,2004,Simulation,Capcom  ,"Capcom Production Studio 4 / Nude Maker Co., Ltd.  ",,,0.1414213562373095,0.1,0.0,0.0,0.1414213562373095
3187,Ratchet & Clank: All 4 One,PS3,70.0,6.5,2011,Platform,Sony Computer Entertainment  ,Insomniac Games  ,7.5,,0.8660254037844386,0.469041575982343,0.22360679774997896,0.36055512754639896,1.0723805294763609
3188,Batman: Arkham Knight,PC,70.0,3.7,2015,Action,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,0.31622776601683794,0.2,0.0,0.1,0.3872983346207417
3189,Darksiders III,PC,70.0,7.1,2018,Action,THQ Nordic  ,Gunfire Games  ,,,0.0,0.1,0.0,0.0,0.1
3190,Silent Hill: Origins,PS2,70.0,7.4,2008,Action,Konami  ,Climax Group  ,,,0.17320508075688773,0.17320508075688773,0.0,0.1,0.2645751311064591
3191,"Warhammer 40,000: Space Marine",PS3,70.0,7.4,2011,Shooter,THQ  ,Relic Entertainment  ,7.3,,0.36055512754639896,0.4898979485566356,0.0,0.282842712474619,0.6708203932499369
3192,MX vs. ATV Untamed,X360,70.0,6.9,2007,Racing,THQ  ,Rainbow Studios  ,,,0.7416198487095663,0.282842712474619,0.0,0.2449489742783178,0.8246211251235321
3193,Tomb Raider: Underworld,Wii,70.0,7.3,2008,Adventure,Eidos Interactive  ,Crystal Dynamics  ,6.3,,0.36055512754639896,0.5196152422706632,0.0,0.22360679774997896,0.6708203932499369
3194,Samurai Warriors Chronicles 3,PSV,70.0,7.9,2015,Action,Tecmo Koei  ,Omega Force  ,,,0.0,0.0,0.2645751311064591,0.0,0.2645751311064591
3195,New Little King's Story,PSV,70.0,7.6,2012,Strategy,Konami Digital Entertainment  ,Konami  ,,,0.0,0.0,0.2,0.0,0.2
3196,Gallop Racer 2004,PS2,70.0,8.7,2004,Sports,Tecmo  ,Tecmo  ,,,0.17320508075688773,0.1414213562373095,0.0,0.1,0.2449489742783178
3197,Tenchu: Return From Darkness,XB,70.0,7.1,2004,Action,Activision  ,K2 LLC  ,,,0.4,0.22360679774997896,0.0,0.1,0.458257569495584
3198,SpongeBob SquarePants: Battle for Bikini Bottom,XB,70.0,8.5,2003,Platform,THQ  ,Heavy Iron Studios  ,6.7,,0.6708203932499369,0.31622776601683794,0.0,0.1414213562373095,0.7549834435270749
3199,Contra Advance: The Alien Wars EX,GBA,70.0,7.7,2002,Shooter,Konami  ,Konami  ,6.7,,0.282842712474619,0.17320508075688773,0.0,0.0,0.33166247903553997
3200,Trace Memory,DS,70.0,8.2,2005,Adventure,Nintendo  ,Cing  ,6.5,,0.3872983346207417,0.1,0.34641016151377546,0.1,0.5385164807134504
