,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5616,Pinball Hall of Fame: The Gottlieb Collection,PSP,73.0,8.0,2005,Misc,Crave Entertainment  ,FarSight Studios  ,7.2,0.4472135954999579,0.1,0.0,0.1414213562373095,0.47958315233127197
5617,Pure Farming 2018,XOne,73.0,7.0,2018,Simulation,Techland  ,Ice Flames  ,,0.17320508075688773,0.0,0.0,0.0,0.17320508075688773
5621,Assetto Corsa,PS4,73.0,6.1,2016,Racing,505 Games  ,Kunos Simulazioni  ,,0.0,0.2449489742783178,0.1,0.1,0.282842712474619
5622,Birds of Steel,PS3,73.0,8.0,2012,Simulation,Konami Digital Entertainment  ,Gaijin Games  ,,0.31622776601683794,0.3,0.1414213562373095,0.17320508075688773,0.4898979485566356
5624,Guitar Hero: Smash Hits,PS3,73.0,7.3,2009,Misc,Activision  ,Neversoft Entertainment  ,7.4,0.4472135954999579,0.33166247903553997,0.0,0.22360679774997896,0.5916079783099616
5626,Just Dance 2016,WiiU,73.0,6.9,2015,Music,Ubisoft  ,Ubisoft Paris  ,,0.5385164807134504,0.5,0.0,0.22360679774997896,0.7745966692414834
5628,Jonah Lomu Rugby Challenge,X360,73.0,6.0,2011,Sports,Mad Catz  ,Sidhe Interactive  ,,0.3,0.43588989435406733,0.0,0.17320508075688773,0.5567764362830022
5630,Test Drive: Eve of Destruction,PS2,73.0,8.8,2004,Racing,Atari  ,Monster Games Inc.  ,,0.33166247903553997,0.3,0.0,0.17320508075688773,0.47958315233127197
5636,Yooka-Laylee,XOne,73.0,5.5,2017,Platform,Sold Out  ,Playtonic Games  ,,0.22360679774997896,0.2,0.0,0.1,0.31622776601683794
5637,SNK Arcade Classics Vol. 1,Wii,73.0,8.0,2008,Misc,SNK Playmore  ,Terminal Reality  ,,0.2449489742783178,0.0,0.0,0.1,0.2645751311064591
5642,Madden NFL 25,XOne,73.0,5.9,2013,Sports,EA Sports  ,EA Tiburon  ,7.1,0.8306623862918074,0.2449489742783178,0.0,0.3,0.9110433579144299
5643,Star Wars Episode III: Revenge of the Sith,DS,73.0,7.8,2005,Action,Ubisoft  ,Ubisoft Montreal  ,7.3,0.5,0.17320508075688773,0.0,0.1414213562373095,0.5567764362830022
5645,Saiyuki: Journey West,PS,73.0,8.0,2001,Strategy,KOEI  ,Koei  ,,0.17320508075688773,0.1414213562373095,0.0,0.0,0.22360679774997896
5649,EyeToy: Groove,PS2,73.0,7.8,2004,Misc,Sony Computer Entertainment  ,SCEE London Studio  ,,0.3,0.2645751311064591,0.0,0.1414213562373095,0.4242640687119285
5650,Raiden Fighters Aces,X360,73.0,7.7,2009,Shooter,Valcon Games  ,Gulti  ,,0.2449489742783178,0.17320508075688773,0.0,0.1,0.3
5652,Glory Days 2,DS,73.0,7.3,2007,Strategy,Secret Stash Games  ,Odenis Studio  ,,0.282842712474619,0.0,0.0,0.1,0.3
5655,Zumba Fitness Rush,X360,73.0,6.2,2012,Music,Majesco Entertainment  ,Majesco Entertainment  ,,0.0,0.4,0.0,0.1414213562373095,0.4242640687119285
5656,Blood Bowl: Legendary Edition,PC,73.0,6.3,2010,Sports,Focus Home Interactive  ,Cyanide Studio  ,,0.0,0.1,0.0,0.0,0.1414213562373095
5658,God Hand,PS2,73.0,9.1,2006,Action,Capcom  ,Clover Studio  ,7.0,0.0,0.0,0.2645751311064591,0.0,0.2645751311064591
5659,Soul Nomad & the World Eaters,PS2,73.0,8.1,2007,Role-Playing,NIS America  ,Nippon Ichi Software  ,,0.37416573867739417,0.33166247903553997,0.0,0.2,0.5291502622129182
5664,ModNation Racers,PSP,73.0,7.5,2010,Racing,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.7,0.33166247903553997,0.5196152422706632,0.1414213562373095,0.37416573867739417,0.7348469228349535
5666,Battle Engine Aquila,PS2,73.0,7.4,2003,Shooter,Atari  ,Lost Toys  ,,0.1414213562373095,0.1,0.0,0.0,0.17320508075688773
5668,Monster Lab,Wii,73.0,8.6,2008,Role-Playing,Eidos Interactive  ,Backbone Entertainment  ,,0.5196152422706632,0.1414213562373095,0.0,0.1414213562373095,0.5567764362830022
5669,Pro Evolution Soccer 2011 3D,3DS,73.0,6.9,2011,Sports,Konami  ,Konami  ,7.5,0.33166247903553997,0.36055512754639896,0.33166247903553997,0.1414213562373095,0.6164414002968976
5672,Dante's Inferno,X360,73.0,7.6,2010,Action,Electronic Arts  ,Visceral Games  ,7.0,0.7937253933193772,0.4472135954999579,0.1414213562373095,0.282842712474619,0.9591663046625439
5673,FIFA 07 Soccer,X360,73.0,7.5,2006,Sports,EA Sports  ,EA Canada  ,7.1,0.4898979485566356,0.1,0.0,0.1414213562373095,0.5291502622129182
5675,LEGO Harry Potter Collection,PS4,73.0,7.4,2016,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,0.2645751311064591,0.8246211251235321,0.0,0.36055512754639896,0.938083151964686
5677,Neverwinter Nights 2: Storm of Zehir,PC,73.0,7.3,2008,Role-Playing,Atari  ,Obsidian Entertainment  ,7.2,0.0,0.1,0.0,0.0,0.1
5679,Creed: Rise to Glory,PS4,73.0,6.2,2018,Sports,Sony Interactive Entertainment  ,Survios  ,,0.3872983346207417,0.0,0.0,0.2,0.43588989435406733
5681,Spartan: Total Warrior,XB,73.0,8.6,2005,Action,Sega  ,The Creative Assembly  ,7.0,0.31622776601683794,0.17320508075688773,0.0,0.0,0.36055512754639896
5683,Primal,PS2,73.0,8.5,2003,Action,Sony Computer Entertainment  ,SCEE Cambridge  ,7.1,0.458257569495584,0.41231056256176607,0.0,0.2449489742783178,0.6557438524302001
5685,Disney's Donald Duck: Goin' Quackers,PS2,73.0,7.4,2000,Platform,Ubisoft  ,Disney Interactive Studios  ,,0.2,0.17320508075688773,0.0,0.1,0.282842712474619
5687,NASCAR 2001,PS,73.0,7.1,2000,Racing,EA Sports  ,EA Black Box  ,,0.6708203932499369,0.5567764362830022,0.0,0.22360679774997896,0.9
5688,Dokapon Kingdom,Wii,73.0,8.3,2008,Role-Playing,Atlus  ,Sting  ,7.2,0.34641016151377546,0.0,0.0,0.1,0.36055512754639896
5691,Beautiful Katamari,X360,73.0,7.0,2007,Puzzle,Namco Bandai  ,Now Production  ,7.3,0.37416573867739417,0.1414213562373095,0.3872983346207417,0.1414213562373095,0.565685424949238
5692,NBA Live 08,PSP,73.0,6.7,2007,Sports,Electronic Arts  ,EA Canada  ,6.8,0.5291502622129182,0.0,0.0,0.1414213562373095,0.5567764362830022
5693,Call of Duty: WWII,PC,73.0,3.9,2017,Shooter,Activision  ,Sledgehammer Games  ,,0.2645751311064591,0.33166247903553997,0.0,0.1,0.43588989435406733
5696,Dragon Ball Z: Attack of the Saiyans,DS,73.0,8.2,2009,Role-Playing,Namco Bandai  ,Monolith Soft  ,7.2,0.34641016151377546,0.1414213562373095,0.458257569495584,0.1,0.6
5699,Armored Core: Nexus,PS2,73.0,8.8,2004,Simulation,Agetec  ,From Software  ,,0.2449489742783178,0.22360679774997896,0.37416573867739417,0.1414213562373095,0.5099019513592785
5701,Mega Man X Collection,PS2,73.0,8.8,2006,Misc,Capcom  ,Capcom  ,7.5,0.34641016151377546,0.3,0.0,0.17320508075688773,0.4898979485566356
5702,Drawn to Life,DS,73.0,7.8,2007,Adventure,THQ  ,5TH Cell  ,,0.8426149773176358,0.1,0.0,0.2449489742783178,0.8831760866327847
5703,Agents of Mayhem,XOne,73.0,6.2,2017,Action,Deep Silver  ,Volition Inc.  ,,0.2645751311064591,0.17320508075688773,0.0,0.1,0.33166247903553997
5704,Real World Golf,PS2,73.0,6.3,2006,Sports,Mad Catz  ,In2Games / Aqua Pacific  ,,0.22360679774997896,0.2,0.0,0.1,0.33166247903553997
5705,Zone of the Enders HD Collection,PS3,73.0,7.8,2012,Action,Konami Digital Entertainment  ,Kojima Productions  ,,0.458257569495584,0.2,0.3,0.22360679774997896,0.6244997998398398
5706,The Sims 3,DS,73.0,6.2,2010,Simulation,Electronic Arts  ,The Sims Studio  ,7.5,0.6164414002968976,0.47958315233127197,0.0,0.2449489742783178,0.8185352771872451
5708,Dragon Ball Z: Budokai Tenkaichi 2,PS2,73.0,8.5,2006,Fighting,Atari  ,Spike  ,,0.812403840463596,0.1414213562373095,0.0,0.33166247903553997,0.8888194417315589
5709,Anarchy Reigns,X360,73.0,8.0,2013,Action,Sega  ,PlatinumGames  ,,0.34641016151377546,0.1414213562373095,0.1414213562373095,0.1414213562373095,0.4242640687119285
5710,Red Faction: Guerrilla Re-Mars-tered,XOne,73.0,4.9,2018,Shooter,THQ Nordic  ,Volition  ,,0.2,0.1,0.0,0.0,0.22360679774997896
5712,Mini Ninjas,X360,73.0,8.3,2009,Action,Eidos Interactive  ,IO Interactive  ,,0.34641016151377546,0.37416573867739417,0.0,0.17320508075688773,0.5385164807134504
5715,X3: Terran Conflict,PC,73.0,7.9,2009,Simulation,Atari  ,Egosoft  ,,0.0,0.1414213562373095,0.0,0.0,0.17320508075688773
5716,Contact,DS,73.0,8.2,2006,Role-Playing,Atlus  ,Grasshopper Manufacture  ,,0.2645751311064591,0.0,0.17320508075688773,0.1,0.31622776601683794
5717,Tony Hawk's Proving Ground,PS3,73.0,6.5,2007,Sports,Activision  ,Neversoft Entertainment  ,,0.6,0.22360679774997896,0.0,0.2,0.6633249580710799
