fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
2785,Cars 3: Driven to Win,PS4,72.0,6.6,2017,Racing,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,,290000.0
2786,Tales of Zestiria,PS4,72.0,7.2,2015,Role-Playing,Namco Bandai Games  ,Namco Bandai Games  ,,450000.0
2787,Naruto: Clash of Ninja Revolution 2,Wii,72.0,8.3,2008,Fighting,Tomy Corporation  ,8ing/Raizing  ,,380000.0
2788,Shenmue I & II,XOne,72.0,7.8,2018,Action-Adventure,Sega  ,Sega  ,,70000.0
2789,Pro Evolution Soccer 2010,PSP,72.0,5.4,2009,Sports,Konami  ,Konami  ,,800000.0
2790,Dragon Ball Z: Budokai Tenkaichi 2,Wii,72.0,8.5,2006,Fighting,Atari  ,Spike  ,,290000.0
2791,Mount & Blade,PC,72.0,8.6,2008,Role-Playing,Paradox Interactive   ,Taleworlds  ,7.2,20000.0
2792,MXGP Pro,XOne,72.0,6.9,2018,Racing,Milestone S.r.l.  ,Milestone S.r.l.  ,,30000.0
2793,Mass Effect: Andromeda,PC,72.0,5.0,2017,Role-Playing,Electronic Arts  ,BioWare Corp.  ,,130000.0
2794,Just Dance 2015,PS4,72.0,5.9,2014,Music,Ubisoft  ,Ubisoft Paris  ,,410000.0
2795,Forgotten Realms: Demon Stone,XB,72.0,6.1,2004,Action,Atari  ,Stormfront Studios  ,,90000.0
2796,Lemony Snicket's A Series of Unfortunate Events,GBA,72.0,8.0,2004,Platform,Activision  ,Griptonite Games  ,,420000.0
2797,Tales of Legendia,PS2,72.0,8.0,2006,Role-Playing,Namco  ,Namco / Team MelFes  ,7.2,490000.0
2798,Mercenaries 2: World in Flames,X360,72.0,7.1,2008,Shooter,Electronic Arts  ,Pandemic Studios  ,7.1,1060000.0
2799,Justice League Heroes,PSP,72.0,7.5,2006,Role-Playing,Warner Bros. Interactive  ,Snowblind Studios  ,,230000.0
2800,Dark Sector,PS3,72.0,7.4,2008,Shooter,D3 Publisher  ,Digital Extremes  ,7.2,470000.0
2801,Dead Rising 2: Off the Record,PS3,72.0,7.0,2011,Action,Capcom  ,Blue Castle Games  ,7.1,320000.0
